LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_HSE_IND,LEA_HSEPART_HI_M,LEA_HSEPART_HI_F,LEA_HSEPART_AM_M,LEA_HSEPART_AM_F,LEA_HSEPART_AS_M,LEA_HSEPART_AS_F,LEA_HSEPART_HP_M,LEA_HSEPART_HP_F,LEA_HSEPART_BL_M,LEA_HSEPART_BL_F,LEA_HSEPART_WH_M,LEA_HSEPART_WH_F,LEA_HSEPART_TR_M,LEA_HSEPART_TR_F,TOT_HSEPART_M,TOT_HSEPART_F,LEA_HSEPART_EL_M,LEA_HSEPART_EL_F,LEA_HSEPART_IDEA_M,LEA_HSEPART_IDEA_F
"AL","ALABAMA","0100204","i3 Academy","55th Place 1st Avenue South","Birmingham","35212","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100210","Auburn City","855 E Samford Ave","Auburn","36830","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100211","Magic City Acceptance Academy","75 Bagby Drive","Homewood","35209","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100240","Autauga County","153 W 4th St","Prattville","36067","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100270","Baldwin County","2600 North Hand Ave","Bay Minette","36507","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100300","Barbour County","168 Western Bypass","Clayton","36016","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100330","Bessemer City","1621 5th Avenue North","Bessemer","35020","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100360","Bibb County","721 Walnut Street","Centreville","35042","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100390","Birmingham City","2015 Park Place North","Birmingham","35203","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100420","Blount County","204 2nd Ave East","Oneonta","35121","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100450","Brewton City","811 Belleville Ave","Brewton","36426","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100480","Bullock County","108 Hardaway Avenue","Union Springs","36089","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100510","Butler County","211 School Highlands Road","Greenville","36037","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100540","Calhoun County","4400 McClellan Blvd","Anniston","36206","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100600","Chambers County","1298 AVC Drive","Lafayette","36862","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100630","Cherokee County","130 E Main St","Centre","35960","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100660","Chilton County","1705 Lay Dam Rd","Clanton","35045","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100690","Choctaw County","107 Tom Orr Dr","Butler","36904","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100720","Clarke County","155 W Cobb St","Grove Hill","36451","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100750","Clay County","62 Court Square","Ashland","36251","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100780","Cleburne County","P O Box 8","Heflin","36264","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100810","Coffee County","400 Reddoch Hill Rd","Elba","36323","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100840","Colbert County","425 Highway 72 West","Tuscumbia","35674","Yes","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100870","Conecuh County","1455 Ted Bates Road","Evergreen","36401","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100900","Coosa County","73 Nixburg Road","Rockford","35136","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100930","Covington County","807 C C Baker Ave","Andalusia","36421","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100960","Crenshaw County","183 Votec Drive","Luverne","36049","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100990","Cullman City","301 1st St N E","Cullman","35055","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101020","Cullman County","402 Arnold St NE","Cullman","35055","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101050","Dale County","202 S Hwy 123 Suite E","Ozark","36360","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101080","Daleville City","626 N Daleville Ave","Daleville","36322","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101110","Dallas County","429 Lauderdale St","Selma","36701","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101140","DeKalb County","306 Main St W","Rainsville","35986","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101170","Decatur City","212 4th Ave NE","Decatur","35601","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101200","Demopolis City","609 South Cedar Avenue","Demopolis","36732","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101230","Dothan City","1665 Honeysuckle Road","DOTHAN","36301","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101260","Elba City","131 Tiger Dr","Elba","36323","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101290","Elmore County","100 H H Robison Drive","Wetumpka","36092","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101320","Enterprise City","220 Hutchinson St","Enterprise","36330","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101350","Escambia County","301 Belleville Ave","Brewton","36426","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101380","Etowah County","3200 W Meighan Blvd","Gadsden","35901","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101410","Eufaula City","333 State Docks Road","Eufaula","36027","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101440","Fairfield City","6405 Ave D","Fairfield","35064","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101470","Fayette County","103 First Ave NW","Fayette","35555","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101530","Florence City","541 Riverview Drive","Florence","35631","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101560","Fort Payne City","205 45th Street NE","Fort Payne","35967","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101590","Franklin County","500 Coffee Ave NE","Russellville","35653","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101620","Gadsden City","1026 Chestnut St","Gadsden","35901","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101640","Geneva City","511 Panther Drive","Geneva","36340","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101660","Geneva County","606 S Academy St","Geneva","36340","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101680","Greene County","220 Main St","Eutaw","35462","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101690","Guntersville City","4200 Highway 79 South","Guntersville","35976","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101710","Hale County","1115 Powers St","Greensboro","36744","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101720","Haleyville City","2011 20th St","Haleyville","35565","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101730","Hartselle City","305 College St NE","Hartselle","35640","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101740","Henry County","300 N Trawick Street","Abbeville","36310","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101760","Homewood City","450 Dale Avenue","Homewood","35209","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101770","Houston County","404 West Washington St","Dothan","36302","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101800","Huntsville City","714 Bob Wallace AV.","Huntsville","35801","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101830","Jackson County","16003 Al Hwy 35","Scottsboro","35768","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101860","Jacksonville City","320 Branscomb Drive SW","Jacksonville","36265","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101890","Jasper City","110 W 17th St","Jasper","35501","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101920","Jefferson County","2100 18th Street South","Birmingham","35209","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101950","Lamar County","150 Butler Cir","Vernon","35592","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0101980","Lanett City","105 North Lanier Ave","Lanett","36863","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0102010","Lauderdale County","355 County Road 61","Florence","35631","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
