"Student Counts by District and Race"
"All Districts"
"2024-25"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Two or More Races","White","Total","Native Hawaiian or Other Pacific Islander"
"Lisbon School District","=""0730011""","*","*",9,51,32,320,422,0
"Madison School District","=""0760011""","*",79,19,180,130,2032,2445,"*"
"Manchester School District","=""0770011""",35,516,1504,2239,256,1558,6122,14
"Mansfield School District","=""0780011""","*",121,36,188,36,581,966,"*"
"Marlborough School District","=""0790011""","*",12,"*",43,10,388,458,0
"Meriden School District","=""0800011""","*",146,1009,5422,456,1659,8707,"*"
"Middletown School District","=""0830011""",12,218,921,1134,441,1656,4394,12
"Milford School District","=""0840011""","*",402,253,883,263,3408,5218,"*"
"Monroe School District","=""0850011""","*",194,128,596,139,2393,3458,"*"
"Montville School District","=""0860011""","*",119,94,335,256,1179,2001,"*"
"Naugatuck School District","=""0880011""","*",88,532,1685,200,1577,4095,"*"
"New Beginnings Inc Family Academy District","=""2800013""",0,0,233,187,"*","*",431,0
"New Britain School District","=""0890011""","*",206,1067,6857,558,1338,10038,"*"
"New Canaan School District","=""0900011""","*",303,55,278,219,3194,4060,"*"
"New Fairfield School District","=""0910011""","*",31,48,408,70,1557,2123,"*"
"New Hartford School District","=""0920011""","*","*",0,27,16,388,433,0
"New Haven School District","=""0930011""",35,810,5928,9506,728,1803,18817,7
"New London School District","=""0950011""",15,35,492,1712,316,342,2918,6
"New Milford School District","=""0960011""","*",126,118,956,94,2232,3532,"*"
"Newington School District","=""0940011""","*",407,229,1043,205,1961,3855,"*"
"Newtown School District","=""0970011""","*",85,95,556,69,3111,3924,"*"
"Norfolk School District","=""0980011""",0,0,0,"*","*",53,61,0
"North Branford School District","=""0990011""","*",32,"*",166,52,1272,1546,0
"North Canaan School District","=""1000011""",0,0,"*",46,"*",186,245,0
"North Haven School District","=""1010011""","*",279,178,467,"*",2151,3214,0
"North Stonington School District","=""1020011""","*",6,6,42,16,650,726,"*"
"Norwalk School District","=""1030011""",35,415,1505,6578,425,2505,11473,10
"Norwich Free Academy District","=""9010022""",21,143,389,611,108,819,2097,6
"Norwich School District","=""1040011""",7,192,630,1301,285,864,3291,12
"Odyssey Community School District","=""2630013""","*",105,92,86,"*",97,410,0
"Old Saybrook School District","=""1060011""",0,41,"*",159,35,786,1030,"*"
"Orange School District","=""1070011""",0,169,31,116,57,881,1254,0
"Oxford School District","=""1080011""","*",46,45,205,34,1284,1622,"*"
"Park City Prep Charter School District","=""2830013""","*","*",190,206,7,25,434,0
"Plainfield School District","=""1090011""",17,26,73,108,60,1594,1886,8
"Plainville School District","=""1100011""","*",58,136,567,103,1351,2223,"*"
"Plymouth School District","=""1110011""","*","*",24,220,72,907,1244,0
"Pomfret School District","=""1120011""",0,"*","*",19,8,298,333,0
"Portland School District","=""1130011""","*","*",57,219,62,893,1250,0
"Preston School District","=""1140011""","*",8,8,41,16,352,432,"*"
"Putnam School District","=""1160011""","*",14,17,214,82,845,1176,"*"
"Redding School District","=""1170011""","*",19,10,106,27,690,855,"*"
"Regional School District 01","=""2010012""",0,"*","*",45,17,289,356,0
"Regional School District 04","=""2040012""","*",7,"*",64,24,543,646,0
"Regional School District 05","=""2050012""","*",329,"*",246,101,1390,2138,0
"Regional School District 07","=""2070012""","*",8,"*",41,13,749,818,0
"Regional School District 08","=""2080012""","*",11,12,102,36,912,1075,"*"
"Regional School District 09","=""2090012""",0,37,13,77,28,557,712,0
"Regional School District 10","=""2100012""",0,18,"*",173,437,1502,2140,"*"
"Regional School District 11","=""2110012""","*","*","*",21,"*",160,194,0
"Regional School District 12","=""2120012""",0,"*","*",91,30,669,798,0
"Regional School District 13","=""2130012""","*",18,"*",117,40,1150,1339,0
"Regional School District 14","=""2140012""","*",12,23,250,56,1216,1561,"*"
"Regional School District 15","=""2150012""","*",159,76,353,123,2652,3368,"*"
"Regional School District 16","=""2160012""","*","*",79,231,60,1495,1898,0
"Regional School District 17","=""2170012""","*",22,"*",86,57,1529,1716,0
"Regional School District 18","=""2180012""",0,37,8,88,54,1094,1281,0
"Regional School District 19","=""2190012""","*",73,36,152,"*",774,1061,0
"Regional School District 20","=""2200012""","*","*",21,111,42,1430,1619,0
"Ridgefield School District","=""1180011""","*",287,33,429,216,3509,4484,"*"
"Rocky Hill School District","=""1190011""","*",775,114,317,107,1224,2539,"*"
"Salem School District","=""1210011""","*","*",6,38,23,320,392,0
"Salisbury School District","=""1220011""",0,"*",11,28,24,221,288,"*"
"Scotland School District","=""1230011""",0,0,"*","*",0,85,96,0
"Seymour School District","=""1240011""",0,81,168,470,56,1328,2103,0
"Sharon School District","=""1250011""",0,0,"*",14,"*",79,97,0
"Shelton School District","=""1260011""","*",237,458,1131,192,2490,4518,"*"
"Sherman School District","=""1270011""",0,"*","*",19,16,193,231,0
"Side By Side Charter School District","=""2700013""",0,"*",52,144,"*",23,236,0
"Simsbury School District","=""1280011""","*",259,259,463,230,2913,4127,"*"
"Somers School District","=""1290011""","*","*",33,101,29,1169,1347,0
"South Windsor School District","=""1320011""","*",1783,301,556,235,2234,5125,"*"
"Southington School District","=""1310011""","*",317,156,841,324,4558,6200,"*"
"Sprague School District","=""1330011""","*","*","*",45,37,173,265,0
"Stafford School District","=""1340011""","*","*",16,118,41,1076,1266,0
"Stamford Charter School for Excellence District","=""2960013""","*",118,219,170,16,15,543,"*"
"Stamford School District","=""1350011""",28,926,2056,8805,550,3808,16185,12
"Sterling School District","=""1360011""","*","*","*",24,30,248,310,0
"Stonington School District","=""1370011""","*",24,15,127,109,1444,1722,"*"
"Stratford School District","=""1380011""",8,140,1743,2875,234,1571,6578,7
"Suffield School District","=""1390011""",7,88,83,191,"*",1652,2027,"*"
"The Bridge Academy District","=""2690013""",0,"*",140,127,7,"*",281,"*"
"The Gilbert School District","=""9020022""",0,17,14,95,24,302,452,0
"The Woodstock Academy District","=""9030022""","*",68,26,82,26,814,1022,"*"
"Thomaston School District","=""1400011""",0,18,14,95,28,622,777,0
"Thompson School District","=""1410011""","*",12,"*",73,32,700,826,0
"Tolland School District","=""1420011""","*",72,63,215,83,1706,2144,"*"
"Torrington School District","=""1430011""",8,163,259,1688,83,1703,3911,7
"Trumbull School District","=""1440011""",10,759,513,1440,215,3999,6943,7
"Unified School District #1","=""3360015""",0,"*",63,61,"*",14,145,0
"Unified School District #2","=""3470015""",0,0,20,27,6,27,80,0
"Union School District","=""1450011""",0,0,0,"*","*",46,"*",0
"Vernon School District","=""1460011""","*",223,346,801,306,1558,3236,"*"
"Voluntown School District","=""1470011""",0,"*","*",12,8,190,217,"*"
"Wallingford School District","=""1480011""",7,227,97,1176,199,3529,5241,6
"Waterbury School District","=""1510011""",77,291,3871,11972,766,1799,18776,0
"Waterford School District","=""1520011""",6,114,59,356,141,1598,2281,7
"Watertown School District","=""1530011""","*",31,108,361,98,1920,2528,"*"
"West Hartford School District","=""1550011""",18,939,727,1972,560,4894,9128,18
"West Haven School District","=""1560011""",15,344,1412,2496,280,1397,5950,6
"Westbrook School District","=""1540011""",0,"*","*",161,13,407,592,0
"Weston School District","=""1570011""","*",129,"*",199,178,1565,2101,0
"Westport School District","=""1580011""","*",332,109,452,385,3999,5281,"*"
"Wethersfield School District","=""1590011""",7,186,163,757,157,2195,3471,6
"Willington School District","=""1600011""","*",8,"*",42,19,299,376,0
"Wilton School District","=""1610011""","*",417,36,270,242,2809,3782,"*"
"Winchester School District","=""1620011""","*",9,20,93,25,450,599,"*"
"Windham School District","=""1630011""","*",28,102,2287,73,654,3153,"*"
"Windsor Locks School District","=""1650011""","*",91,178,263,95,815,1448,"*"
"Windsor School District","=""1640011""","*",111,1349,827,295,676,3266,"*"
"Wolcott School District","=""1660011""","*",55,96,387,61,1496,2100,"*"
"Woodbridge School District","=""1670011""","*",129,"*",86,61,565,862,0
"Woodstock School District","=""1690011""",0,"*","*",48,40,663,756,0
"Total","=""""",1206,26444,63270,163247,24360,229434,508402,441

