"CT School Day SAT, 2024-25"
"All Districts, All Subjects, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","Total Numberof Students","Total NumberTested","CT School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Salem School District","=""1210011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""","ELA",155,149,96.1,149,37,24.8,15,10.1,83,55.7,14,9.4,97,65.1,494
,,"Math",155,149,96.1,149,41,27.5,67,45.0,33,22.1,8,5.4,41,27.5,467
"Shelton School District","=""1260011""","ELA",302,296,98.0,296,57,19.3,45,15.2,138,46.6,56,18.9,194,65.5,518
,,"Math",302,296,98.0,296,62,20.9,119,40.2,76,25.7,39,13.2,115,38.9,501
"Simsbury School District","=""1280011""","ELA",300,289,96.3,289,16,5.5,32,11.1,162,56.1,79,27.3,241,83.4,570
,,"Math",300,289,96.3,289,24,8.3,104,36.0,106,36.7,55,19.0,161,55.7,547
"Somers School District","=""1290011""","ELA",73,70,95.9,70,9,12.9,11,15.7,40,57.1,10,14.3,50,71.4,523
,,"Math",73,70,95.9,70,"*","*",25,35.7,25,35.7,"*","*","*","*",492
"South Windsor School District","=""1320011""","ELA",370,367,99.2,366,46,12.6,39,10.7,190,51.9,91,24.9,281,76.8,547
,,"Math",370,367,99.2,366,53,14.5,112,30.6,113,30.9,88,24.0,201,54.9,543
"Southington School District","=""1310011""","ELA",496,489,98.6,488,76,15.6,72,14.8,278,57.0,62,12.7,340,69.7,511
,,"Math",496,489,98.6,488,116,23.8,196,40.2,154,31.6,22,4.5,176,36.1,488
"Stafford School District","=""1340011""","ELA",94,91,96.8,91,8,8.8,11,12.1,56,61.5,16,17.6,72,79.1,535
,,"Math",94,91,96.8,91,"*","*",38,41.8,31,34.1,"*","*","*","*",501
"Stamford School District","=""1350011""","ELA",1213,1070,88.2,1068,350,32.8,178,16.7,436,40.8,104,9.7,540,50.6,473
,,"Math",1213,1070,88.2,1068,464,43.4,356,33.3,186,17.4,62,5.8,248,23.2,450
