"Student Counts by School and Year"
"All Districts, All Schools"
"2024-25"

"District","District Code","School","School Code","Count"
,,"Breakthrough","=""0172611""",22
,,"Bristol Arts and Innovation Magnet School","=""0174011""",268
,,"Bristol Central High School","=""0176111""",1148
,,"Bristol Central High School EXCEL","=""0174411""",13
,,"Bristol Central High School Learning Center","=""0174311""",18
,,"Bristol Eastern High School","=""0176211""",998
,,"Bristol Eastern High School EXCEL","=""0174811""",13
,,"Bristol Eastern High School Learning Center","=""0174511""",26
,,"Bristol Preparatory Academy","=""0173311""",50
,,"CHMS Learning Center","=""0173411""","*"
,,"Chippens Hill Middle School","=""0175111""",545
,,"Chippens Hill Middle School EXCEL","=""0171011""",28
,,"Community/Vocational Program","=""0179211""",28
,,"Destinations Academy","=""0179011""",20
,,"Destinations Attendance Recovery","=""0174111""",12
,,"Edgewood Pre-K Academy","=""0170411""",267
,,"Ellen P. Hubbell School","=""0171411""",331
,,"Greene-Hills School","=""0170511""",918
,,"Ivy Drive School","=""0171911""",385
,,"LEAD","=""0173711""",31
,,"LEAD Pre-K","=""0172911""",28
,,"Mountain View School","=""0171711""",356
,,"Mountain View School EXCEL","=""0172311""",11
,,"Northeast Middle School","=""0175211""",324
,,"Northeast Middle School EXCEL","=""0174611""",6
,,"Northeast Middle School Learning Center","=""0172811""",8
,,"South Side School","=""0171111""",515
,,"Stafford LEAD","=""0173211""",29
,,"Stafford School","=""0171211""",353
,,"West Bristol School","=""0172011""",833
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",849
,,"Candlewood Lake Elementary School","=""0180111""",1085
,,"Whisconier Middle School","=""0185311""",595
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",469
,,"Brooklyn Middle School","=""0195111""",373
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",70
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",295
,,"Dr. Helen Baldwin Middle School","=""0225111""",213
"Canton School District","=""0230011""","Canton High School","=""0236111""",443
,,"Canton Intermediate School","=""0230311""",333
,,"Canton Middle School","=""0235111""",214
,,"Cherry Brook Primary School","=""0230211""",426
"Capital Preparatory Harbor School District","=""2970013""","Capital Preparatory Harbor School","=""2970113""",775
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",767
,,"Academy of Aerospace and Engineering Elementary","=""2410714""",604
,,"Academy of Computer Science and Engineering","=""2415214""",550
,,"Academy of Computer Science and Engineering Middle School","=""2415014""",669
,,"Academy of International Studies 6-12","=""2416114""",697
,,"Academy of International Studies Elementary School","=""2410414""",497
,,"Academy of Science and Innovation","=""2416514""",767
,,"Ana Grace Academy of the Arts","=""2410614""",855
,,"CREC Impact Academy","=""2411914""",59
,,"CREC Preschool at Progress Drive","=""2412114""",118
,,"Discovery Academy","=""2418114""",522
,,"Farmington Valley Regional Diagnostic Center","=""2419214""",18
,,"Glastonbury/East Hartford Magnet School","=""2410114""",456
,,"Greater Hartford Academy of the Arts High School - Full Day","=""2416414""",403
,,"John J. Allison Polaris Center","=""2419014""",54
,,"Montessori Magnet School","=""2413114""",358
,,"Museum Academy","=""2410514""",511
,,"Reggio Magnet School of the Arts","=""2410314""",511
,,"River Street School","=""2419314""",107
,,"River Street School Birken Campus","=""2419514""",52
,,"River Street School Early Learning Center","=""2411414""",7
,,"STRIVE - Southern Transition Real-World and Independent Voc Ed","=""2419714""",15
,,"University of Hartford Magnet School","=""2410214""",477
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",150
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",369
,,"Cheshire Community Life","=""0251211""",7
,,"Cheshire High School","=""0256111""",1208
,,"Cheshire Quinnipiac University Transition Collaborative","=""0250311""",9
,,"Darcey School","=""0250211""",159
,,"Dodd Middle School","=""0255111""",660
,,"Doolittle School","=""0250611""",529
,,"Highland Intensive Education Program","=""0251411""",16
,,"Highland School","=""0250411""",899
,,"Humiston Alternative School","=""0250911""",21
,,"Norton Intensive Education Program","=""0251311""",12
,,"Norton School","=""0250511""",412
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",198
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",418
,,"Lewin G. Joel Jr. School","=""0270311""",532
,,"The Morgan School","=""0276111""",473
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",572
,,"Colchester Elementary School","=""0280411""",552
,,"East of the River Transition Academy","=""0280711""","*"
,,"Jack Jackter Intermediate School","=""0280211""",509
,,"William J. Johnston Middle School","=""0285111""",452
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",61
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",440
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",221
"Connecticut Technical Education and Career System","=""9000016""","A. I. Prince Technical High School","=""9001516""",725
,,"Bullard-Havens Technical High School","=""9001116""",819
,,"E. C. Goodwin Technical High School","=""9001916""",690
,,"Eli Whitney Technical High School","=""9001416""",586
,,"Ella T. Grasso Technical High School","=""9002716""",684
,,"Emmett O'Brien Technical High School","=""9002516""",618
,,"H. C. Wilcox Technical High School","=""9001716""",753
,,"H. H. Ellis Technical High School","=""9001316""",650
,,"Henry Abbott Technical High School","=""9001216""",721
,,"Howell Cheney Technical High School","=""9001616""",652
,,"J. M. Wright Technical High School","=""9002116""",494
,,"Norwich Technical High School","=""9002016""",649
,,"Oliver Wolcott Technical High School","=""9002216""",643
,,"Platt Technical High School","=""9002616""",749
,,"Vinal Technical High School","=""9001816""",522
,,"W. F. Kaynor Technical High School","=""9002316""",831
,,"Windham Technical High School","=""9002416""",510
"Cooperative Educational Services","=""2430014""","Merit Academy","=""2439414""",88
,,"Oakview Middle/High School","=""2439214""",46
,,"Oakview Primary School","=""2439114""",51
,,"Oakview Transition School","=""2430214""",52
,,"RISE Transitional Program","=""2439314""",6
,,"School Readiness","=""2438014""",73
,,"Six-Six Magnet School","=""2430114""",441
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",86
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",363
,,"Coventry Academy","=""0320111""",11
,,"Coventry Grammar School","=""0320211""",361
,,"Coventry High School","=""0326111""",395
,,"Coventry RISE Program","=""0320611""","*"
,,"George Hersey Robertson School","=""0320411""",370
,,"Hale Early Education Center","=""0320311""",107
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",515
,,"Cromwell Middle School","=""0335111""",448
,,"Edna C. Stevens School","=""0330211""",413
,,"Woodside Intermediate School","=""0330311""",440
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",84
,,"Broadview Middle School","=""0345111""",1070
,,"DPS Early Childhood Center","=""0340111""",65
,,"DPS Early Childhood Center at Granville","=""0340411""",184
,,"Danbury High School","=""0346111""",3612
,,"Ellsworth Avenue School","=""0341411""",492
,,"Great Plain School","=""0341111""",271
,,"Hayestown Avenue School","=""0340211""",450
,,"King Street Intermediate School","=""0341711""",367
,,"King Street Primary School","=""0341311""",393
,,"Mill Ridge Primary School","=""0340511""",319
,,"Morris Street School","=""0340611""",340
,,"Park Avenue School","=""0340811""",562
,,"Pembroke School","=""0341511""",376
,,"Rogers Park Middle School","=""0345211""",888
,,"Shelter Rock School","=""0341211""",527
,,"South Street School","=""0341011""",372
,,"Stadley Rough School","=""0341611""",479
,,"Western CT Academy of International Studies Elementary Magnet School","=""0341911""",330
,,"Western Connection","=""0340711""","*"
,,"Westside Middle School Academy","=""0340311""",736
"Darien School District","=""0350011""","Darien High School","=""0356111""",1382
,,"Hindley Elementary School","=""0350211""",411
,,"Holmes Elementary School","=""0350711""",407
,,"Middlesex Middle School","=""0355111""",1043
,,"Ox Ridge Elementary School","=""0351311""",625
,,"Royle Elementary School","=""0350511""",342
,,"Tokeneke Elementary School","=""0350611""",439
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",189
"Derby School District","=""0370011""","Alternative Education Program","=""0370211""",6
,,"Bradley School","=""0370611""",244
,,"Derby High School","=""0376111""",360
,,"Derby Middle School","=""0375011""",300
,,"Irving School","=""0370411""",322
,,"Little Raiders University","=""0370111""",63
,,"RAISE Academy","=""0370511""",8
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",215
,,"East Granby High School","=""0406111""",249
,,"East Granby Middle School","=""0405111""",218
,,"R. Dudley Seymour School","=""0400211""",191
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",340
,,"East of the River Transition Academy","=""0410311""","*"
,,"Nathan Hale-Ray High School","=""0416111""",262
,,"Nathan Hale-Ray Middle School","=""0415111""",346
"East Hampton School District","=""0420011""","Center School","=""0420311""",251
,,"East Hampton High School","=""0426111""",488
,,"East Hampton Middle School","=""0425111""",411
,,"Memorial School","=""0420111""",511
,,"The Learning Center at East Hampton","=""0429011""","*"
,,"The Transition Academy","=""0420211""","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",279
,,"Connecticut IB Academy","=""0436311""",200
,,"Dr. Franklin H. Mayberry School","=""0430611""",310
,,"Dr. John A. Langford School","=""0432211""",316
,,"Dr. Thomas S. O'Connell School","=""0431011""",519
,,"Early Childhood Learning Center at Hockanum School","=""0430211""",323
,,"East Hartford High School","=""0436211""",1776
,,"East Hartford Middle School","=""0435111""",971
,,"Governor William Pitkin School","=""0432011""",345
,,"Joseph O. Goodwin School","=""0430411""",334
,,"Robert J. O'Brien School","=""0431811""",344
,,"Silver Lane School","=""0431211""",203
,,"Sunset Ridge Middle School","=""0432411""",334
,,"Synergy Alternative Program","=""0436411""",88
,,"Woodland School","=""0439011""",137
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",363
,,"Deer Run School","=""0440111""",232
,,"Dominick H. Ferrara School","=""0441311""",153
,,"East Haven High School","=""0446111""",879
,,"Grove J. Tuttle School","=""0441011""",270
,,"Joseph Melillo Middle School","=""0445111""",461
,,"Momauguin School","=""0440711""",302
,,"Overbrook Early Learning Center","=""0441811""",173
"East Lyme School District","=""0450011""","Abilities in Motion (AIM) Program","=""0450511""",12
,,"East Lyme High School","=""0456111""",890
,,"East Lyme Middle School","=""0455111""",716
,,"Flanders School","=""0450111""",242
,,"Integrated Preschool","=""0458011""",69
,,"Lillie B. Haynes School","=""0450411""",365
,,"Niantic Center School","=""0450211""",198
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",441
,,"East Windsor High School","=""0476111""",259
,,"East Windsor Middle School","=""0475411""",318
,,"East Windsor Transition Program","=""0470411""",9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",123
,,"EastConn Special Education","=""2539014""",88
,,"EastConn Transition Academy","=""2530114""",12
,,"Quinebaug Middle College","=""2536114""",144
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",173
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",287
,,"Samuel Staples Elementary School","=""0460111""",606
"EdAdvance","=""2420014""","ACCESS Middle and High School","=""2420714""",16
,,"B.E.A.M Elementary School","=""2429014""","*"
,,"EdAdvance Headstart","=""2428014""",161
,,"Partnership Learning Academy","=""2420614""",9
,,"Steps Middle and High School","=""2420114""",34
,,"Steps-Expelled Student","=""2420314""","*"
"Ellington School District","=""0480011""","BASES - Behavioral, Academic, Social and Emotional Support Program","=""0480811""",32
,,"Center School","=""0480111""",445
,,"Crystal Lake School","=""0480211""",308
,,"ECLIPSE - Ellington Continuing Life Independence Post-Secondary Education","=""0480411""",10
,,"Ellington High School","=""0486111""",701
,,"Ellington Middle School","=""0485111""",393
,,"TEPSEP - The Ellington Public Schools Expulsion Program","=""0480511""",7
,,"Windermere School","=""0480611""",627
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",760
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""",312
"Enfield School District","=""0490011""","EPS PK STEAM Academy","=""0491011""",50
,,"Eagle Academy - Elementary","=""0492611""","*"
,,"Eagle Academy - High","=""0492411""",17
,,"Eagle Academy - Middle","=""0492511""",6
,,"Edgar H. Parkman School","=""0491311""",266
,,"Eli Whitney School","=""0491611""",346
,,"Enfield Alternative Education Program","=""0492311""",25
,,"Enfield High - Adaptive Learning Program (ALP)","=""0490111""",8
,,"Enfield High School","=""0496111""",1426
,,"Enfield Street DLP","=""0492811""",7
,,"Enfield Street School","=""0490211""",226
,,"Enfield Transitional Learning Academy","=""0499011""",31
,,"Hazardville Memorial School","=""0490411""",298
,,"Head Start Program","=""0498011""",102
,,"Henry Barnard - DLP","=""0490311""",45
,,"Henry Barnard School","=""0491811""",311
,,"John F. Kennedy - Adaptive Learning Program (ALP)","=""0490911""",24
,,"John F. Kennedy Middle School","=""0495211""",1002
,,"Prudence Crandall School","=""0491511""",351
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",307
"Explorations District","=""2720013""","Explorations","=""2726113""",77
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",347
,,"Dwight Elementary School","=""0510111""",228
,,"Early Childhood Center","=""0518011""",112
,,"Early Childhood Center at Holland Hill","=""0510911""",32
,,"Early Childhood Center at Stratfield","=""0510811""",67
,,"Fairfield Ludlowe High School","=""0516011""",1367
,,"Fairfield School/Community Partnership","=""0510511""",30
,,"Fairfield Warde High School","=""0516211""",1308
,,"Fairfield Woods Middle School","=""0515211""",715
,,"Holland Hill School","=""0510411""",385
,,"Jennings School","=""0511711""",280
,,"McKinley School","=""0510611""",470
,,"Mill Hill School","=""0510711""",371
,,"North Stratfield School","=""0511611""",408
,,"Osborn Hill School","=""0511811""",446
,,"Riverfield School","=""0511211""",406
,,"Roger Ludlowe Middle School","=""0515311""",764
,,"Sherman School","=""0511311""",385
,,"Stratfield School","=""0511411""",326
,,"Tomlinson Middle School","=""0515111""",584
,,"Walter Fitzgerald Campus","=""0510311""",44
"Farmington School District","=""0520011""","East Farms School","=""0520411""",457
,,"Farmington Alternative High School","=""0520611""",12
,,"Farmington Collaborative PK","=""0528011""",99
,,"Farmington High School","=""0526111""",1261
,,"Irving A. Robbins Middle School","=""0525111""",670
,,"Noah Wallace School","=""0520211""",342
,,"Union School","=""0520111""",305
,,"West District School","=""0520311""",357
,,"West Woods Upper Elementary School","=""0520511""",676
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",185
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",461
,,"Gideon Welles School","=""0540811""",551
,,"Glastonbury High School","=""0546111""",1737
,,"Glastonbury Transition Academy","=""0541411""",17
,,"Hebron Avenue School","=""0540411""",458
,,"Hopewell School","=""0540611""",458
,,"Links Academy","=""0540111""",61
,,"Naubuc School","=""0540711""",441
,,"Nayaug Elementary School","=""0540911""",533
,,"PreK-Eastbury","=""0540511""",86
,,"Smith Middle School","=""0545211""",875
"Goodwin University Educational Services (GUES)","=""2310018""","Connecticut River Academy at Goodwin University","=""2310118""",742
,,"Riverside Magnet School at Goodwin University","=""2310218""",481
"Granby School District","=""0560011""","Granby B.E.A.R. Transition Academy","=""0560211""","*"
,,"Granby Memorial High School","=""0566111""",564
,,"Granby Memorial Middle School","=""0565111""",387
,,"Kelly Lane Primary School","=""0560411""",353
,,"Wells Road Intermediate School","=""0560311""",384
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""",662
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",483
,,"Community Connections","=""0571211""",18
,,"Cos Cob School","=""0570211""",343
,,"Eastern Middle School","=""0575211""",797
,,"Glenville School","=""0570411""",411
,,"Greenwich High School","=""0576111""",2620
,,"Hamilton Avenue School","=""0570511""",299
,,"International School At Dundee","=""0571311""",342
,,"Julian Curtiss School","=""0570311""",236
,,"New Lebanon School","=""0570611""",375
,,"North Mianus School","=""0570711""",423
,,"North Street School","=""0570811""",411
,,"Old Greenwich School","=""0570911""",385
,,"Parkway School","=""0571111""",249
,,"Riverside School","=""0571011""",440
,,"Western Middle School","=""0575311""",563
,,"Windrose","=""0571511""",44
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",655
,,"Griswold High School","=""0586211""",606
,,"Griswold Middle School","=""0585111""",529
,,"Griswold Soule Street Academy","=""0580111""",19
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",375
,,"Central Office Academy","=""0590611""","*"
,,"Charles Barnum Magnet School","=""0591811""",339
,,"Groton Middle School","=""0591111""",884
,,"Mystic River Magnet School","=""0591311""",520
,,"New Beginnings Alternative Program","=""0590211""",15
,,"Northeast Academy Magnet School","=""0591911""",392
,,"Robert E. Fitch High School","=""0596111""",942
,,"Thames River Magnet School","=""0591711""",501
,,"Transition Academy","=""0591011""",14
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""",463
,,"A. W. Cox School","=""0600611""",255
,,"Calvin Leete School","=""0600411""",213
,,"E. C. Adams Middle School","=""0605111""",478
,,"Guilford High School","=""0606111""",1008
,,"Guilford Lakes School","=""0600211""",369
,,"Guilford Transition Academy","=""0600111""",12
,,"Melissa Jones School","=""0600311""",265
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""",133
,,"Bear Path IIC","=""0620911""",26
,,"Bear Path School","=""0621211""",385
,,"Church Street IIC","=""0621311""",9
,,"Church Street School","=""0620211""",334
,,"Dunbar Hill School","=""0620311""",271
,,"Hamden Collaborative Learning Center","=""0620511""",49
,,"Hamden High School","=""0626111""",1609
,,"Hamden Middle School","=""0625211""",845
,,"Hamden Transition Academy @ SCSU (AACPB)","=""0620611""",31
,,"Helen Street IIC","=""0621611""",15
,,"Helen Street School","=""0620411""",280
,,"Intensive Support Classroom","=""0621911""",15
,,"Intensive Support Classroom 7-8","=""0622011""",7
,,"Ridge Hill IIC","=""0621711""",18
,,"Ridge Hill School","=""0621111""",321
,,"Shepherd Glen IIC","=""0622211""",9
,,"Shepherd Glen School","=""0620111""",303
,,"Spring Glen IIC","=""0622111""",17
,,"Spring Glen School","=""0621011""",347
,,"West Woods IIC","=""0621811""",30
,,"West Woods School","=""0621411""",317
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""",73
"Hartford School District","=""0640011""","Betances Learning Lab Magnet School","=""0642811""",398
,,"Betances STEM Magnet School","=""0643811""",206
,,"Breakthrough Magnet School, North","=""0643511""",289
,,"Breakthrough Magnet School, South","=""0643311""",326
,,"Bulkeley High School","=""0647111""",552
,,"Burns Latino Studies Academy","=""0640611""",251
,,"Burr Middle School","=""0642311""",259
,,"Capital Preparatory Magnet School","=""0646911""",580
,,"Classical Magnet School","=""0646411""",438
,,"Dwight-Bellizzi Dual Language Academy","=""0640711""",651
,,"Early Childhood Development Center (ECDC)","=""0644111""",74
,,"Environmental Sciences Magnet at Hooker School","=""0640911""",547
,,"Expeditionary Learning Academy at Moylan School","=""0643211""",342
,,"Global Communications Academy","=""0643611""",414
,,"Hartford Magnet Trinity College Academy","=""0645411""",925
,,"Hartford PreKindergarten Magnet School: North Campus","=""0641311""",115
,,"Hartford PreKindergarten Magnet School: South Campus","=""0641610""",112
,,"Hartford Public High School","=""0646211""",698
,,"Kennelly School","=""0641011""",628
,,"Kinsella Magnet School of Performing Arts: High School Campus","=""0641710""",110
,,"Kinsella Magnet School of Performing Arts: PK-8 Campus","=""0641111""",435
,,"M. D. Fox School","=""0640811""",562
,,"M. L. King, Jr. Middle School","=""0641611""",184
,,"McDonough Middle School","=""0641211""",301
,,"Milner Middle School","=""0641911""",261
,,"Montessori Magnet at Batchelder School","=""0640511""",346
,,"Montessori Magnet at Fisher School","=""0643711""",353
,,"Naylor/CCSU Leadership Academy","=""0641411""",372
,,"New Visions","=""0640910""",32
,,"Parkville Community School","=""0641511""",351
,,"Pathways Academy of Technology and Design","=""0646611""",359
,,"Pre-K Integrated - Naylor School","=""0640510""",15
,,"Pre-K Integrated - Parkville School","=""0640410""",10
,,"Pre-K Integrated - SAND School","=""0641110""",9
,,"Pre-K Integrated - Wish School","=""0641210""",11
,,"RISE - Hartford Public High School","=""0648211""",30
,,"RISE - M.L. King Middle School","=""0641310""",8
,,"RISE - West Middle School","=""0644611""",7
,,"Rawson School","=""0641711""",198
,,"Renzulli Gifted and Talented Academy","=""0644011""",128
,,"SAND School","=""0640111""",266
,,"STEM Magnet at Annie Fisher School","=""0642511""",348
