"Student Counts by School and Year"
"All Districts, All Schools"
"2024-25"

"District","District Code","School","School Code","Count"
,,"LEARN Transition Academy","=""2450414""",10
,,"Learn High School","=""2450614""",6
,,"Learn Intensive Program","=""2451114""",63
,,"Marine Science Magnet High School","=""2456114""",274
,,"Regional Multicultural Magnet School","=""2450114""",469
,,"The Friendship School","=""2450214""",460
,,"Three Rivers Middle College Magnet School","=""2456214""",92
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""",366
,,"Lebanon Middle School","=""0715111""",265
,,"Lyman Memorial High School","=""0716211""",322
,,"Pass Academy","=""0710211""","*"
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""",195
,,"Gallup Hill School","=""0720411""",592
,,"Juliet W. Long School","=""0720311""",265
,,"Ledyard High School","=""0726111""",731
,,"Ledyard Middle School","=""0725111""",535
,,"Ledyard Transition Academy","=""0720511""",10
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",413
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",751
,,"J. Milton Jeffrey Elementary School","=""0760111""",407
,,"Kathleen H. Ryerson Elementary School","=""0760311""",314
,,"Town Campus Learning Center","=""0769011""",54
,,"Walter C. Polson Middle School","=""0765211""",541
"Manchester School District","=""0770011""","Bowers School","=""0770111""",376
,,"Buckley School","=""0770311""",284
,,"Elisabeth M. Bennet Academy","=""0771711""",864
,,"Highland Park School","=""0770411""",300
,,"Illing Middle School","=""0775311""",763
,,"Keeney School","=""0770611""",366
,,"Manchester Head Start","=""0778011""",91
,,"Manchester High School","=""0776111""",1703
,,"Manchester High School-Site 2","=""0770211""",56
,,"Manchester Middle Academy","=""0771511""",31
,,"Manchester Preschool Center at Martin","=""0771811""",153
,,"Manchester Regional Academy","=""0779011""",67
,,"Manchester Transition Center","=""0779111""",25
,,"New Horizons","=""0770711""",24
,,"Verplanck School","=""0771211""",466
,,"Waddell School","=""0771311""",476
"Mansfield School District","=""0780011""","Mansfield Elementary School","=""0780111""",549
,,"Mansfield Middle School","=""0785111""",414
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""",458
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""",357
,,"Casimir Pulaski School","=""0801111""",539
,,"Community Classroom Collaborative","=""0800211""",18
,,"Community Collaborative Classroom - ACADEMY","=""0802111""",14
,,"Edison Middle School","=""0802711""",773
,,"Francis T. Maloney High School","=""0806111""",1291
,,"Hanover School","=""0800311""",456
,,"Israel Putnam School","=""0800411""",445
,,"John Barry School","=""0800511""",418
,,"Lincoln Middle School","=""0805211""",684
,,"Nathan Hale School","=""0800711""",485
,,"Orville H. Platt High School","=""0806211""",1191
,,"PRIDE","=""0802611""",129
,,"Roger Sherman School","=""0800811""",457
,,"SOAR - High","=""0802511""",13
,,"SOAR - Middle","=""0802411""",12
,,"SOAR- Elementary","=""0802211""",8
,,"STARS - BARRY","=""0802811""",32
,,"STARS - HS","=""0801811""",22
,,"STARS - Hanover","=""0800611""",83
,,"STARS - MS","=""0801511""",17
,,"STEP - ES","=""0800911""",45
,,"STEPS - MS","=""0801211""",24
,,"Success Academy","=""0801411""",40
,,"TLC - MHS","=""0802011""",30
,,"TLC - PHS","=""0801911""",18
,,"TLC-MS","=""0802911""",18
,,"TSC - MHS","=""0801611""",17
,,"TSC - PHS","=""0801711""",14
,,"Thomas Hooker School","=""0801011""",404
,,"Venture Academy","=""0801311""",63
,,"Washington Middle School","=""0805411""",536
"Middletown School District","=""0830011""","Beman Middle School","=""0835411""",977
,,"Bielefield School","=""0830211""",251
,,"Evening Program - MHS","=""0831611""",15
,,"Farm Hill School","=""0830511""",316
,,"ICM - Farm Hill","=""0830611""",6
,,"ICM - Moody 3-5","=""0830711""",7
,,"ICM - Moody K-2","=""0830811""",6
,,"ICM - Spencer","=""0832011""","*"
,,"ICM- Beman Middle School","=""0830411""",9
,,"ICM-Wesley","=""0832311""",8
,,"Lawrence School","=""0831311""",305
,,"MHS - Alternative Education Program 2","=""0831911""",10
,,"MacDonough School","=""0830911""",218
,,"Middletown High School","=""0836211""",1193
,,"Middletown Transition Center","=""0839111""",20
,,"Moody School","=""0831211""",212
,,"Snow School","=""0831111""",340
,,"Spencer School","=""0830111""",237
,,"Virtual Learning Academy - MHS","=""0831711""","*"
,,"Wesley School","=""0831411""",214
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""",269
,,"East Shore Middle School","=""0845111""",339
,,"Fifth Year Vocational Experience","=""0840411""",11
,,"Harborside Middle School","=""0845211""",400
,,"J. F. Kennedy School","=""0841911""",295
,,"Jonathan Law High School","=""0846211""",776
,,"Joseph A. Foran High School","=""0846311""",727
,,"Live Oaks School","=""0841611""",272
,,"Mathewson School","=""0841711""",327
,,"Meadowside School","=""0840711""",276
,,"Orange Avenue School","=""0840811""",414
,,"Orchard Hills School","=""0841811""",350
,,"Post Grad Transitional Academy","=""0840611""",14
,,"Pumpkin Delight School","=""0841011""",271
,,"The Academy","=""0840311""",39
,,"West Shore Middle School","=""0845311""",394
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""",682
,,"Jockey Hollow School","=""0855211""",765
,,"Masuk Alternative Program","=""0850211""",16
,,"Masuk High School","=""0856111""",1044
,,"Monroe Elementary School","=""0850111""",414
,,"Monroe Oxford Community Program","=""0850711""",14
,,"Stepney Elementary School","=""0850311""",512
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""",296
,,"Leonard J. Tyl Middle School","=""0865111""",519
,,"Mohegan School","=""0860111""",305
,,"Montville High School","=""0866111""",491
,,"Montville Transition and Vocational Training Academy","=""0860611""",7
,,"Oakdale School","=""0860511""",271
,,"Pre School Program","=""0860311""",65
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""",221
,,"Central Avenue Preschool","=""0888211""",40
,,"City Hill Middle School","=""0885111""",614
,,"Cross Street Intermediate School","=""0880211""",311
,,"Genesis Academy","=""0880911""","*"
,,"Head Start","=""0888111""",123
,,"Hillside Intermediate School","=""0880411""",292
,,"Hop Brook Elementary School","=""0880511""",312
,,"Maple Hill School","=""0880311""",464
,,"Naugatuck Community Program","=""0881011""",20
,,"Naugatuck High School","=""0886111""",1202
,,"Salem School","=""0880611""",231
,,"Western School","=""0880711""",242
"New Beginnings Inc Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""",431
"New Britain School District","=""0890011""","Brookside School","=""0899111""",51
,,"CLIMB","=""0899411""",37
,,"Chamberlain Bridges","=""0890211""",20
,,"Chamberlain DHH","=""0892411""",12
,,"Chamberlain Elementary School","=""0890311""",402
,,"DiLoreto Elementary & Middle School","=""0891111""",819
,,"Gaffney Elementary School","=""0890511""",438
,,"Gaffney KEY Elementary","=""0891611""",134
,,"Holmes Elementary School","=""0890611""",414
,,"House of Arts Letters and Science (HALS) Academy","=""0895411""",152
,,"Jefferson Elementary School","=""0890711""",389
,,"Lincoln Elementary School","=""0890811""",552
,,"Lincoln KEY Elementary","=""0892011""",47
,,"New Britain High School","=""0896111""",2521
,,"New Britain High School Satellite Careers Academy","=""0899511""",162
,,"Northend Elementary School","=""0890911""",212
,,"Pulaski Middle School","=""0895311""",839
,,"Pulaski Pathways","=""0892311""",32
,,"Roosevelt Early Learning Center","=""0890111""",266
,,"Slade Bridges","=""0892211""",27
,,"Slade KEY Middle","=""0891711""",26
,,"Slade Middle School","=""0895211""",781
,,"Smalley Elementary School","=""0891211""",594
,,"Smith Elementary School","=""0891311""",461
,,"Smith KEY Elementary","=""0892111""",20
,,"Smith Pathways","=""0891911""",26
,,"The Catalyst Academy","=""0899011""",41
,,"Vance Elementary School","=""0891511""",438
"New Canaan School District","=""0900011""","East School","=""0900411""",554
,,"Launch","=""0900111""",7
,,"New Canaan High School","=""0906111""",1257
,,"Saxe Middle School","=""0905111""",1271
,,"South School","=""0900211""",477
,,"West School","=""0900311""",481
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""","*"
,,"New Fairfield Elementary School","=""0910211""",946
,,"New Fairfield High School","=""0916111""",693
,,"New Fairfield Middle School","=""0915211""",464
,,"STRIDES - Striving To Reach Individual & Diverse Eductl. Success","=""0910511""",8
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",241
,,"Bakerville Consolidated School","=""0920111""",104
,,"New Hartford Elementary School","=""0920211""",84
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",300
,,"Barack H. Obama Magnet University School","=""0932811""",343
,,"Barack H. Obama Self Contained Autism","=""0937611""",12
,,"Barnard Environmental Magnet School","=""0930211""",496
,,"Beecher School","=""0930311""",462
,,"Benjamin Jepson Magnet School","=""0931811""",483
,,"Bishop Woods Architecture and Design Magnet School","=""0934311""",408
,,"Bishop Woods Self Contained Autism","=""0937911""",24
,,"Brennan Rogers School","=""0932111""",203
,,"Celentano BioTech, Health and Medical Magnet School","=""0934811""",328
,,"Celentano Self Contained ID","=""0937411""",16
,,"Clemente SC","=""0930610""",7
,,"Clinton Avenue School","=""0930611""",446
,,"Clinton Self Contained ID","=""0937811""",11
,,"Conte/West Hills Magnet School","=""0933111""",496
,,"Cooperative High School - Inter-District Magnet","=""0936411""",560
,,"Davis Academy for Arts & Design Innovation","=""0930911""",489
,,"Dr. Reginald Mayo Early Learning Center","=""0932711""",358
,,"East Rock Community Magnet School","=""0934611""",442
,,"East Rock Self Contained MD","=""0937511""",27
,,"Edgewood School","=""0931211""",397
,,"Engineering - Science University Magnet School","=""0931711""",608
,,"Fair Haven School","=""0931611""",734
,,"Fair Haven Self Contained ID","=""0938711""",27
,,"Family Academy of Multilingual Exploration","=""0934111""",441
,,"Gateway to College Program","=""0930110""",45
,,"High School In The Community","=""0936611""",251
,,"Hill Central Music Academy","=""0930711""",430
,,"Hill Regional Career High School","=""0936311""",625
,,"James Hillhouse High School","=""0936211""",1124
,,"James Hillhouse Self Contained MD","=""0930210""",14
,,"John C Daniels SC","=""0930810""",11
,,"John C. Daniels","=""0931311""",522
,,"John S. Martinez Sea and Sky STEM School","=""0930811""",486
,,"King/Robinson Magnet School","=""0933011""",412
,,"Lincoln Bassett Integrated PK","=""0930510""","*"
,,"Lincoln Bassett Self Contained","=""0930310""",10
,,"Lincoln-Bassett School","=""0932011""",236
,,"Mauro-Sheridan Magnet School","=""0931911""",482
,,"Metropolitan Business Academy","=""0936011""",380
,,"Nathan Hale School","=""0931411""",506
,,"Nathan Hale Self Contained ID","=""0937711""",9
,,"New Haven Academy","=""0937011""",321
,,"New Haven Collaborative","=""0930710""",12
,,"Off-Campus Classroom Program (OCC)","=""0937311""",83
,,"Riverside Education Academy","=""0939111""",78
,,"Roberto Clemente Leadership Academy for Global Awareness","=""0934211""",434
,,"Ross/Woodward School","=""0931011""",562
,,"Sound School","=""0936711""",332
,,"Truman School","=""0932911""",460
,,"Wilbur Cross High School","=""0936111""",1742
,,"Wilbur Cross Self Contained MD","=""0938511""",39
,,"Worthington Hooker School","=""0933811""",420
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",343
,,"C.B. Jennings International Elementary Magnet","=""0950311""",406
,,"Nathan Hale Arts Magnet School","=""0950911""",445
,,"New London High School","=""0956111""",605
,,"New London Visual and Performing Arts Magnet Pathway","=""0951411""",268
,,"Preschool Program at B.P. Learned Mission","=""0951111""",66
,,"Science and Technology Magnet Pathway for High School Grades","=""0951311""",171
,,"Science and Technology Magnet Pathway for Middle Grades","=""0951211""",133
,,"Start on Success (SOS)","=""0951511""",7
,,"Winthrop STEM Elementary Magnet School","=""0950811""",449
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""",371
,,"Litchfield Hills Transition Center","=""0969011""",19
,,"New Milford High School","=""0966111""",1150
,,"Northville Elementary School","=""0960811""",428
,,"Sarah Noble Intermediate School","=""0960911""",753
,,"Schaghticoke Middle School","=""0965211""",791
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""",407
,,"Elizabeth Green School","=""0940211""",278
,,"John Paterson School","=""0940811""",394
,,"John Wallace Middle School","=""0945311""",610
,,"Martin Kellogg Middle School","=""0945111""",567
,,"Newington High School","=""0946111""",1255
,,"Newington Transition Academy","=""0940111""",8
,,"Ruth Chaffee School","=""0940711""",317
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""",281
,,"Head O'Meadow Elementary School","=""0970411""",327
,,"Middle Gate Elementary School","=""0970311""",397
,,"Newtown Community Partnership","=""0970611""",14
,,"Newtown High School","=""0976111""",1254
,,"Newtown Kindergarten Readiness","=""0970911""",16
,,"Newtown Middle School","=""0975111""",593
,,"Newtown Preschool","=""0978011""",68
,,"Program for Adaptive Learning","=""0970811""",18
,,"Reaching Independence through Structured Education","=""0970711""",7
,,"Reed Intermediate School","=""0970511""",583
,,"Sandy Hook Elementary School","=""0970211""",349
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",61
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""",385
,,"North Branford High School","=""0996111""",432
,,"North Branford Intermediate School","=""0995111""",352
,,"School to Work Program","=""0999011""","*"
,,"Totoket Valley Elementary School","=""0990611""",368
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",245
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""",372
,,"Green Acres Elementary School","=""1010711""",404
,,"Montowese Elementary School","=""1010211""",305
,,"North Haven High School","=""1016111""",944
,,"North Haven Middle School","=""1015211""",752
,,"North Haven Transition Partnership","=""1010111""",14
,,"Ridge Road Elementary School","=""1010311""",415
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",379
,,"Wheeler High School","=""1026111""",344
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",1739
,,"Brookside Elementary School","=""1030211""",408
,,"Center for Global Studies","=""1030511""",283
,,"Concord Magnet School","=""1030311""",388
,,"Cranbury Elementary School","=""1030411""",410
,,"Fox Run Elementary School","=""1032011""",398
,,"Jefferson Marine Science Elementary School","=""1030711""",457
,,"Kendall College & Career Academy","=""1030811""",416
,,"Marvin Elementary School","=""1032211""",375
,,"Naramake Elementary School","=""1032111""",358
,,"Nathan Hale Middle School","=""1035211""",499
,,"Norwalk 18-21 Next Steps (NNS)","=""1031111""",28
,,"Norwalk 18-21 Project SEARCH at Norwalk Hospital","=""1031611""","*"
,,"Norwalk Alternative Opportunity Program","=""1031011""",17
,,"Norwalk Early Childhood Center","=""1030111""",187
,,"Norwalk High School","=""1036111""",1494
,,"P-TECH Norwalk","=""1030911""",388
,,"Ponus Ridge STEAM Academy","=""1035311""",637
,,"Roton Middle School","=""1035511""",463
,,"Rowayton School","=""1031311""",402
,,"Silvermine Dual Language Magnet School","=""1032311""",428
,,"South Norwalk Elementary School","=""1031511""",179
,,"Tracey Magnet School","=""1031411""",434
,,"West Rocks Middle School","=""1035411""",657
,,"Wolfpit Integrated Arts Elementary School","=""1032411""",341
"Norwich Free Academy District","=""9010022""","Atlas","=""9010622""",10
,,"Compass","=""9010522""",56
,,"Norwich Free Academy","=""9016122""",2020
,,"Wildcat Learning Academy","=""9010422""",11
"Norwich School District","=""1040011""","John B. Stanton School","=""1041411""",382
,,"Kelly STEAM Magnet Middle School","=""1045111""",593
,,"Moriarty Magnet School","=""1042011""",404
,,"Rose City Program","=""1041611""","*"
,,"STRIVE Program @ Case","=""1041311""","*"
,,"Samuel Huntington School","=""1040811""",358
,,"Special Needs Program @ Mahan","=""1040511""",10
,,"Strive Autism Program @ Huntington","=""1040411""","*"
,,"Strive Program @ Kelly","=""1041111""",10
,,"Strive Program @ Stanton","=""1041211""","*"
,,"Thomas W. Mahan School","=""1041711""",257
,,"Transition Academy","=""1041011""",34
,,"Uncas Elementary School","=""1041911""",232
,,"Veterans' Memorial School","=""1041811""",290
,,"Virtual Learning Academy","=""1049211""","*"
,,"Wequonnoc Magnet School","=""1041511""",197
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",410
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""",383
,,"Old Saybrook Middle School","=""1065211""",307
,,"Old Saybrook Senior High School","=""1066111""",338
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""",195
,,"Peck Place School","=""1070511""",386
,,"Race Brook School","=""1070311""",375
,,"Turkey Hill School","=""1070411""",297
"Oxford School District","=""1080011""","Comprehensive Learning Program","=""1080711""","*"
,,"Connections Alternative Learning Center","=""1080411""","*"
,,"Elementary Comprehensive Learning Program","=""1080611""","*"
,,"Great Oak Elementary School","=""1080111""",369
,,"Oxford High School","=""1086011""",476
,,"Oxford Middle School","=""1085111""",371
,,"Quaker Farms School","=""1080311""",384
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",434
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""",252
,,"Plainfield Central School","=""1095111""",422
,,"Plainfield High School","=""1096111""",515
,,"Plainfield Memorial School","=""1090311""",291
,,"Shepard Hill Elementary School","=""1090411""",392
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""",262
,,"Linden Street School","=""1100211""",363
,,"Louis Toffolon School","=""1100511""",365
,,"Middle School of Plainville","=""1105211""",535
,,"Plainville High School","=""1106111""",674
,,"Plainville Transition Program","=""1100111""",9
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""",290
,,"Harry S. Fisher Elementary School","=""1110411""",286
,,"Plymouth Center School","=""1110211""",320
,,"Terryville High School","=""1116111""",337
,,"Terryville High School Transition Program","=""1110511""","*"
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",332
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""",217
,,"Gildersleeve School","=""1130411""",253
,,"Portland High School","=""1136111""",323
,,"Portland Middle School","=""1135111""",214
,,"Portland Pathways Transition Program","=""1130111""",7
,,"Valley View School","=""1130211""",219
"Preston School District","=""1140011""","Preston Plains School","=""1145111""",141
,,"Preston Veterans' Memorial School","=""1140411""",284
"Putnam School District","=""1160011""","Helping Hands","=""1169011""","*"
,,"Putnam Elementary School","=""1160311""",558
,,"Putnam High School","=""1166111""",253
,,"Putnam Middle School","=""1165111""",353
"Redding School District","=""1170011""","John Read Middle School","=""1175111""",381
,,"Redding Elementary School","=""1170111""",471
"Regional School District 01","=""2010012""","ALPSS","=""2010512""","*"
,,"Housatonic Valley Regional High School","=""2016112""",352
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""",197
,,"Region 4 Transition Academy","=""2040112""",7
,,"Valley Regional High School","=""2046112""",429
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",373
,,"Amity Middle School: Orange","=""2055212""",380
,,"Amity Regional High School","=""2056112""",1347
,,"Amity Transition Academy - Albertus Magnus","=""2050112""",6
,,"Amity Transition Academy - University of New Haven","=""2050412""",7
,,"SAILS","=""2050212""",7
,,"Spartan Prep","=""2050312""","*"
"Regional School District 07","=""2070012""","AIM","=""2079112""",6
,,"FLEX","=""2079012""","*"
,,"Highlander Transition Academy","=""2070112""",17
,,"Links","=""2079212""",12
,,"Northwestern Regional High School","=""2076112""",536
,,"Northwestern Regional Middle School","=""2075112""",218
,,"STEP","=""2079312""",17
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",714
,,"RHAM Middle School","=""2085112""",352
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",698
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",669
,,"Harwinton Consolidated School","=""2100312""",374
,,"Lake Garda Elementary School","=""2100212""",466
,,"Lewis S. Mills High School","=""2106112""",614
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",184
,,"Parish Hill Transition Program","=""2110112""","*"
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""",86
,,"Shepaug Valley Partnership","=""2120512""","*"
,,"Shepaug Valley School","=""2120312""",486
,,"The Burnham School","=""2120112""",68
,,"Washington Primary School","=""2120412""",156
"Regional School District 13","=""2130012""","Coginchaug Academy","=""2130612""",6
,,"Coginchaug Regional High School","=""2136112""",356
,,"Frank Ward Strong School","=""2135112""",319
,,"Frederick Brewster School","=""2130112""",214
,,"John Lyman School","=""2130512""",207
,,"Middlefield Memorial School","=""2130412""",206
,,"Middlesex Transition Academy","=""2130312""",21
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""",276
,,"Mitchell Elementary School","=""2140212""",328
,,"Nonnewaug High School","=""2146112""",647
,,"Region 14 Transition Academy","=""2140412""","*"
,,"Woodbury Middle School","=""2145112""",300
"Regional School District 15","=""2150012""","Gainfield Elementary School","=""2150412""",321
,,"Long Meadow Elementary School","=""2150712""",518
,,"MIJ Program","=""2150112""","*"
,,"Memorial Middle School","=""2155212""",420
,,"Middlebury Elementary School","=""2150612""",309
,,"Pomperaug Elementary School","=""2150512""",395
,,"Pomperaug Regional High School","=""2156212""",970
,,"Rochambeau Middle School","=""2155112""",412
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""",313
,,"Long River Middle School","=""2165112""",434
,,"Prospect Elementary School","=""2160512""",572
,,"Woodland Regional High School","=""2166012""",571
"Regional School District 17","=""2170012""","Burr District Elementary School","=""2170212""",278
,,"Haddam-Killingworth High School","=""2176112""",466
,,"Haddam-Killingworth Intermediate School","=""2170512""",280
,,"Haddam-Killingworth Middle School","=""2175112""",423
,,"Killingworth Elementary School","=""2170312""",257
,,"RSD17 Transition Program","=""2170412""","*"
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""","*"
,,"Center School","=""2180312""",80
,,"Lyme Consolidated School","=""2180112""",226
,,"Lyme-Old Lyme High School","=""2186112""",367
,,"Lyme-Old Lyme Middle School","=""2185112""",271
,,"Mile Creek School","=""2180212""",334
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",1010
,,"E.O. Smith High School at the Depot Campus","=""2190112""",19
,,"STAAR Program","=""2190312""",22
"Regional School District 20","=""2200012""","Goshen Center School","=""2200212""",135
,,"James Morris School","=""2200312""",116
,,"Lakeview High School","=""2200612""",583
,,"Litchfield Center School","=""2200112""",246
,,"Litchfield Intermediate School","=""2200412""",121
,,"Plumb Hill Middle School","=""2200512""",351
,,"Region 20 Transition Program","=""2200812""",6
,,"Warren School","=""2200712""",54
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""",17
,,"Barlow Mountain Elementary School","=""1180811""",377
,,"Branchville Elementary School","=""1180611""",340
,,"District Program BES","=""1181411""","*"
,,"District Program BMES","=""1180111""","*"
,,"District Program ERMS","=""1181011""","*"
,,"District Program FES","=""1181211""","*"
,,"District Program RES","=""1180711""","*"
,,"District Program RHS","=""1181311""",10
,,"District Program SES","=""1180911""","*"
,,"District Program SRMS","=""1181111""",7
,,"East Ridge Middle School","=""1185111""",489
,,"Farmingville Elementary School","=""1180411""",311
,,"RES Pathways","=""1181511""",6
,,"Ridgebury Elementary School","=""1180311""",322
,,"Ridgefield High School","=""1186111""",1411
,,"Ridgefield Transition Program","=""1189011""",16
,,"Scotland Elementary School","=""1180511""",318
,,"Scotts Ridge Middle School","=""1185211""",548
,,"VP Pathways","=""1181611""","*"
,,"Veterans Park Elementary School","=""1180211""",262
"Rocky Hill School District","=""1190011""","Albert D. Griswold Middle School","=""1195111""",622
,,"Moser School","=""1190611""",369
,,"Myrtle H. Stevens School","=""1190411""",401
,,"Pathways","=""1190311""","*"
,,"Rocky Hill DREAM Transition Academy","=""1190711""",10
,,"Rocky Hill High School","=""1196111""",738
,,"West Hill School","=""1190511""",392
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""",389
"Salisbury School District","=""1220011""","Salisbury Central School","=""1220111""",288
"Scotland School District","=""1230011""","Scotland Elementary School","=""1230111""",95
"Seymour School District","=""1240011""","Bungay School","=""1240111""",478
,,"Chatfield-LoPresti School","=""1240211""",515
,,"Seymour High School","=""1246111""",604
,,"Seymour Middle School","=""1245111""",494
"Sharon School District","=""1250011""","Sharon Center School","=""1250111""",97
"Shelton School District","=""1260011""","Alternative Learning Center 1","=""1260211""",33
,,"Booth Hill School","=""1261011""",304
,,"Elizabeth Shelton School","=""1260511""",405
,,"Intermediate School","=""1265111""",714
,,"Life Skills","=""1260311""",12
,,"Long Hill School","=""1260811""",307
,,"Mohegan School","=""1260911""",325
,,"Perry Hill Elementary School","=""1261111""",711
,,"Pre-Kindergarten","=""1260111""",60
,,"Pre-Kindergarten 2","=""1261411""",59
,,"Shelton High School","=""1266111""",1308
,,"Shelton Pathways Academy","=""1261511""",9
,,"Sunnyside School","=""1260611""",229
,,"Therapeutic Learning Center","=""1261211""",7
,,"Transition Program","=""1260711""",14
"Sherman School District","=""1270011""","Sherman School","=""1270111""",229
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",236
"Simsbury School District","=""1280011""","Central School","=""1280111""",393
,,"Farmington Valley Transition Academy","=""1280211""",39
,,"Henry James Memorial School","=""1285111""",685
,,"Latimer Lane School","=""1280611""",483
,,"Simsbury High School","=""1286111""",1187
,,"Squadron Line School","=""1280711""",710
,,"Tariffville School","=""1280311""",236
,,"Tootin' Hills School","=""1280411""",368
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""",335
,,"Somers Elementary School","=""1290411""",645
,,"Somers High School","=""1296111""",359
"South Windsor School District","=""1320011""","Alternative Education Program","=""1320311""",9
,,"Eli Terry School","=""1320711""",489
,,"Orchard Hill School","=""1320611""",623
,,"Philip R. Smith School","=""1320111""",468
,,"Pleasant Valley School","=""1320211""",736
,,"Preschool Outreach Program","=""1320511""",106
,,"South Windsor High School","=""1326211""",1442
,,"South Windsor Transition Program","=""1329011""",12
,,"Timothy Edwards School","=""1325111""",1221
"Southington School District","=""1310011""","Comprehensive Learning Center (CLC) - HES","=""1311811""",11
,,"Comprehensive Learning Center (CLC) - JFK","=""1310511""",23
,,"Comprehensive Learning Center (CLC) - SHS","=""1311711""",10
,,"Flanders Elementary School","=""1311311""",259
,,"John F. Kennedy Middle School","=""1315311""",659
,,"Joseph A. Depaolo Middle School","=""1315111""",671
,,"Karen Smith Academy","=""1310111""",28
,,"R. E. Thalberg Elementary School","=""1310911""",443
,,"STELLAR (Southington's Transitional Education in Life, Learning Adult Responsibilities)","=""1312211""",19
,,"South End Elementary School","=""1310711""",243
,,"Southington High School","=""1316211""",1905
,,"Specialized Learning Center (SLC) - HES","=""1311111""",27
,,"Therapeutic Learning Center (TLC) - Intermediate - DES","=""1310411""",6
,,"Therapeutic Learning Center (TLC) - JAD","=""1311611""",11
,,"Therapeutic Learning Center (TLC) - Primary - DES","=""1312411""","*"
,,"Therapeutic Learning Center (TLC) - Primary - KES","=""1312311""",6
,,"Therapeutic Learning Center (TLC) - SHS","=""1311211""",14
,,"Urbin T. Kelley School","=""1311411""",301
,,"Walter A. Derynoski Elementary School","=""1311511""",549
,,"William H. Hatton Elementary School","=""1310211""",320
,,"William M. Strong Elementary School","=""1310811""",294
,,"Wrinn Integrated Preschool - HES","=""1312011""",59
,,"Wrinn Integrated Preschool - SES","=""1312111""",62
,,"Zaya A. Oshana Elementary School","=""1310611""",235
"Sprague School District","=""1330011""","Sayles School","=""1330111""",254
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""",438
,,"Stafford High School","=""1346111""",357
,,"Stafford Middle School","=""1345211""",285
,,"West Stafford School","=""1340411""",176
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""",543
"Stamford School District","=""1350011""","Anchor","=""1350411""",88
,,"Apples PreK","=""1350111""",279
,,"Cloonan School","=""1355611""",447
,,"Davenport Ridge School","=""1352011""",673
,,"Dolan School","=""1355311""",577
,,"Hart School","=""1352211""",566
,,"Julia A. Stark School","=""1351211""",553
,,"K. T. Murphy School","=""1350511""",390
