"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2024-25"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Park City Prep Charter School District","=""2830013""",257,131,46,434
"Plainfield School District","=""1090011""",890,807,189,1886
"Plainville School District","=""1100011""",774,1229,220,2223
"Plymouth School District","=""1110011""",503,607,134,1244
"Pomfret School District","=""1120011""",64,255,14,333
"Portland School District","=""1130011""",315,886,49,1250
"Preston School District","=""1140011""",103,304,25,432
"Putnam School District","=""1160011""",583,491,102,1176
"Redding School District","=""1170011""",55,778,22,855
"Regional School District 01","=""2010012""",78,250,28,356
"Regional School District 04","=""2040012""",129,472,45,646
"Regional School District 05","=""2050012""",285,1782,71,2138
"Regional School District 07","=""2070012""",150,609,59,818
"Regional School District 08","=""2080012""",157,873,45,1075
"Regional School District 09","=""2090012""",62,634,16,712
"Regional School District 10","=""2100012""",271,1796,73,2140
"Regional School District 11","=""2110012""",100,87,7,194
"Regional School District 12","=""2120012""",129,646,23,798
"Regional School District 13","=""2130012""",193,1107,39,1339
"Regional School District 14","=""2140012""",242,1249,70,1561
"Regional School District 15","=""2150012""",382,2907,79,3368
"Regional School District 16","=""2160012""",397,1396,105,1898
"Regional School District 17","=""2170012""",232,1438,46,1716
"Regional School District 18","=""2180012""",160,1087,34,1281
"Regional School District 19","=""2190012""",250,745,66,1061
"Regional School District 20","=""2200012""",315,1191,113,1619
"Ridgefield School District","=""1180011""",272,4123,89,4484
"Rocky Hill School District","=""1190011""",468,1954,117,2539
"Salem School District","=""1210011""",73,296,23,392
"Salisbury School District","=""1220011""",47,222,19,288
"Scotland School District","=""1230011""","*",58,"*",96
"Seymour School District","=""1240011""",828,1032,243,2103
"Sharon School District","=""1250011""","*",66,"*",97
"Shelton School District","=""1260011""",1271,2860,387,4518
"Sherman School District","=""1270011""","*",216,"*",231
"Side By Side Charter School District","=""2700013""",116,93,27,236
"Simsbury School District","=""1280011""",572,3437,118,4127
"Somers School District","=""1290011""","*",1269,"*",1347
"South Windsor School District","=""1320011""",714,4177,234,5125
"Southington School District","=""1310011""",1347,4527,326,6200
"Sprague School District","=""1330011""",123,119,23,265
"Stafford School District","=""1340011""",432,751,83,1266
"Stamford Charter School for Excellence District","=""2960013""",243,241,59,543
"Stamford School District","=""1350011""",7073,7405,1707,16185
"Sterling School District","=""1360011""",122,175,13,310
"Stonington School District","=""1370011""",371,1272,79,1722
"Stratford School District","=""1380011""",2669,3276,633,6578
"Suffield School District","=""1390011""",244,1719,64,2027
"The Bridge Academy District","=""2690013""",185,41,55,281
"The Gilbert School District","=""9020022""",203,197,52,452
"The Woodstock Academy District","=""9030022""",39,977,6,1022
"Thomaston School District","=""1400011""",247,470,60,777
"Thompson School District","=""1410011""",283,445,98,826
"Tolland School District","=""1420011""",278,1773,93,2144
"Torrington School District","=""1430011""",2180,1331,400,3911
"Trumbull School District","=""1440011""",1110,5550,283,6943
"Unified School District #1","=""3360015""",145,0,0,145
"Unified School District #2","=""3470015""",0,80,0,80
"Union School District","=""1450011""","*",36,"*","*"
"Vernon School District","=""1460011""",1534,1424,278,3236
"Voluntown School District","=""1470011""",61,138,18,217
"Wallingford School District","=""1480011""",1530,3373,338,5241
"Waterbury School District","=""1510011""",14754,3876,146,18776
"Waterford School District","=""1520011""",575,1536,170,2281
"Watertown School District","=""1530011""",843,1474,211,2528
"West Hartford School District","=""1550011""",2084,6526,518,9128
"West Haven School District","=""1560011""",2902,2548,500,5950
"Westbrook School District","=""1540011""",175,350,67,592
