"Student Counts by District and Grade"
"All Districts"
"2024-25"

"",,"Grade",,,,,,,,,,,,,,
"District","District Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Regional School District 01","=""2010012""",0,0,0,0,0,0,0,0,0,"*",95,"*",88,100,356
"Common Ground High School District","=""2680013""",0,0,0,0,0,0,0,0,0,0,70,56,53,42,221
"Connecticut Technical Education and Career System","=""9000016""",0,0,0,0,0,0,0,0,0,0,3107,2921,2653,2615,11296
"Explorations District","=""2720013""",0,0,0,0,0,0,0,0,0,0,13,18,24,22,77
"Norwich Free Academy District","=""9010022""",0,0,0,0,0,0,0,0,0,0,475,502,538,582,2097
"Regional School District 09","=""2090012""",0,0,0,0,0,0,0,0,0,0,156,183,178,195,712
"Regional School District 19","=""2190012""",0,0,0,0,0,0,0,0,0,0,248,246,244,323,1061
"The Woodstock Academy District","=""9030022""",0,0,0,0,0,0,0,0,0,0,232,250,271,269,1022
"Unified School District #1","=""3360015""",0,0,0,0,0,0,0,0,0,0,18,38,37,52,145
"Department of Mental Health and Addiction Services","=""""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Total","=""""",20762,30298,34972,35922,37482,35518,37148,37346,37560,38025,41585,40369,39674,41741,508402

