District Name,District Code,School Name,School Code,Account Index,Drop Flag,Final Category,Support Type,Distinction
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering,2415114,64.29,Yes,5,Turnaround,
Capitol Region Education Council,2410014,Academy of Computer Science and Engineering,2415214,53.79,Yes,4,Focus,
Capitol Region Education Council,2410014,Academy of Computer Science and and Engineering Middle School,2415014,45.85,Yes,3,,
Capitol Region Education Council,2410014,Academy of International Studies 6-12,2416114,61.66,,3,,
Capitol Region Education Council,2410014,Academy of International Studies Elementary School,2410414,48.41,Yes,4,Focus,
Capitol Region Education Council,2410014,Academy of Science and Innovation,2416514,60.78,,4,Focus,
Capitol Region Education Council,2410014,Ana Grace Academy of the Arts,2410614,47.73,Yes,3,,
Capitol Region Education Council,2410014,Discovery Academy,2418114,67.97,Yes,3,,
Capitol Region Education Council,2410014,Glastonbury/East Hartford Magnet School,2410114,54.11,Yes,3,,
Capitol Region Education Council,2410014,Greater Hartford Academy of the Arts High School - Full Day,2416414,62.71,Yes,4,Focus,
Capitol Region Education Council,2410014,Montessori Magnet School,2413114,61.34,Yes,3,,
Capitol Region Education Council,2410014,Museum Academy,2410514,52.09,Yes,3,,
Capitol Region Education Council,2410014,Reggio Magnet School of the Arts,2410314,55.21,,3,,
Capitol Region Education Council,2410014,University of Hartford Magnet School,2410214,60.84,Yes,3,,
Cooperative Educational Services,2430014,Six-Six Magnet School,2430114,66.53,,3,,
Area Cooperative Educational Services,2440014,ACES at Chase,2445114,62.28,,3,,
Area Cooperative Educational Services,2440014,The Bridge at ACES,2440614,25.00,Yes,3,,
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,51.82,,3,,
Learn,2450014,Marine Science Magnet High School,2456114,81.11,,2,,
Learn,2450014,Regional Multicultural Magnet School,2450114,56.41,,3,,
Learn,2450014,Three Rivers Middle College Magnet School,2456214,78.58,,2,,
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Arts at the Capitol Theater Magnet School (ACT),2536014,62.07,Yes,3,,
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Quinebaug Middle College,2536114,68.63,Yes,3,,
Jumoke Academy District,2610013,Jumoke Academy,2610113,43.44,,3,,
Odyssey Community School District,2630013,Odyssey Community School,2635113,76.03,,2,,
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,72.18,,2,,
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,72.46,,2,,
Common Ground High School District,2680013,Common Ground High School,2686113,61.77,Yes,4,Focus,
The Bridge Academy District,2690013,The Bridge Academy,2696113,72.47,,2,,
Side By Side Charter School District,2700013,Side By Side Charter School,2700113,74.60,,2,,
Explorations District,2720013,Explorations,2726113,45.31,Yes,3,,
Amistad Academy District,2790013,Amistad Academy,2795113,67.96,,3,,
New Beginnings Inc Family Academy District,2800013,New Beginnings Inc Family Academy,2800113,54.06,,3,,
Park City Prep Charter School District,2830013,Park City Prep Charter School,2835113,64.33,,3,,
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,62.25,,3,,
Highville Charter School District,2860013,Highville Charter School,2860113,58.16,,3,,
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,62.89,,3,,
Elm City College Preparatory School District,2890013,Elm City College Preparatory School,2890113,67.45,,3,,
Brass City Charter School District,2900013,Brass City Charter School,2900113,59.15,,3,,
Elm City Montessori School District,2910013,Elm City Montessori School,2910113,63.83,Yes,3,,
Great Oaks Charter School District,2940013,Great Oaks Charter School,2940113,57.70,Yes,3,,
Booker T. Washington Academy District,2950013,Booker T. Washington Academy,2950113,71.37,,2,,High Growth
Stamford Charter School for Excellence District,2960013,Stamford Charter School for Excellence,2960113,73.71,,2,,
Capital Preparatory Harbor School District,2970013,Capital Preparatory Harbor School,2970113,73.22,,2,,
Unified School District #2,3470015,Albert J. Solnit Children's Center- South Campus,3470315,25.00,Yes,3,,
Connecticut Technical Education and Career System,9000016,A. I. Prince Technical High School,9001516,52.81,,5,Focus,
Connecticut Technical Education and Career System,9000016,Bullard-Havens Technical High School,9001116,61.00,,3,,
Connecticut Technical Education and Career System,9000016,E. C. Goodwin Technical High School,9001916,61.41,,4,Focus,
Connecticut Technical Education and Career System,9000016,Eli Whitney Technical High School,9001416,56.79,,5,Focus,
Connecticut Technical Education and Career System,9000016,Ella T. Grasso Technical High School,9002716,66.79,,3,,
Connecticut Technical Education and Career System,9000016,Emmett O'Brien Technical High School,9002516,62.18,,3,,
Connecticut Technical Education and Career System,9000016,H. C. Wilcox Technical High School,9001716,65.53,,3,,
Connecticut Technical Education and Career System,9000016,H. H. Ellis Technical High School,9001316,64.05,,3,,
Connecticut Technical Education and Career System,9000016,Henry Abbott Technical High School,9001216,73.60,,2,,
Connecticut Technical Education and Career System,9000016,Howell Cheney Technical High School,9001616,57.53,,4,Focus,
Connecticut Technical Education and Career System,9000016,J. M. Wright Technical High School,9002116,55.42,,4,Focus,
Connecticut Technical Education and Career System,9000016,Norwich Technical High School,9002016,73.09,,2,,
Connecticut Technical Education and Career System,9000016,Oliver Wolcott Technical High School,9002216,63.79,Yes,3,,
Connecticut Technical Education and Career System,9000016,Platt Technical High School,9002616,56.70,,3,,
Connecticut Technical Education and Career System,9000016,Vinal Technical High School,9001816,56.48,,3,,
Connecticut Technical Education and Career System,9000016,W. F. Kaynor Technical High School,9002316,68.56,,3,,
Connecticut Technical Education and Career System,9000016,Windham Technical High School,9002416,66.61,,3,,
Norwich Free Academy District,9010022,Norwich Free Academy,9016122,65.94,Yes,3,,
The Gilbert School District,9020022,The Gilbert School,9026122,65.73,,4,Focus,
The Woodstock Academy District,9030022,The Woodstock Academy,9036122,73.28,Yes,3,,
