"Student Counts by District and English Learner Status"
"All Districts"
"2024-25"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Regional School District 07","=""2070012""",812,6,818
"Regional School District 08","=""2080012""","*","*",1075
"Regional School District 09","=""2090012""","*","*",712
"Regional School District 10","=""2100012""",2106,34,2140
"Regional School District 11","=""2110012""","*","*",194
"Regional School District 12","=""2120012""",783,15,798
"Regional School District 13","=""2130012""",1319,20,1339
"Regional School District 14","=""2140012""",1547,14,1561
"Regional School District 15","=""2150012""",3302,66,3368
"Regional School District 16","=""2160012""",1854,44,1898
"Regional School District 17","=""2170012""",1705,11,1716
"Regional School District 18","=""2180012""",1247,34,1281
"Regional School District 19","=""2190012""",1042,19,1061
"Regional School District 20","=""2200012""",1599,20,1619
"Ridgefield School District","=""1180011""",4388,96,4484
"Rocky Hill School District","=""1190011""",2248,291,2539
"Salem School District","=""1210011""","*","*",392
"Salisbury School District","=""1220011""",282,6,288
"Scotland School District","=""1230011""","*","*",96
"Seymour School District","=""1240011""",1958,145,2103
"Sharon School District","=""1250011""","*","*",97
"Shelton School District","=""1260011""",4178,340,4518
"Sherman School District","=""1270011""",231,0,231
"Side By Side Charter School District","=""2700013""",191,45,236
"Simsbury School District","=""1280011""",4036,91,4127
"Somers School District","=""1290011""",1328,19,1347
"South Windsor School District","=""1320011""",4643,482,5125
"Southington School District","=""1310011""",5958,242,6200
"Sprague School District","=""1330011""","*","*",265
"Stafford School District","=""1340011""",1253,13,1266
"Stamford Charter School for Excellence District","=""2960013""",475,68,543
"Stamford School District","=""1350011""",13067,3118,16185
"Sterling School District","=""1360011""","*","*",310
"Stonington School District","=""1370011""",1708,14,1722
"Stratford School District","=""1380011""",5815,763,6578
"Suffield School District","=""1390011""",1976,51,2027
"The Bridge Academy District","=""2690013""",267,14,281
"The Gilbert School District","=""9020022""",438,14,452
"The Woodstock Academy District","=""9030022""","*","*",1022
"Thomaston School District","=""1400011""",761,16,777
"Thompson School District","=""1410011""",807,19,826
"Tolland School District","=""1420011""",2117,27,2144
"Torrington School District","=""1430011""",3263,648,3911
"Trumbull School District","=""1440011""",6616,327,6943
"Unified School District #1","=""3360015""",132,13,145
"Unified School District #2","=""3470015""","*","*",80
"Union School District","=""1450011""","*",0,"*"
"Vernon School District","=""1460011""",3108,128,3236
"Voluntown School District","=""1470011""",206,11,217
"Wallingford School District","=""1480011""",4833,408,5241
"Waterbury School District","=""1510011""",14833,3943,18776
"Waterford School District","=""1520011""",2142,139,2281
"Watertown School District","=""1530011""",2398,130,2528
"West Hartford School District","=""1550011""",8341,787,9128
"West Haven School District","=""1560011""",4580,1370,5950
"Westbrook School District","=""1540011""",497,95,592
"Weston School District","=""1570011""",2072,29,2101
"Westport School District","=""1580011""",5224,57,5281
"Wethersfield School District","=""1590011""",3128,343,3471
"Willington School District","=""1600011""","*","*",376
"Wilton School District","=""1610011""",3703,79,3782
"Winchester School District","=""1620011""",565,34,599
"Windham School District","=""1630011""",2143,1010,3153
"Windsor Locks School District","=""1650011""",1333,115,1448
"Windsor School District","=""1640011""",3142,124,3266
"Wolcott School District","=""1660011""",1984,116,2100
"Woodbridge School District","=""1670011""",802,60,862
"Woodstock School District","=""1690011""",746,10,756
"Total","=""""",450869,57533,508402

