"Smarter Balanced Assessments, 2024-25"
"All Districts, ELA and Math, All Grades, All Students"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Average VSS"
,,"08","ELA",277,276,99.6,276,36,13.0,70,25.4,105,38.0,65,23.6,170,61.6,2594
,,,"Math",277,275,99.3,275,76,27.6,80,29.1,52,18.9,67,24.4,119,43.3,2565
"Willington School District","=""1600011""","03","ELA",41,40,97.6,40,15,37.5,"*","*",11,27.5,"*","*","*","*",2391
,,,"Math",41,40,97.6,40,"*","*",10,25.0,13,32.5,"*","*","*","*",2436
,,"04","ELA",32,28,87.5,28,14,50.0,7,25.0,"*","*","*","*",7,25.0,2428
,,,"Math",32,28,87.5,28,"*","*",13,46.4,7,25.0,"*","*","*","*",2458
,,"05","ELA",41,41,100.0,41,8,19.5,11,26.8,15,36.6,7,17.1,22,53.7,2502
,,,"Math",41,41,100.0,41,"*","*","*","*",13,31.7,10,24.4,23,56.1,2526
,,"06","ELA",46,46,100.0,46,7,15.2,11,23.9,16,34.8,12,26.1,28,60.9,2552
,,,"Math",46,46,100.0,46,7,15.2,16,34.8,9,19.6,14,30.4,23,50.0,2553
,,"07","ELA",34,34,100.0,34,"*","*",10,29.4,18,52.9,"*","*","*","*",2547
,,,"Math",34,34,100.0,34,"*","*",14,41.2,"*","*",8,23.5,"*","*",2567
,,"08","ELA",40,37,92.5,37,"*","*",9,24.3,16,43.2,"*","*","*","*",2580
,,,"Math",40,36,90.0,36,"*","*","*","*",9,25.0,17,47.2,26,72.2,2620
"Wilton School District","=""1610011""","03","ELA",289,288,99.7,288,20,6.9,65,22.6,76,26.4,127,44.1,203,70.5,2474
,,,"Math",289,288,99.7,288,17,5.9,46,16.0,92,31.9,133,46.2,225,78.1,2490
,,"04","ELA",288,287,99.7,287,20,7.0,50,17.4,64,22.3,153,53.3,217,75.6,2533
,,,"Math",288,286,99.3,286,11,3.8,52,18.2,77,26.9,146,51.0,223,78.0,2545
,,"05","ELA",246,243,98.8,243,8,3.3,21,8.6,73,30.0,141,58.0,214,88.1,2588
,,,"Math",246,242,98.4,242,10,4.1,39,16.1,48,19.8,145,59.9,193,79.8,2588
,,"06","ELA",291,286,98.3,286,18,6.3,46,16.1,94,32.9,128,44.8,222,77.6,2595
,,,"Math",291,284,97.6,284,16,5.6,39,13.7,58,20.4,171,60.2,229,80.6,2619
,,"07","ELA",268,267,99.6,267,7,2.6,33,12.4,119,44.6,108,40.4,227,85.0,2629
,,,"Math",268,267,99.6,267,7,2.6,24,9.0,58,21.7,178,66.7,236,88.4,2666
,,"08","ELA",292,287,98.3,287,14,4.9,34,11.8,128,44.6,111,38.7,239,83.3,2640
,,,"Math",292,285,97.6,285,14,4.9,38,13.3,49,17.2,184,64.6,233,81.8,2673
"Winchester School District","=""1620011""","03","ELA",106,106,100.0,106,34,32.1,37,34.9,20,18.9,15,14.2,35,33.0,2400
,,,"Math",106,106,100.0,106,47,44.3,29,27.4,19,17.9,11,10.4,30,28.3,2398
,,"04","ELA",66,66,100.0,66,29,43.9,14,21.2,8,12.1,15,22.7,23,34.8,2437
,,,"Math",66,66,100.0,66,13,19.7,24,36.4,16,24.2,13,19.7,29,43.9,2472
,,"05","ELA",72,72,100.0,71,17,23.9,19,26.8,21,29.6,14,19.7,35,49.3,2501
,,,"Math",72,71,98.6,71,13,18.3,22,31.0,17,23.9,19,26.8,36,50.7,2523
,,"06","ELA",75,75,100.0,75,18,24.0,15,20.0,24,32.0,18,24.0,42,56.0,2534
,,,"Math",75,75,100.0,75,24,32.0,18,24.0,19,25.3,14,18.7,33,44.0,2517
,,"07","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"08","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windham School District","=""1630011""","03","ELA",278,278,100.0,278,158,56.8,67,24.1,35,12.6,18,6.5,53,19.1,2356
