"Smarter Balanced Assessments, 2024-25"
"All Districts, ELA and Math, All Grades, All Students"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Average VSS"
,,,"Math",278,278,100.0,278,143,51.4,58,20.9,52,18.7,25,9.0,77,27.7,2384
,,"04","ELA",249,248,99.6,248,129,52.0,43,17.3,36,14.5,40,16.1,76,30.6,2422
,,,"Math",248,247,99.6,247,94,38.1,76,30.8,50,20.2,27,10.9,77,31.2,2440
,,"05","ELA",258,257,99.6,257,118,45.9,54,21.0,55,21.4,30,11.7,85,33.1,2457
,,,"Math",258,257,99.6,257,114,44.4,68,26.5,39,15.2,36,14.0,75,29.2,2471
,,"06","ELA",251,249,99.2,249,103,41.4,63,25.3,66,26.5,17,6.8,83,33.3,2480
,,,"Math",251,249,99.2,249,108,43.4,69,27.7,46,18.5,26,10.4,72,28.9,2482
,,"07","ELA",245,243,99.2,243,90,37.0,70,28.8,71,29.2,12,4.9,83,34.2,2504
,,,"Math",245,242,98.8,242,111,45.9,64,26.4,44,18.2,23,9.5,67,27.7,2492
,,"08","ELA",259,254,98.1,254,99,39.0,73,28.7,61,24.0,21,8.3,82,32.3,2516
,,,"Math",258,252,97.7,251,141,56.2,65,25.9,25,10.0,20,8.0,45,17.9,2484
"Windsor Locks School District","=""1650011""","03","ELA",102,102,100.0,102,42,41.2,34,33.3,14,13.7,12,11.8,26,25.5,2386
,,,"Math",102,100,98.0,100,38,38.0,29,29.0,26,26.0,7,7.0,33,33.0,2407
,,"04","ELA",78,78,100.0,78,32,41.0,21,26.9,14,17.9,11,14.1,25,32.1,2438
,,,"Math",78,78,100.0,78,21,26.9,28,35.9,21,26.9,8,10.3,29,37.2,2461
,,"05","ELA",101,100,99.0,100,26,26.0,33,33.0,24,24.0,17,17.0,41,41.0,2489
,,,"Math",101,100,99.0,100,30,30.0,31,31.0,20,20.0,19,19.0,39,39.0,2497
,,"06","ELA",132,131,99.2,131,34,26.0,42,32.1,40,30.5,15,11.5,55,42.0,2508
,,,"Math",131,130,99.2,130,44,33.8,34,26.2,28,21.5,24,18.5,52,40.0,2510
,,"07","ELA",103,103,100.0,103,28,27.2,19,18.4,45,43.7,11,10.7,56,54.4,2542
,,,"Math",103,102,99.0,102,28,27.5,35,34.3,23,22.5,16,15.7,39,38.2,2529
,,"08","ELA",89,88,98.9,88,18,20.5,29,33.0,28,31.8,13,14.8,41,46.6,2560
,,,"Math",89,87,97.8,86,33,38.4,27,31.4,12,14.0,14,16.3,26,30.2,2528
"Windsor School District","=""1640011""","03","ELA",228,227,99.6,227,78,34.4,50,22.0,55,24.2,44,19.4,99,43.6,2406
,,,"Math",228,227,99.6,227,70,30.8,60,26.4,53,23.3,44,19.4,97,42.7,2420
,,"04","ELA",212,211,99.5,211,76,36.0,44,20.9,55,26.1,36,17.1,91,43.1,2449
,,,"Math",212,211,99.5,211,60,28.4,68,32.2,53,25.1,30,14.2,83,39.3,2459
,,"05","ELA",226,221,97.8,221,78,35.3,46,20.8,50,22.6,47,21.3,97,43.9,2482
,,,"Math",226,221,97.8,221,99,44.8,61,27.6,37,16.7,24,10.9,61,27.6,2465
,,"06","ELA",234,231,98.7,231,63,27.3,53,22.9,80,34.6,35,15.2,115,49.8,2518
,,,"Math",234,232,99.1,232,75,32.3,72,31.0,40,17.2,45,19.4,85,36.6,2512
,,"07","ELA",238,231,97.1,231,64,27.7,55,23.8,72,31.2,40,17.3,112,48.5,2540
,,,"Math",238,231,97.1,231,66,28.6,53,22.9,57,24.7,55,23.8,112,48.5,2554
,,"08","ELA",238,233,97.9,233,65,27.9,61,26.2,72,30.9,35,15.0,107,45.9,2552
,,,"Math",238,232,97.5,232,79,34.1,63,27.2,34,14.7,56,24.1,90,38.8,2554
"Wolcott School District","=""1660011""","03","ELA",153,152,99.3,152,14,9.2,31,20.4,48,31.6,59,38.8,107,70.4,2464
,,,"Math",153,152,99.3,152,17,11.2,34,22.4,56,36.8,45,29.6,101,66.4,2462
,,"04","ELA",144,143,99.3,143,23,16.1,25,17.5,51,35.7,44,30.8,95,66.4,2498
,,,"Math",144,143,99.3,143,9,6.3,33,23.1,52,36.4,49,34.3,101,70.6,2521
,,"05","ELA",157,155,98.7,155,19,12.3,31,20.0,47,30.3,58,37.4,105,67.7,2544
,,,"Math",157,155,98.7,155,18,11.6,33,21.3,37,23.9,67,43.2,104,67.1,2558
,,"06","ELA",151,151,100.0,151,25,16.6,32,21.2,62,41.1,32,21.2,94,62.3,2548
,,,"Math",151,151,100.0,151,34,22.5,40,26.5,44,29.1,33,21.9,77,51.0,2537
,,"07","ELA",158,158,100.0,158,13,8.2,40,25.3,64,40.5,41,25.9,105,66.5,2588
,,,"Math",158,158,100.0,158,26,16.5,39,24.7,38,24.1,55,34.8,93,58.9,2585
,,"08","ELA",179,179,100.0,178,29,16.3,48,27.0,67,37.6,34,19.1,101,56.7,2581
,,,"Math",179,178,99.4,178,41,23.0,45,25.3,46,25.8,46,25.8,92,51.7,2584
"Woodbridge School District","=""1670011""","03","ELA",134,134,100.0,134,9,6.7,19,14.2,19,14.2,87,64.9,106,79.1,2500
,,,"Math",134,134,100.0,134,6,4.5,9,6.7,27,20.1,92,68.7,119,88.8,2524
,,"04","ELA",125,120,96.0,120,8,6.7,11,9.2,31,25.8,70,58.3,101,84.2,2542
,,,"Math",125,120,96.0,120,"*","*","*","*",29,24.2,66,55.0,95,79.2,2548
,,"05","ELA",119,118,99.2,118,11,9.3,19,16.1,35,29.7,53,44.9,88,74.6,2566
,,,"Math",119,118,99.2,118,8,6.8,29,24.6,27,22.9,54,45.8,81,68.6,2566
,,"06","ELA",126,126,100.0,126,8,6.3,17,13.5,40,31.7,61,48.4,101,80.2,2605
,,,"Math",126,124,98.4,124,"*","*","*","*",24,19.4,77,62.1,101,81.5,2630
"Woodstock School District","=""1690011""","03","ELA",79,79,100.0,79,17,21.5,28,35.4,16,20.3,18,22.8,34,43.0,2425
,,,"Math",79,79,100.0,79,19,24.1,30,38.0,24,30.4,6,7.6,30,38.0,2420
,,"04","ELA",86,83,96.5,83,23,27.7,19,22.9,24,28.9,17,20.5,41,49.4,2468
,,,"Math",86,82,95.3,82,12,14.6,36,43.9,28,34.1,6,7.3,34,41.5,2468
,,"05","ELA",101,99,98.0,99,20,20.2,13,13.1,34,34.3,32,32.3,66,66.7,2530
,,,"Math",101,99,98.0,99,23,23.2,45,45.5,13,13.1,18,18.2,31,31.3,2497
,,"06","ELA",83,79,95.2,79,13,16.5,24,30.4,22,27.8,20,25.3,42,53.2,2545
,,,"Math",83,79,95.2,79,27,34.2,19,24.1,13,16.5,20,25.3,33,41.8,2519
,,"07","ELA",94,93,98.9,93,15,16.1,23,24.7,39,41.9,16,17.2,55,59.1,2564
,,,"Math",94,93,98.9,93,28,30.1,25,26.9,26,28.0,14,15.1,40,43.0,2538
,,"08","ELA",77,74,96.1,74,19,25.7,22,29.7,23,31.1,10,13.5,33,44.6,2554
,,,"Math",77,74,96.1,74,20,27.0,19,25.7,18,24.3,17,23.0,35,47.3,2574

