"change_group","mean","sd","min","max"
"0 domains",0.92,0.06,0.76,1
"1-2 domains",0.87,0.12,0.31,1
"3-5 domains",0.88,0.08,0.66,1
"6-9 domains",0.84,0.1,0.7,0.98
