"change_group","mean","sd","min","max"
"0 domains",0.5,0.18,0.05,0.84
"1-2 domains",0.44,0.16,0.1,0.81
"3-5 domains",0.41,0.15,0.12,0.83
"6-9 domains",0.38,0.18,0.07,0.73
