"change_group","mean","sd","min","max"
"0 domains",0.36,0.24,0.05,1
"1-2 domains",0.37,0.21,0,0.92
"3-5 domains",0.38,0.19,0.02,0.88
"6-9 domains",0.43,0.22,0.09,0.86
