"change_group","mean","sd","min","max"
"0 domains",0.81,0.13,0.5,0.93
"1-2 domains",0.82,0.13,0.4,1
"3-5 domains",0.83,0.11,0.47,0.96
"6-9 domains",0.8,0.14,0.48,0.92
