"change_group","mean","sd","min","max"
"0 domains",0.19,0.04,0.09,0.25
"1-2 domains",0.19,0.06,0,0.54
"3-5 domains",0.2,0.04,0.05,0.33
"6-9 domains",0.21,0.04,0.1,0.29
