"change_group","mean","sd","min","max"
"0 domains",0.04,0.21,-0.33,0.38
"1-2 domains",0.01,0.17,-0.38,0.33
"3-5 domains",-0.02,0.16,-0.3,0.44
"6-9 domains",-0.05,0.21,-0.4,0.36
