"change_group","mean","sd","min","max"
"0 domains",0.04,0.16,-0.31,0.36
"1-2 domains",0.01,0.13,-0.3,0.31
"3-5 domains",-0.01,0.13,-0.32,0.34
"6-9 domains",-0.03,0.16,-0.34,0.28
