"change_group","mean","sd","min","max"
"0 domains",21918.42,6077.87,11733.91,35664
"1-2 domains",20911.25,6974.15,0,65175.34
"3-5 domains",21707.82,5101.22,9525.04,48443.34
"6-9 domains",20742.43,3349.4,13883.5,25775
