"Factor","Mean score","Ranking"
"Guidance from the federal Department of Education",3.33,1
"State political climate",2.98,2
"Guidance from the state Department of Education",2.52,3
"State funding to participate in new initiatives",2.23,4
"Technical assistance providers",2.05,5
"State professional associations",1.75,6
"Peer learning through participation in networks or consortia",1.69,7
"Philanthropic funding",1.62,8
