"change_group","mean","sd","min","max"
"0 domains",0.04,0.06,0,0.21
"1-2 domains",0.06,0.1,0,0.52
"3-5 domains",0.05,0.09,0,0.47
"6-9 domains",0.09,0.12,0,0.45
