"change_group","mean","sd","min","max"
"0 domains",0.05,0.19,-0.42,0.31
"1-2 domains",0.02,0.17,-0.45,0.34
"3-5 domains",-0.02,0.14,-0.46,0.3
"6-9 domains",-0.08,0.2,-0.37,0.3
