"change_group","mean","sd","min","max"
"0 domains",0.98,0.01,0.97,1
"1-2 domains",0.97,0.01,0.94,1
"3-5 domains",0.98,0.01,0.96,1
"6-9 domains",0.98,NA,0.98,0.98
