GeoId|Geography|LEAID|Year|Iteration|CDP02_53est|CDP02_53moe|CDP02_54est|CDP02_54moe|CDP02_54pct|CDP02_54pctmoe|CDP02_55est|CDP02_55moe|CDP02_55pct|CDP02_55pctmoe|CDP02_56est|CDP02_56moe|CDP02_56pct|CDP02_56pctmoe|CDP02_57est|CDP02_57moe|CDP02_57pct|CDP02_57pctmoe|CDP02_58est|CDP02_58moe|CDP02_58pct|CDP02_58pctmoe|CDP02_59est|CDP02_59moe|CDP02_59pct|CDP02_59pctmoe|CDP02_60est|CDP02_60moe|CDP02_60pct|CDP02_60pctmoe|CDP02_61est|CDP02_61moe|CDP02_61pct|CDP02_61pctmoe|CDP02_62est|CDP02_62moe|CDP02_62pct|CDP02_62pctmoe|CDP02_63est|CDP02_63moe|CDP02_63pct|CDP02_63pctmoe|CDP02_64est|CDP02_64moe|CDP02_64pct|CDP02_64pctmoe
9700000US2314788|Regional School Unit 38, ME|2314788|2018-2022|101|1245|200|1205|195|96.8|3.3|35|40|2.8|3.2|10|10|0.8|0.8|0|15||2.2|0|15||2.2|15|14|1.2|1.1|10|10|0.8|0.8|25|39|2|3.1|0|15||2.2|0|15||2.2|0|15||2.2
9700000US2314794|Regional School Unit 39, ME|2314794|2018-2022|101|875|120|860|118|98.3|2.6|15|24|1.7|2.6|0|15||3.1|0|15||3.1|0|15||3.1|15|24|1.7|2.6|0|15||3.1|0|15||3.1|0|15||3.1|0|15||3.1|0|15||3.1
9700000US2314806|Regional School Unit 50, ME|2314806|2018-2022|101|485|147|435|135|89.7|8.7|50|44|10.3|8.7|10|9|2.1|2.8|0|11||5.5|0|11||5.5|50|44|10.3|8.8|10|9|2.1|2.8|4|2|0.8|2.4|0|11||5.5|0|11||5.5|0|11||5.5
9700000US2314833|Regional School Unit 56, ME|2314833|2018-2022|101|800|183|780|178|97.5|2.9|20|23|2.5|2.9|0|15||3.4|0|15||3.4|0|15||3.4|0|15||3.4|0|15||3.4|20|23|2.5|2.9|0|15||3.4|0|15||3.4|0|15||3.4
9700000US2314822|Regional School Unit 71, ME|2314822|2018-2022|101|1545|265|1400|265|90.6|5.5|145|84|9.4|5.5|65|79|4.2|5|4|7|0.3|0.7|4|6|0.3|0.4|80|81|5.2|5.2|60|79|3.9|5|60|39|3.9|2.8|0|17||1.8|0|17||1.8|0|17||1.8
9700000US2314805|Regional School Unit 73, ME|2314805|2018-2022|101|1330|337|1305|334|98.1|1.7|25|22|1.9|1.7|4|7|0.3|0.6|0|15||2|0|15||2|20|20|1.5|1.6|0|15||2|4|7|0.3|0.6|4|7|0.3|0.6|0|15||2|0|15||2
9700000US2314838|Regional School Unit 89, ME|2314838|2018-2022|101|355|109|250|89|70.4|16.7|100|70|28.2|16.5|20|22|5.6|6.5|0|11||7.4|0|11||7.4|100|70|28.2|16.5|20|22|5.6|6.5|0|11||7.4|0|11||7.4|0|11||7.4|0|11||7.4
9700000US2310380|Saco Public Schools, ME|2310380|2018-2022|101|2840|394|2680|371|94.4|4|160|120|5.6|4|40|46|1.4|1.6|0|20||1|0|20||1|55|53|1.9|1.9|40|46|1.4|1.6|0|20||1|0|20||1|105|104|3.7|3.5|0|20||1
9700000US2310500|Sanford, ME|2310500|2018-2022|101|3870|468|3770|476|97.4|1.9|100|71|2.6|1.9|25|28|0.6|0.7|35|47|0.9|1.2|0|20||0.7|45|45|1.2|1.2|15|20|0.4|0.5|20|27|0.5|0.7|10|19|0.3|0.5|0|20||0.7|0|20||0.7
9700000US2310530|Scarborough, ME|2310530|2018-2022|101|3410|382|3245|404|95.2|3.1|165|103|4.8|3.1|20|33|0.6|1|100|84|2.9|2.5|20|33|0.6|1|40|49|1.2|1.5|0|20||0.8|10|18|0.3|0.5|0|20||0.8|15|49|0.4|1.4|0|20||0.8
