GeoId|Geography|LEAID|Year|Iteration|CDP02_53est|CDP02_53moe|CDP02_54est|CDP02_54moe|CDP02_54pct|CDP02_54pctmoe|CDP02_55est|CDP02_55moe|CDP02_55pct|CDP02_55pctmoe|CDP02_56est|CDP02_56moe|CDP02_56pct|CDP02_56pctmoe|CDP02_57est|CDP02_57moe|CDP02_57pct|CDP02_57pctmoe|CDP02_58est|CDP02_58moe|CDP02_58pct|CDP02_58pctmoe|CDP02_59est|CDP02_59moe|CDP02_59pct|CDP02_59pctmoe|CDP02_60est|CDP02_60moe|CDP02_60pct|CDP02_60pctmoe|CDP02_61est|CDP02_61moe|CDP02_61pct|CDP02_61pctmoe|CDP02_62est|CDP02_62moe|CDP02_62pct|CDP02_62pctmoe|CDP02_63est|CDP02_63moe|CDP02_63pct|CDP02_63pctmoe|CDP02_64est|CDP02_64moe|CDP02_64pct|CDP02_64pctmoe
9700000US2509450|Pentucket School District, MA|2509450|2018-2022|101|2600|386|2555|391|98.3|2|45|49|1.7|2|30|36|1.2|1.4|25|35|1|1.4|10|13|0.4|0.6|0|21||1.6|0|21||1.6|20|34|0.8|1.3|20|34|0.8|1.3|0|21||1.6|0|21||1.6
9700000US2509600|Pioneer Valley School District, MA|2509600|2018-2022|101|885|150|870|150|98.3|1.7|15|15|1.7|1.7|4|9|0.5|1.3|4|12|0.5|1.6|0|19||4.7|4|11|0.5|1.8|4|8|0.5|0.9|4|4|0.5|1.1|4|4|0.5|1.1|0|19||4.7|0|19||4.7
9700000US2509630|Pittsfield School District, MA|2509630|2018-2022|101|5785|448|5275|512|91.2|3.8|505|215|8.7|3.8|75|66|1.3|1.2|280|151|4.8|2.7|40|53|0.7|0.9|40|50|0.7|0.9|0|29||0.7|50|64|0.9|1.1|15|26|0.3|0.4|140|113|2.4|2|15|25|0.3|0.4
9500000US2509690|Plainville School District, MA|2509690|2018-2022|101|1225|285|1025|260|83.7|12.1|200|159|16.3|12.1|120|177|9.8|13.9|120|177|9.8|13.9|120|177|9.8|13.9|80|98|6.5|8.2|0|19||3.4|0|19||3.4|0|19||3.4|0|19||3.4|0|19||3.4
9700000US2509720|Plymouth School District, MA|2509720|2018-2022|101|8210|667|7580|695|92.3|3.2|625|262|7.6|3.2|120|100|1.5|1.2|165|154|2|1.9|0|32||0.5|295|170|3.6|2.1|95|97|1.2|1.2|120|94|1.5|1.2|25|35|0.3|0.4|45|81|0.5|1|0|32||0.5
9500000US2509780|Plympton School District, MA|2509780|2018-2022|101|520|93|520|93|100|7.8|0|14||7.8|0|14||7.8|0|14||7.8|0|14||7.8|0|14||7.8|0|14||7.8|0|14||7.8|0|14||7.8|0|14||7.8|0|14||7.8
9700000US2500001|Quabbin School District, MA|2500001|2018-2022|101|2500|298|2385|309|95.4|2.6|115|62|4.6|2.6|4|8|0.2|0.3|110|62|4.4|2.6|4|8|0.2|0.3|4|8|0.2|0.4|0|21||1.7|0|21||1.7|0|21||1.7|0|21||1.7|0|21||1.7
9700000US2512100|Quaboag Regional School District, MA|2512100|2018-2022|101|1260|387|1245|387|98.8|1.8|15|22|1.2|1.8|0|19||3.3|0|19||3.3|0|19||3.3|15|22|1.2|1.8|0|19||3.3|0|19||3.3|0|19||3.3|0|19||3.3|0|19||3.3
9700000US2509870|Quincy School District, MA|2509870|2018-2022|101|10395|643|6515|645|62.7|4.3|3880|471|37.3|4.3|1495|398|14.4|3.8|170|104|1.6|1|60|69|0.6|0.7|765|226|7.4|2.1|210|115|2|1.1|2840|398|27.3|3.8|1215|370|11.7|3.6|110|84|1.1|0.8|15|24|0.1|0.2
9600000US2509900|Ralph C. Mahar School District, MA|2509900|2018-2022|101|1580|229|1500|236|94.9|3.5|80|53|5.1|3.5|10|12|0.6|0.8|75|53|4.7|3.5|4|11|0.3|0.9|4|4|0.3|0.3|4|4|0.3|0.3|4|9|0.3|0.6|0|21||2.7|0|21||2.7|0|21||2.7
9700000US2509930|Randolph School District, MA|2509930|2018-2022|101|5185|744|3920|671|75.6|6.2|1265|350|24.4|6.2|285|159|5.5|3.2|290|119|5.6|2.2|55|60|1.1|1.2|455|219|8.8|4.4|130|119|2.5|2.4|440|202|8.5|3.7|100|95|1.9|1.8|80|103|1.5|1.9|0|29||0.8
9700000US2509990|Reading School District, MA|2509990|2018-2022|101|4885|468|4345|514|88.9|6.5|540|324|11.1|6.5|70|96|1.4|2|95|98|1.9|2.1|50|89|1|1.8|200|130|4.1|2.7|15|28|0.3|0.6|245|310|5|6.3|0|25||0.9|0|25||0.9|0|25||0.9
9700000US2510050|Revere School District, MA|2510050|2018-2022|101|8660|745|3145|583|36.3|6.6|5515|810|63.7|6.6|1845|559|21.3|6|4000|741|46.2|7.1|1525|543|17.6|5.9|895|412|10.3|4.5|145|113|1.7|1.3|235|145|2.7|1.7|120|89|1.4|1|390|210|4.5|2.4|55|100|0.6|1.1
9500000US2510140|Rochester School District, MA|2510140|2018-2022|101|1040|202|1010|196|97.1|3.1|25|32|2.4|3.1|0|19||4|10|16|1|1.5|0|19||4|15|28|1.4|2.7|0|19||4|0|19||4|0|19||4|0|19||4|0|19||4
9700000US2510170|Rockland School District, MA|2510170|2018-2022|101|2550|425|2165|369|84.9|11.6|390|327|15.3|11.7|45|68|1.8|2.7|65|87|2.5|3.4|45|68|1.8|2.7|90|76|3.5|3.2|0|21||1.7|10|19|0.4|0.8|0|21||1.7|220|321|8.6|11.8|0|21||1.7
9700000US2510200|Rockport School District, MA|2510200|2018-2022|101|720|191|705|189|97.9|3.4|15|25|2.1|3.4|0|19||5.7|15|25|2.1|3.4|0|19||5.7|0|19||5.7|0|19||5.7|0|19||5.7|0|19||5.7|0|19||5.7|0|19||5.7
9700000US2510380|Salem School District, MA|2510380|2018-2022|101|4895|597|3775|552|77.1|7.7|1125|415|23|7.7|205|152|4.2|3.2|605|371|12.4|7|75|70|1.5|1.4|380|193|7.8|4.1|125|130|2.6|2.7|70|84|1.4|1.7|0|29||0.9|70|100|1.4|2.1|0|29||0.9
9700000US2510470|Sandwich School District, MA|2510470|2018-2022|101|2890|298|2760|306|95.5|3.6|130|106|4.5|3.6|4|10|0.1|0.3|55|68|1.9|2.4|4|10|0.1|0.3|75|94|2.6|3.3|0|25||1.5|0|25||1.5|0|25||1.5|0|25||1.5|0|25||1.5
9700000US2510500|Saugus School District, MA|2510500|2018-2022|101|3770|567|2630|516|69.8|10.2|1145|431|30.4|10.2|95|80|2.5|2.1|525|377|13.9|9.4|50|65|1.3|1.7|375|175|9.9|4.6|40|45|1.1|1.2|145|121|3.8|3.2|0|25||1.1|100|96|2.7|2.6|0|25||1.1
9700000US2510560|Scituate School District, MA|2510560|2018-2022|101|3415|358|3210|375|94|3.7|205|124|6|3.7|25|44|0.7|1.3|25|44|0.7|1.3|25|44|0.7|1.3|130|99|3.8|3|0|21||1.2|50|65|1.5|1.9|0|21||1.2|0|21||1.2|0|21||1.2
9700000US2510590|Seekonk School District, MA|2510590|2018-2022|101|2495|383|2360|414|94.6|5.1|140|121|5.6|5.1|0|21||1.7|0|21||1.7|0|21||1.7|140|121|5.6|5.1|0|21||1.7|0|21||1.7|0|21||1.7|0|21||1.7|0|21||1.7
9700000US2510620|Sharon School District, MA|2510620|2018-2022|101|3875|439|3110|437|80.3|5.4|760|214|19.6|5.4|40|45|1|1.2|35|35|0.9|1|4|12|0.1|0.4|460|175|11.9|4.3|10|17|0.3|0.4|200|107|5.2|2.8|25|40|0.6|1|65|68|1.7|1.8|0|21||1.1
9500000US2510710|Sherborn School District, MA|2510710|2018-2022|101|1010|143|830|149|82.2|10.4|180|111|17.8|10.4|55|60|5.4|6|0|14||4.1|0|14||4.1|90|86|8.9|8|0|14||4.1|90|69|8.9|7.1|55|60|5.4|6|0|14||4.1|0|14||4.1
9700000US2510770|Shrewsbury School District, MA|2510770|2018-2022|101|7530|560|4800|521|63.7|6.1|2725|542|36.2|6.2|300|150|4|2|375|348|5|4.5|0|29||0.6|935|327|12.4|4.3|155|113|2.1|1.5|1255|371|16.7|4.7|90|81|1.2|1.1|160|96|2.1|1.3|50|59|0.7|0.8
9500000US2510800|Shutesbury School District, MA|2510800|2018-2022|101|175|55|170|55|97.1|4.5|4|5|2.3|3.1|0|14||21.4|4|5|2.3|3.1|0|14||21.4|0|14||21.4|0|14||21.4|0|14||21.4|0|14||21.4|0|14||21.4|0|14||21.4
9600000US2510830|Silver Lake School District, MA|2510830|2018-2022|101|4165|526|3955|519|95|5.7|210|241|5|5.7|0|25||1|25|33|0.6|0.8|0|25||1|185|241|4.4|5.7|0|25||1|0|25||1|0|25||1|0|25||1|0|25||1
9500000US2510860|Somerset School District, MA|2510860|2018-2022|101|2810|327|2580|306|91.8|4.8|230|143|8.2|4.8|0|21||1.5|0|21||1.5|0|21||1.5|145|113|5.2|4|0|21||1.5|0|21||1.5|0|21||1.5|85|90|3|3.1|0|21||1.5
9600000US2500541|Somerset-Berkley School District, MA|2500541|2018-2022|101|4005|409|3775|401|94.3|3.5|230|143|5.7|3.5|0|25||1.1|4|6|0.1|0.3|0|25||1.1|145|113|3.6|2.8|0|25||1.1|0|25||1.1|0|25||1.1|85|90|2.1|2.2|0|25||1.1
9700000US2510890|Somerville School District, MA|2510890|2018-2022|101|5525|789|3180|472|57.6|7|2345|601|42.4|7|320|149|5.8|2.7|1290|366|23.3|5.6|105|81|1.9|1.4|980|377|17.7|5.3|175|101|3.2|1.9|75|48|1.4|0.8|40|35|0.7|0.7|4|24|0.1|0.4|0|32||0.8
9700000US2510920|South Hadley School District, MA|2510920|2018-2022|101|2145|253|2060|258|96|3|85|64|4|3|20|36|0.9|1.7|40|43|1.9|2|20|36|0.9|1.7|0|21||2|0|21||2|45|50|2.1|2.3|0|21||2|0|21||2|0|21||2
9500000US2510950|Southampton School District, MA|2510950|2018-2022|101|835|161|740|146|88.6|11.5|95|102|11.4|11.5|40|60|4.8|6.9|30|35|3.6|4.1|0|19||5|0|19||5|0|19||5|65|95|7.8|10.9|40|60|4.8|6.9|0|19||5|0|19||5
9500000US2510980|Southborough School District, MA|2510980|2018-2022|101|2120|207|1745|221|82.3|6.8|380|146|17.9|6.7|50|50|2.4|2.4|60|55|2.8|2.6|20|35|0.9|1.7|120|89|5.7|4.2|10|18|0.5|0.8|200|107|9.4|5|20|31|0.9|1.4|0|21||2|0|21||2
9700000US2511010|Southbridge School District, MA|2511010|2018-2022|101|3100|377|2030|390|65.5|8.7|1070|284|34.5|8.7|260|171|8.4|5.4|1010|272|32.6|8.3|260|171|8.4|5.4|35|76|1.1|2.5|0|21||1.4|4|8|0.1|0.3|0|21||1.4|20|29|0.6|0.9|0|21||1.4
9700000US2511040|Southern Berkshire School District, MA|2511040|2018-2022|101|795|161|765|150|96.2|2.8|30|25|3.8|2.8|25|24|3.1|2.7|10|20|1.3|2.5|10|20|1.3|2.5|10|12|1.3|1.8|10|12|1.3|1.8|4|7|0.5|1|0|19||5.2|0|19||5.2|0|19||5.2
9700000US2500013|Southwick-Tolland-Granville Regional School District, MA|2500013|2018-2022|101|1750|190|1620|213|92.6|6.2|130|109|7.4|6.2|40|46|2.3|2.6|10|10|0.6|0.7|0|21||2.4|85|100|4.9|5.7|25|49|1.4|2.8|35|43|2|2.5|10|21|0.6|1.3|0|21||2.4|0|21||2.4
