"district","state","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other"
"Profile School District","NH",95.4,1.8,2.8,NA,NA
"Prospect Mountain High School Joint Maintenance Agreement District","NH",100,NA,NA,NA,NA
"Raymond School District","NH",92.1,1.6,6.3,NA,NA
"Rochester School District","NH",98.9,0.3,0.9,NA,NA
"Rollinsford School District","NH",100,NA,NA,NA,NA
"Rye School District","NH",94.7,2.6,NA,NA,2.6
"Salem School District","NH",92,7,NA,NA,0.9
"Sanborn Regional School District","NH",97.8,1.9,NA,NA,NA
"Seabrook School District","NH",100,NA,0.4,NA,NA
"Shaker Regional School District","NH",98,1.7,NA,NA,0.2
"Somersworth School District","NH",97.1,1.5,NA,NA,1.5
"Souhegan Cooperative School District","NH",94.5,2.6,2.8,NA,NA
"South Hampton School District","NH",100,NA,NA,NA,NA
"Stoddard School District","NH",97.4,NA,2.1,NA,NA
"Strafford School District","NH",100,NA,NA,NA,NA
"Stratham School District","NH",96.8,2,NA,1.2,NA
"Timberlane Regional School District","NH",98.5,1,NA,0.4,NA
"Weare School District","NH",100,NA,NA,NA,NA
"Westmoreland School District","NH",93.6,NA,4.3,NA,NA
"White Mountain Regional School District","NH",100,NA,NA,NA,NA
"Wilton-Lyndeborough School District","NH",99.2,0.6,NA,NA,NA
"Winchester School District","NH",100,NA,NA,NA,NA
"Windham School District","NH",94.4,NA,4.9,0.7,NA
"Winnacunnet Cooperative School District","NH",93.2,4.1,2.4,0.2,NA
"Winnisquam Regional School District","NH",98.8,NA,1.2,NA,NA
"Barrington School District","RI",93.4,1.8,3,1.4,0.4
"Bristol-Warren Regional School District","RI",91.2,1.7,7.1,NA,NA
"Burrillville School District","RI",79.6,12.9,7.4,NA,NA
"Central Falls School District","RI",36.6,60,3.4,NA,NA
"Chariho Regional School District","RI",95.5,NA,4.4,0.1,NA
"Coventry School District","RI",97.9,1.6,0.3,0.3,NA
"Cranston School District","RI",78.2,16.5,1.4,3.8,0.1
"Cumberland School District","RI",85,7.8,3.1,2.5,1.6
"East Greenwich School District","RI",87.4,5.1,4.7,2.8,NA
"East Providence School District","RI",80.8,14.2,4.9,0.2,NA
"Exeter-West Greenwich Regional School District","RI",96.2,0.2,1.9,1.6,NA
"Foster Elementary School District","RI",95.9,NA,3.4,0.5,NA
"Foster-Glocester Regional School District","RI",98.9,NA,1,0.2,NA
"Glocester Elementary School District","RI",100,NA,NA,NA,NA
"Johnston School District","RI",77.9,15,2.9,0.6,3.5
"Lincoln School District","RI",88.4,3.6,4.4,3.6,NA
"Middletown School District","RI",89.1,1.7,7,2.2,NA
"Narragansett School District","RI",94.6,0.7,4.7,NA,NA
"Newport School District","RI",89.2,8.6,1.3,NA,1.1
"North Kingstown School District","RI",95.2,0.6,1.3,2.8,NA
"North Providence School District","RI",78.2,9.7,3.7,3.7,4.7
"North Smithfield School District","RI",98,NA,0.9,1.1,NA
"Pawtucket School District","RI",59.5,24.8,14.1,0.8,0.7
"Portsmouth School District","RI",96.4,2.2,1.1,0.1,NA
"Providence School District","RI",46.8,48.1,2.3,1.4,1.4
"Scituate School District","RI",87.5,10.8,NA,1.7,NA
"Smithfield School District","RI",92.7,5.5,2,NA,NA
"South Kingstown School District","RI",92.2,3.5,0.7,3.6,NA
"Tiverton School District","RI",95.7,1.4,3,NA,NA
"Warwick School District","RI",93.3,2.2,3.1,1.3,NA
"West Warwick School District","RI",92.7,3.1,2.5,1.7,NA
"Westerly School District","RI",97,0.9,0.8,0.2,1.3
"Woonsocket School District","RI",72.6,19.4,5.5,1.9,0.7
"Addison Central Unified School District","VT",94.5,0.9,3.7,1.2,NA
"Addison Northwest Unified School District","VT",100,NA,NA,NA,NA
"Arlington School District","VT",96.7,2.2,NA,NA,NA
"Barre Unified Union School District #97","VT",98.8,NA,1.2,NA,NA
"Barstow Unified School District","VT",97.1,NA,1.1,1.1,NA
"Bellows Falls UHSD #27","VT",98.8,1.2,NA,NA,NA
"Blue Mountain USD #21","VT",93.9,1,1,3.7,NA
"Burlington School District","VT",86,1.3,4.4,0.7,7.6
"Cabot School District","VT",100,NA,1.1,NA,NA
"Caledonia Cooperative Unified School District","VT",93.7,3.1,3.1,NA,0.6
"Cambridge School District","VT",96.6,NA,NA,NA,3.4
"Champlain Islands Unified Union School District #66","VT",96.1,1.6,1.6,NA,NA
"Champlain Valley Unified School District","VT",94.8,1.1,3,1,NA
"Colchester School District","VT",95.5,NA,4.3,NA,NA
"Danville School District","VT",98.6,NA,1.1,NA,NA
"Derby School District","VT",94.1,NA,5.9,NA,NA
"Enosburgh-Richford Unified Union School District #88","VT",100,NA,NA,NA,NA
"Essex-Westford Educational Community Unified School District","VT",88.6,2.4,7.9,0.4,0.9
"First Branch Unified School District","VT",97.3,0.7,2.7,NA,NA
"Georgia School District","VT",95.7,NA,4,0.3,NA
"Granville Hancock Unified School District","VT",96.2,NA,3.1,NA,NA
"Green Mountain Unified School District","VT",96.1,3.2,0.5,NA,NA
"Hartford School District","VT",97,2,NA,NA,1
"Harwood Unified School District","VT",96.6,0.2,1.5,1.5,NA
"Hazen UHSD #26","VT",99.1,NA,NA,0.7,NA
"Kingdom East Unified Union School District","VT",96.8,2,0.2,0.9,NA
"Lake Region UHSD #24","VT",97.1,NA,2.6,NA,0.3
"Lake Region Union Elementary Middle School District","VT",97.1,NA,2.6,NA,0.3
"Lamoille North Modified USD #058A","VT",95.6,0.3,3.7,NA,NA
"Lamoille North Modified USD #058B","VT",95.9,0.2,2.4,NA,1.2
"Lamoille South Unified Union School District #90","VT",98.7,0.8,0.5,NA,NA
"Ludlow Mt. Holly Unified Union School District","VT",100,NA,NA,NA,NA
"Maple Run Unified School District","VT",98.6,1.2,0.2,NA,NA
"Mettawee School District","VT",87.3,11.1,3.2,NA,NA
"Mill River Unified School District","VT",99.5,0.4,NA,NA,NA
"Milton Incorporated School District","VT",100,NA,NA,NA,NA
"Missisquoi Valley School District #89","VT",100,NA,NA,NA,NA
"Montpelier Roxbury Unified Union School District","VT",96.6,0.7,2,0.3,NA
"Mount Anthony UHSD #14 (6-12)","VT",98.9,NA,1.4,NA,NA
"Mount Anthony UHSD #14","VT",100,NA,NA,NA,NA
"Mount Ascutney School District #86","VT",98.5,2.3,NA,NA,NA
"Mount Mansfield Unified Union School District #401","VT",99,0.4,0.4,NA,NA
"Mt. Abraham Unified School District","VT",98.7,0.6,0.6,0.3,NA
"North Bennington Incorporated School District","VT",100,NA,NA,NA,NA
"North Country Junior/Senior UHSD #22 (7-12)","VT",96.8,0.6,2.9,NA,NA
"North Country Senior UHSD #22","VT",96.6,NA,3.4,NA,NA
"Northeast Kingdom Choice School District","VT",98.5,1.2,NA,NA,NA
"Northern Mountain Valley Unified Union School District #85","VT",97.4,1.3,0.3,0.3,NA
"Norwich School District","VT",94.7,NA,5.3,NA,NA
"Orange Southwest Unified School District","VT",97.3,1.6,1.1,NA,NA
"Orleans Southwest Union Elementary School District #94","VT",98.3,0.7,NA,0.7,NA
"Otter Valley Unified Union School District #53","VT",99.3,NA,0.3,0.7,NA
"Oxbow Unified Union School District #91","VT",100,NA,NA,NA,NA
"Paine Mountain School District","VT",97.7,NA,0.9,1.4,NA
"Quarry Valley Unified Union School District #70","VT",97.6,1.9,0.4,NA,NA
"Rivendell Interstate School District","VT",88.9,11.1,NA,NA,NA
"Rockingham School District","VT",98.4,1.6,NA,NA,NA
"Rutland City School District","VT",94.6,NA,5.6,NA,NA
"Rutland Town School District","VT",100,NA,NA,NA,NA
"Sharon School District","VT",100,NA,1.5,NA,NA
"Slate Valley Unified Union School District #62","VT",99.4,NA,0.6,NA,NA
"South Burlington School District","VT",79.8,3.1,5.8,8.8,2.4
"South Hero School District","VT",100,NA,NA,NA,NA
"Southwest Vermont Union Elementary School District #87 (PK-5)","VT",98.9,NA,1.4,NA,NA
"Southwest Vermont Union Elementary School District #87","VT",100,NA,NA,NA,NA
"Springfield School District","VT",100,NA,NA,NA,NA
"St. Johnsbury School District","VT",94.7,1.9,NA,1.9,1.9
"Stamford School District","VT",100,NA,NA,NA,NA
"Taconic and Green Regional School District","VT",94.1,1.8,0.6,3.2,NA
"Thetford School District","VT",97.8,NA,2.2,NA,NA
"Troy School District","VT",92.2,NA,9.8,NA,NA
"Twin Valley Unified School District","VT",95.9,4.1,NA,0.8,NA
"Twinfield USD #33","VT",99,NA,NA,NA,0.8
"Waits River Valley USD #36","VT",100,NA,NA,NA,NA
"Washington Central Unified Union School District #92","VT",99.7,NA,NA,0.2,NA
"Wells Spring Unified Union School District","VT",85.2,NA,11.1,3,NA
"West River Valley Modified Union Education District #72A","VT",100,NA,NA,NA,NA
"West River Valley Modified Union Education District #72B","VT",100,NA,NA,NA,NA
"White River Unified School District","VT",100,NA,NA,NA,NA
"Windham Northeast Union Elementary School District #95","VT",99.2,0.6,NA,NA,NA
"Windham Southeast Unified Union School District #96","VT",96.7,0.1,2.2,0.7,NA
"Windsor Central Unified Union School District","VT",96.4,1.8,0.4,NA,0.9
"Winooski School District","VT",62.2,NA,10.1,16.5,11.2
"Wolcott School District","VT",95.7,NA,4.3,NA,NA
