Report ID : 6,,,,,,,,,,
Type of Data: Final,,,,,,,,,,
Report Date:2/20/2020,,,,,,,,,,
Run Date: 10/1/2025,,,,,,,,,,
,,,,,,,,,,
"New Hampshire Department of Education
Division of Education Analytics and Resources
Bureau of Educational Statistics
25 Hall Street, Concord, NH 03301",,,,,,,,,,
,,,,,,,,,,
"School Administrative Unit Enrollments In New Hampshire Public Schools
As of October 1, 2019",,,,,,,,,,
,,,,,,,,,,
SAU #,SAU Name,District #,District Name,Pre-School,Kindergarten,Elementary,Middle,High,Post Grad,Total
,,,State Total,"4,518","11,689","72,093","32,607","55,224",37,"176,168"
1,Contoocook Valley ,112,Contoocook Valley,72,139,571,650,713,0,"2,145"
2,Inter-Lakes Cooperative ,23,Ashland,0,22,147,0,0,0,169
2,Inter-Lakes Cooperative ,269,Inter-Lakes Cooperative,16,74,622,0,298,3,"1,013"
3,Berlin ,51,Berlin,10,71,390,257,373,0,"1,101"
4,Newfound Area ,388,Newfound Area,0,64,322,283,392,0,"1,061"
4,Pasquaney ,388,Pasquaney,23,22,98,0,0,0,143
5,Oyster River ,423,Oyster River Coop,34,120,551,665,832,0,"2,202"
6,Claremont ,101,Claremont,64,107,625,410,545,2,"1,753"
6,Claremont ,539,Unity,5,6,80,0,0,0,91
7,Colebrook ,105,Colebrook,10,27,191,0,109,0,337
7,Colebrook ,437,Pittsburg,4,5,39,0,32,0,80
7,Colebrook ,501,Stewartstown,3,9,54,0,0,0,66
8,Concord ,111,Concord,105,280,"1,456",947,"1,517",3,"4,308"
9,Conway ,35,Bartlett,26,28,154,0,0,0,208
9,Conway ,113,Conway,0,97,569,281,713,0,"1,660"
9,Conway ,271,Jackson,0,3,40,0,0,0,43
10,Derry Cooperative ,131,Derry Cooperative,120,277,"1,701","1,197",0,0,"3,295"
11,Dover ,141,Dover,58,263,"1,052","1,115","1,461",0,"3,949"
12,Londonderry ,319,Londonderry,124,260,"1,459",923,"1,461",0,"4,227"
13,Tamworth ,187,Freedom,5,6,43,0,0,0,54
13,Tamworth ,333,Madison,0,23,116,0,0,0,139
13,Tamworth ,525,Tamworth,0,20,177,0,0,0,197
14,Epping ,165,Epping,40,70,364,201,248,0,923
15,Hooksett ,29,Auburn,0,47,597,0,0,0,644
15,Hooksett ,79,Candia,0,30,254,0,0,0,284
15,Hooksett ,261,Hooksett,27,89,676,463,0,0,"1,255"
16,Exeter ,63,Brentwood,8,49,246,0,0,0,303
16,Exeter ,153,East Kingston,0,18,115,0,0,0,133
16,Exeter ,172,Exeter Region Cooperative,0,0,0,"1,116","1,642",1,"2,759"
16,Exeter ,173,Exeter,44,159,757,0,0,0,960
16,Exeter ,281,Kensington,0,25,107,0,0,0,132
16,Exeter ,387,Newfields,0,13,88,0,0,0,101
16,Exeter ,511,Stratham,19,80,452,0,0,0,551
17,Sanborn Regional ,476,Sanborn Regional,51,89,474,316,646,0,"1,576"
18,Franklin ,185,Franklin,26,75,577,0,264,0,942
19,Goffstown ,199,Goffstown,84,136,695,869,"1,071",0,"2,855"
19,Goffstown ,377,New Boston,17,45,508,0,0,0,570
20,Gorham ,171,Errol,0,2,13,0,0,0,15
20,Gorham ,203,Gorham Randolph Shelburne Cooperative,0,21,127,99,136,0,383
20,Gorham ,355,Milan,24,16,94,0,0,0,134
21,Winnacunnet ,227,Hampton Falls,0,21,190,0,0,0,211
21,Winnacunnet ,405,North Hampton,13,39,289,0,0,0,341
21,Winnacunnet ,485,Seabrook,39,67,601,0,0,0,707
21,Winnacunnet ,495,South Hampton,0,9,75,0,0,0,84
21,Winnacunnet ,581,Winnacunnet Cooperative,0,0,0,0,"1,050",2,"1,052"
23,Haverhill Cooperative ,39,Bath,0,10,67,0,0,0,77
23,Haverhill Cooperative ,238,Haverhill Cooperative,34,51,137,243,216,0,681
23,Haverhill Cooperative ,435,Piermont,9,11,48,0,0,0,68
23,Haverhill Cooperative ,549,Warren,6,8,59,0,0,0,73
24,Henniker ,245,Henniker,22,45,355,0,0,0,422
24,Henniker ,275,John Stark Regional,0,0,0,0,610,0,610
24,Henniker ,503,Stoddard,0,10,58,0,0,0,68
24,Henniker ,555,Weare,35,60,528,333,0,0,956
25,Bedford ,41,Bedford,59,177,"1,951",747,"1,498",0,"4,432"
26,Merrimack ,351,Merrimack,150,270,"1,615",542,"1,207",0,"3,784"
27,Litchfield ,315,Litchfield,41,76,356,394,427,0,"1,294"
28,Pelham ,425,Pelham,66,78,"1,067",0,599,0,"1,810"
29,Keene ,95,Chesterfield,0,35,255,0,0,0,290
29,Keene ,235,Harrisville,0,9,56,0,0,0,65
29,Keene ,279,Keene,114,156,909,741,"1,364",0,"3,284"
29,Keene ,339,Marlborough,11,18,143,0,0,0,172
29,Keene ,341,Marlow,4,10,32,0,0,0,46
29,Keene ,375,Nelson,0,16,66,0,0,0,82
29,Keene ,563,Westmoreland,0,12,123,0,0,0,135
30,Laconia ,285,Laconia,96,131,709,486,538,1,"1,961"
31,Newmarket ,399,Newmarket,42,86,673,0,286,1,"1,088"
32,Plainfield ,441,Plainfield,0,21,202,0,0,0,223
