"lea_state","district_code","district","n_el","missing","pct_el"
"NH",3303840,"Hollis School District",9,0,0.01
"NH",3303850,"Hollis/Brookline Coop School District",4,0,0
"NH",3303870,"Hooksett School District",33,0,0.03
"NH",3303900,"Hopkinton School District",0,4,0
"NH",3303930,"Hudson School District",51,1,0.02
"NH",3303960,"Inter-lakes School District",4,2,0
"NH",3303990,"Jackson School District",0,1,0
"NH",3304030,"Jaffrey-Rindge Coop School District",4,2,0
"NH",3304040,"Kearsarge Regional School District",5,3,0
"NH",3304050,"Keene School District",16,2,0.01
"NH",3304080,"Kensington School District",0,1,0
"NH",3304140,"Laconia School District",245,3,0.14
"NH",3304150,"Lafayette Regional School District",0,1,0
"NH",3304170,"Landaff School District",0,1,0
"NH",3304230,"Lebanon School District",60,0,0.04
"NH",3304260,"Lincoln-Woodstock School District",9,0,0.03
"NH",3304290,"Lisbon Regional School District",0,3,0
"NH",3304350,"Litchfield School District",7,0,0.01
"NH",3304380,"Littleton School District",34,0,0.05
"NH",3304410,"Londonderry School District",21,1,0.01
"NH",3304500,"Lyme School District",0,1,0
"NH",3304560,"Madison School District",5,0,0.04
"NH",3304590,"Manchester School District",1989,0,0.17
"NH",3304620,"Marlborough School District",0,1,0
"NH",3304650,"Marlow School District",0,1,0
"NH",3304670,"Mascenic Regional School District",3,1,0
"NH",3304680,"Mascoma Valley Reg School District",7,2,0.01
"NH",3304740,"Merrimack School District",59,0,0.02
"NH",3304760,"Merrimack Valley School District",31,3,0.01
"NH",3304770,"Middleton School District",0,1,0
"NH",3304800,"Milan School District",0,1,0
"NH",3304830,"Milford School District",43,1,0.02
"NH",3304890,"Monadnock Regional School District",1,6,0
"NH",3304920,"Monroe School District",0,1,0
"NH",3304950,"Mont Vernon School District",1,0,0
"NH",3304960,"Moultonborough School District",12,0,0.02
"NH",3304980,"Nashua School District",1458,2,0.15
"NH",3305010,"Nelson School District",0,1,0
"NH",3305040,"New Boston School District",0,1,0
"NH",3305070,"New Castle School District",2,0,0.07
"NH",3305190,"Newfields School District",0,1,0
"NH",3305220,"Newfound Area School District",3,4,0
"NH",3305250,"Newington School District",0,1,0
"NH",3305280,"Newmarket School District",10,0,0.01
"NH",3305310,"Newport School District",14,0,0.02
"NH",3305370,"North Hampton School District",1,0,0
"NH",3305400,"Northumberland School District",0,3,0
"NH",3305430,"Northwood School District",0,1,0
"NH",3305460,"Nottingham School District",0,1,0
"NH",3305520,"Oyster River Coop School District",29,1,0.01
"NH",3305550,"Pelham School District",15,1,0.01
"NH",3305580,"Pembroke School District",1,1,0
"NH",3305670,"Piermont School District",0,1,0
"NH",3305700,"Pittsburg School District",0,2,0
"NH",3305730,"Pittsfield School District",0,3,0
"NH",3305760,"Plainfield School District",4,0,0.02
"NH",3305790,"Plymouth School District",3,0,0.01
"NH",3305820,"Portsmouth School District",74,1,0.03
"NH",3305830,"Profile School District",0,2,0
"NH",3305880,"Raymond School District",4,2,0
"NH",3305940,"Rochester School District",37,1,0.01
"NH",3305970,"Rollinsford School District",0,1,0
"NH",3306000,"Rumney School District",0,1,0
"NH",3306030,"Rye School District",1,1,0
"NH",3306060,"Salem School District",160,1,0.05
"NH",3306080,"Sanborn Regional School District",12,0,0.01
"NH",3306150,"Seabrook School District",13,0,0.02
"NH",3306180,"Shaker Regional School District",4,0,0
"NH",3306240,"Somersworth School District",7,0,0.01
"NH",3306260,"Souhegan Cooperative School District",3,0,0
"NH",3306270,"South Hampton School District",0,1,0
"NH",3306330,"Stark School District",0,1,0
"NH",3306360,"Stewartstown School District",0,1,0
"NH",3306390,"Stoddard School District",0,1,0
"NH",3306420,"Strafford School District",0,1,0
"NH",3306450,"Stratford School District",0,1,0
"NH",3306480,"Stratham School District",6,0,0.01
"NH",3306540,"Sunapee School District",0,3,0
"NH",3306600,"Tamworth School District",2,0,0.01
"NH",3306660,"Thornton School District",0,1,0
"NH",3306720,"Timberlane Regional School District",21,0,0.01
"NH",3306750,"Unity School District",0,1,0
"NH",3306780,"Wakefield School District",0,0,0
"NH",3306870,"Warren School District",0,1,0
"NH",3306900,"Washington School District",0,1,0
"NH",3306910,"Waterville Valley School District",4,0,0.08
"NH",3306930,"Weare School District",8,0,0.01
"NH",3306990,"Wentworth School District",1,0,0.01
"NH",3307020,"Westmoreland School District",0,1,0
"NH",3307050,"White Mountain Regional School District",9,0,0.01
"NH",3307115,"Wilton-Lyndeboro School District",0,4,0
"NH",3307140,"Winchester School District",0,1,0
"NH",3307170,"Windham School District",51,0,0.02
"NH",3307230,"Winnacunnet Coop School District",8,0,0.01
"NH",3307300,"Winnisquam Regional School District",8,2,0.01
"NH",3307330,"Coe Brown Academy School District",0,1,0
"NH",3307360,"Pinkerton Academy School District",11,0,0
"NH",3399923,"Haverhill Cooperative SAU Office",0,2,0
"NH",3399965,"Pemi-baker Regional School District",0,1,0
"NH",NA,"JUVENILE JUSTICE SERVICES - SYSC",0,1,0
