Report ID : 6,,,,,,,,,,
Type of Data: Final,,,,,,,,,,
Report Date:2/3/2017,,,,,,,,,,
Run Date: 10/1/2025,,,,,,,,,,
,,,,,,,,,,
"New Hampshire Department of Education
Division of Education Analytics and Resources
Bureau of Educational Statistics
25 Hall Street, Concord, NH 03301",,,,,,,,,,
,,,,,,,,,,
"School Administrative Unit Enrollments In New Hampshire Public Schools
As of October 1, 2016",,,,,,,,,,
,,,,,,,,,,
SAU #,SAU Name,District #,District Name,Pre-School,Kindergarten,Elementary,Middle,High,Post Grad,Total
,,,State Total,"3,894","11,422","74,983","32,881","56,553",1,"179,734"
1,Contoocook Valley ,112,Contoocook Valley,69,125,605,652,737,0,"2,188"
2,Inter-Lakes Cooperative ,23,Ashland,0,24,136,0,0,0,160
2,Inter-Lakes Cooperative ,269,Inter-Lakes Cooperative,27,68,617,0,330,0,"1,042"
3,Berlin ,51,Berlin,0,97,390,271,416,0,"1,174"
4,Newfound Area ,388,Newfound Area,0,72,332,297,386,1,"1,088"
4,Pasquaney ,388,Pasquaney,25,15,92,0,0,0,132
5,Oyster River ,423,Oyster River Coop,0,116,577,656,764,0,"2,113"
6,Claremont ,101,Claremont,62,107,690,377,546,0,"1,782"
6,Claremont ,539,Unity,6,8,101,0,0,0,115
6,Cornish ,115,Cornish,2,8,75,0,0,0,85
7,Colebrook ,105,Colebrook,10,19,194,0,124,0,347
7,Colebrook ,437,Pittsburg,3,7,56,0,35,0,101
7,Colebrook ,501,Stewartstown,0,2,66,0,0,0,68
