Report ID : 4,,,,,,,,,,
Type of Data: Final,,,,,,,,,,
Report Date: 12/2/2024,,,,,,,,,,
Run Date: 10/1/2025,,,,,,,,,,
,,,,,,,,,,
"New Hampshire Department of Education
Division of Education Analytics and Resources
Bureau of Educational Statistics
25 Hall Street, Concord, NH 03301",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2024 - 2025 District Fall Enrollments,,,,,,,,,,
"As of October 1, 2024",,,,,,,,,,
,,,,,,,,,,
SAU #,SAU Name,District #,District Name,PreSchool,Kindergarten,Elementary,Middle,High,PG,Total 
,,,Traditional District Total:,"4,371","10,414","62,216","30,304","45,235",65,"152,605"
,,,Public Academies and Joint Maintenance Agreements,,,,,,,
SAU #,SAU Name,District #,District Name,Pre School,Kindergarten,Elementary,Middle,High,PG,Total
201,Coe-Brown Northwood Academy,998,Coe-Brown Northwood Academy,0,0,0,0,654,0,654
202,Pinkerton Academy,999,Pinkerton Academy,0,0,0,0,"2,878",13,"2,891"
301,Prospect Mountain JMA,970,Prospect Mountain JMA,0,0,0,0,398,5,403
,,,Public Academies and JMA's Total:,0,0,0,0,"3,930",18,"3,948"
,,,,,,,,,,
,,,Charter Schools,,,,,,,
SAU #,SAU Name,District #,District Name,Pre School,Kindergarten,Elementary,Middle,High,PG,Total
411,Academy for Science and Design Charter School,725,Academy for Science and Design Charter School,0,0,0,408,264,0,672
426,Arts Academy of New Hampshire Chartered Public High School ,702,Arts Academy of New Hampshire Chartered Public High School ,0,0,0,0,106,0,106
455,Benjamin Franklin Academy Chartered Public School,726,Benjamin Franklin Academy Chartered Public School,0,0,0,52,24,0,76
429,Compass Classical Academy Charter School,743,Compass Classical Academy Charter School,0,32,117,0,43,0,192
410,CSI Charter School,723,CSI Charter School,0,0,0,0,34,0,34
425,Gate City Charter School For the Arts,742,Gate City Charter School For the Arts,0,22,138,0,0,0,160
450,Gathering Waters Charter School,750,Gathering Waters Charter School,0,25,194,0,67,0,286
404,Great Bay Charter School,709,Great Bay Charter School,0,0,59,0,94,0,153
451,Heartwood Public Charter School,718,Heartwood Public Charter School,0,12,77,0,0,0,89
432,Kreiva Academy Public Charter School,708,Kreiva Academy Public Charter School,0,0,0,41,76,0,117
408,Ledyard Charter School,719,Ledyard Charter School,0,0,0,0,48,0,48
453,Lionheart Classical Academy Chartered Public School,722,Lionheart Classical Academy Chartered Public School,0,39,272,0,0,0,311
418,Making Community Connections Charter School,733,Making Community Connections Charter School,0,0,0,0,80,0,80
430,MicroSociety Academy Charter School Foundation,744,MicroSociety Academy Charter School Foundation,0,35,269,0,0,0,304
416,Mill Falls Charter School,729,Mill Falls Charter School,0,24,144,0,0,0,168
427,Mountain Village Charter School,704,Mountain Village Charter School,0,0,117,0,0,0,117
422,Next Charter School,740,Next Charter School,0,0,0,0,79,0,79
402,North Country Charter Academy,703,North Country Charter Academy,0,0,0,5,45,0,50
441,Northeast Woodland Chartered Public School,716,Northeast Woodland Chartered Public School,14,19,139,0,0,0,172
419,Polaris Charter School,735,Polaris Charter School,0,19,100,0,0,0,119
454,River View Chartered Public School,724,River View Chartered Public School,0,0,0,0,30,0,30
420,Robert Frost Charter School,737,Robert Frost Charter School,0,3,21,0,12,0,36
403,Seacoast Charter School,705,Seacoast Charter School,0,58,229,0,0,0,287
433,Seacoast Classical Academy Chartered Public School,730,Seacoast Classical Academy Chartered Public School,0,28,151,0,0,0,179
437,Spark Academy of Advanced Technologies,714,Spark Academy of Advanced Technologies,0,0,0,0,96,0,96
409,Strong Foundations Charter School,721,Strong Foundations Charter School,0,31,306,0,0,0,337
407,Surry Village Charter School,717,Surry Village Charter School,0,10,69,0,0,0,79
435,Synergy Academy Chartered Public School,732,Synergy Academy Chartered Public School,0,0,0,0,20,0,20
