Indicator Category,Indicator Name,School / District,School / District Level,School / District Type,Region,Entity ID,Entity Name,Category,2024,2023,2022
Achievement,Proficiency - ELA (%),District,District,District,South Central,534,Timberlane Regional,Achievement,54.00%,55.00%,54.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,575,Windham,Achievement,74.00%,75.00%,73.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,702,Arts Academy of New Hampshire Chartered Public High School,Achievement,73.00%,77.00%,73.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,708,Kreiva Academy Public Charter School,Achievement,26.00%,18.00%,24.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,712,Windham Academy Public Charter School,Achievement,65.00%,66.00%,50.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,714,Spark Academy of Advanced Technologies,Achievement,60.00%,45.00%,85.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,721,Strong Foundations Charter School,Achievement,46.00%,37.00%,40.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,729,Mill Falls Charter School,Achievement,66.00%,65.00%,64.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,731,The Birches Academy of Academics & Art A Public Charter Sch,Achievement,59.00%,70.00%,59.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,733,Making Community Connections Charter School,Achievement,*N,*N,*N
Achievement,Proficiency - ELA (%),District,District,District,South Central,735,Polaris Charter School,Achievement,54.00%,51.00%,48.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,740,Next Charter School,Achievement,50.00%,50.00%,64.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,741,The Founders Academy Charter School,Achievement,46.00%,55.00%,63.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,742,Gate City Charter School For the Arts,Achievement,42.00%,42.00%,41.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,999,Pinkerton Academy,Achievement,60.00%,63.00%,66.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,33,Barrington,Achievement,54.00%,54.00%,53.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,63,Brentwood,Achievement,75.00%,74.00%,83.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,93,Chester,Achievement,53.00%,49.00%,52.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,141,Dover,Achievement,54.00%,53.00%,49.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,153,East Kingston,Achievement,60.00%,53.00%,48.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,165,Epping,Achievement,56.00%,52.00%,55.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,172,Exeter Region Cooperative,Achievement,66.00%,64.00%,63.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,173,Exeter,Achievement,65.00%,64.00%,59.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,175,Farmington,Achievement,48.00%,49.00%,44.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,189,Fremont,Achievement,56.00%,47.00%,49.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,215,Greenland,Achievement,78.00%,79.00%,70.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,225,Hampton,Achievement,72.00%,71.00%,67.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,227,Hampton Falls,Achievement,78.00%,79.00%,78.00%
Achievement,Proficiency - ELA (%),District,District,District,Southeast,281,Kensington,Achievement,68.00%,66.00%,68.00%
