Report ID : 29,,,,,,,,,
Type of Data: Final,,,,,,,,,
Report Date:10/1/2025,,,,,,,,,
Run Date: 10/1/2025,,,,,,,,,
,,,,,,,,,
"New Hampshire Department of Education
Division of Education Analytics and Resources
Bureau of Educational Statistics
25 Hall Street, Concord, NH 03301",,,,,,,,,
,,,,,,,,,
2024 - 2025 Attendance Rate in NH Public Schools By District,,,,,,,,,
,,,,,,,,,
SAU #,SAU Name,District #,District Name,Pre-Sch %,Kind %,Elem %,Middle/Jr  % ,High %,Total %
29,Keene SAU Office,235,Harrisville,0.0,98.0,97.7,0.0,0.0,97.7
23,Haverhill Cooperative SAU Office,238,Haverhill Cooperative,99.1,97.8,97.9,97.2,97.6,97.6
24,Henniker SAU Office,245,Henniker,99.5,98.3,97.8,0.0,0.0,97.9
103,Hill SAU Office,247,Hill,95.4,98.0,97.3,0.0,0.0,97.1
34,Hillsboro-Deering SAU Office,251,Hillsboro-Deering Cooperative,99.0,97.0,97.4,97.1,96.8,97.2
92,Hinsdale SAU Office,255,Hinsdale,99.2,97.0,97.6,100.0,97.2,98.1
48,Plymouth SAU Office,257,Holderness,0.0,98.6,98.9,0.0,0.0,98.8
41,Hollis-Brookline SAU Office,259,Hollis,98.9,97.9,98.1,0.0,0.0,98.1
41,Hollis-Brookline SAU Office,260,Hollis-Brookline Cooperative,0.0,0.0,0.0,98.1,98.0,98.0
15,Hooksett SAU Office,261,Hooksett,100.0,100.0,100.0,98.0,0.0,99.3
66,Hopkinton SAU Office,263,Hopkinton,99.3,98.1,98.1,97.6,97.4,97.9
81,Hudson SAU Office,267,Hudson,98.4,98.4,98.7,98.6,99.0,98.7
2,Inter-Lakes Cooperative SAU Office,269,Inter-Lakes Cooperative,98.2,97.5,97.9,0.0,97.2,97.6
9,Conway SAU Office,271,Jackson,0.0,97.4,98.2,0.0,0.0,98.1
47,Jaffrey-Rindge SAU Office,274,Jaffrey-Rindge Cooperative,97.9,97.1,97.9,97.7,97.1,97.6
24,Henniker SAU Office,275,John Stark Regional,0.0,0.0,0.0,0.0,97.4,97.4
65,Kearsarge Regional SAU Office,276,Kearsarge Regional,98.0,98.1,97.8,97.5,97.4,97.7
29,Keene SAU Office,279,Keene,98.8,97.4,97.5,97.3,96.5,97.0
16,Exeter SAU Office,281,Kensington,0.0,98.7,98.7,0.0,0.0,98.7
30,Laconia SAU Office,285,Laconia,97.1,97.2,97.6,97.0,96.6,97.1
35,SAU #35 Office,288,Lafayette Regional,0.0,97.8,97.9,0.0,0.0,97.9
35,SAU #35 Office,291,Landaff,98.9,97.8,98.3,0.0,0.0,98.5
88,Lebanon SAU Office,295,Lebanon,98.6,97.6,97.8,97.8,97.7,97.8
71,Lempster SAU Office,299,Lempster,95.5,98.0,97.3,0.0,0.0,97.4
68,Lincoln-Woodstock SAU Office,305,Lincoln-Woodstock Cooperative,0.0,96.6,97.9,97.5,96.9,97.4
35,SAU #35 Office,306,Lisbon Regional,99.0,97.6,97.0,98.0,98.1,97.7
27,Litchfield SAU Office,315,Litchfield,99.6,97.4,98.0,98.1,97.6,97.9
84,Littleton SAU Office,317,Littleton,0.0,97.4,96.8,97.4,97.5,97.2
12,Londonderry SAU Office,319,Londonderry,99.2,98.6,98.1,97.8,97.6,97.9
76,Lyme SAU Office,327,Lyme,0.0,98.2,98.1,0.0,0.0,98.1
13,Tamworth SAU Office,333,Madison,97.8,97.1,97.4,0.0,0.0,97.4
37,Manchester SAU Office,335,Manchester,97.2,97.0,97.4,96.9,95.2,96.6
29,Keene SAU Office,339,Marlborough,97.3,97.0,97.5,0.0,0.0,97.4
29,Keene SAU Office,341,Marlow,98.2,97.9,97.8,0.0,0.0,97.8
87,Mascenic Regional SAU Office,342,Mascenic Regional,99.5,97.6,97.9,98.1,97.8,97.9
62,Mascoma Valley SAU Office,343,Mascoma Valley Regional,99.7,97.3,97.2,0.0,95.4,96.8
89,Mason SAU Office,345,Mason,99.0,97.6,97.9,0.0,0.0,98.1
26,Merrimack SAU Office,351,Merrimack,99.9,98.0,98.1,97.8,97.6,97.9
46,Merrimack Valley SAU Office,352,Merrimack Valley,99.2,97.8,98.1,97.6,96.9,97.6
69,Middleton SAU,353,Middleton,99.1,97.5,98.1,0.0,0.0,98.0
20,Gorham SAU Office,355,Milan,100.0,98.4,98.4,0.0,0.0,98.5
40,Milford SAU Office,357,Milford,97.7,97.5,97.8,97.5,97.1,97.5
64,Milton SAU Office,359,Milton,97.8,98.0,97.6,97.4,99.6,98.2
93,Monadnock Regional SAU Office,363,Monadnock Regional,97.5,97.3,97.5,97.2,95.7,96.9
77,Monroe SAU Office,365,Monroe,97.7,98.2,97.9,0.0,0.0,97.9
39,Amherst SAU Office,367,Mont Vernon,0.0,98.1,98.1,0.0,0.0,98.1
45,Moultonborough SAU Office,369,Moultonborough,97.8,97.6,97.4,97.8,97.5,97.6
42,Nashua SAU Office,371,Nashua,97.9,97.1,97.4,96.8,95.9,96.8
29,Keene SAU Office,375,Nelson,0.0,98.5,98.3,0.0,0.0,98.3
19,Goffstown SAU Office,377,New Boston,98.1,97.7,97.9,0.0,0.0,97.9
50,Greenland SAU Office,381,New Castle,0.0,97.8,98.0,0.0,0.0,97.9
16,Exeter SAU Office,387,Newfields,0.0,98.0,98.5,0.0,0.0,98.4
4,Newfound Area SAU Office,388,Newfound Area,100.0,97.4,97.5,97.4,96.0,97.1
50,Greenland SAU Office,391,Newington,0.0,98.5,98.6,0.0,0.0,98.6
31,Newmarket SAU Office,399,Newmarket,98.9,97.6,97.8,0.0,97.2,97.6
43,Newport SAU Office,401,Newport,96.0,96.9,97.2,96.2,96.2,96.5
21,Winnacunnet SAU Office,405,North Hampton,99.7,98.9,98.5,0.0,0.0,98.6
