district_code,nh_matched_district,district,unique_merge_id
422,Next Charter School,Next Charter School,nhdist131
402,North Country Charter Academy,North Country Charter Academy,nhdist132
21,Winnacunnet,North Hampton School District,nhdist133
441,Northeast Woodland Chartered Public School,Northeast Woodland Chartered Public School,nhdist134
58,Northumberland,Northumberland School District,nhdist135
44,Northwood,Northwood School District,nhdist136
107,Nottingham,Nottingham School District,nhdist137
5,Oyster River,Oyster River Coop School District,nhdist138
108,Pasquaney,,nhdist139
28,Pelham,Pelham School District,nhdist140
53,Pembroke,Pembroke School District,nhdist141
48,Plymouth,Pemi-Baker Regional School District,nhdist142
23,Haverhill Cooperative,Piermont School District,nhdist143
202,Pinkerton Academy,Pinkerton Academy School District,nhdist144
7,Colebrook,Pittsburg School District,nhdist145
51,Pittsfield,Pittsfield School District,nhdist146
32,Plainfield,Plainfield School District,nhdist147
48,Plymouth,Plymouth School District,nhdist148
419,Polaris Charter School,Polaris Charter School,nhdist149
52,Portsmouth,Portsmouth School District,nhdist150
35,SAU #35 Office,Profile School District,nhdist151
301,Prospect Mountain JMA,Prospect Mountain JMA School District,nhdist152
33,Raymond,Raymond School District,nhdist153
78,Rivendell Interstate,Rivendell Interstate School District,nhdist154
454,River View Chartered Public School,River View Chartered Public School,nhdist155
420,Robert Frost Charter School,Robert Frost Charter School,nhdist156
54,Rochester,Rochester School District,nhdist157
104,Rollinsford,Rollinsford School District,nhdist158
48,Plymouth,Rumney School District,nhdist159
50,Greenland,Rye School District,nhdist160
57,Salem,Salem School District,nhdist161
17,Sanborn Regional,Sanborn Regional School District,nhdist162
21,Winnacunnet,Seabrook School District,nhdist163
403,Seacoast Charter School,Seacoast Charter School,nhdist164
80,Shaker Regional,Shaker Regional School District,nhdist165
56,Somersworth,Somersworth School District,nhdist166
39,Amherst,Souhegan Cooperative School District,nhdist167
21,Winnacunnet,South Hampton School District,nhdist168
437,Spark Academy of Advanced Technologies,Spark Academy of Advanced Technologies,nhdist169
58,Northumberland,Stark School District,nhdist170
7,Colebrook,Stewartstown School District,nhdist171
24,Henniker,Stoddard School District,nhdist172
105,Strafford,Strafford School District,nhdist173
58,Northumberland,Stratford School District,nhdist174
16,Exeter,Stratham School District,nhdist175
409,Strong Foundations Charter School,Strong Foundations Charter School,nhdist176
85,Sunapee,Sunapee School District,nhdist177
407,Surry Village Charter School,Surry Village Charter School,nhdist178
13,Tamworth,Tamworth School District,nhdist179
417,The Birches Academy of Academics & Art A Public Charter Sch,The Birches Academy of Academics & Art A Public Charter Sch,nhdist180
423,The Founders Academy Charter School,The Founders Academy Charter School,nhdist181
48,Plymouth,Thornton School District,nhdist182
106,Timberlane Regional,Timberlane Regional School District,nhdist183
6,Claremont,Unity School District,nhdist184
412,Virtual Learning Academy Charter School,Virtual Learning Academy Charter School,nhdist185
101,Wakefield,Wakefield School District,nhdist186
23,Haverhill Cooperative,Warren School District,nhdist187
34,Hillsboro-Deering,Washington School District,nhdist188
48,Plymouth,Waterville Valley School District,nhdist189
24,Henniker,Weare School District,nhdist190
48,Plymouth,Wentworth School District,nhdist191
29,Keene,Westmoreland School District,nhdist192
36,White Mountains Regional,White Mountains Regional School District,nhdist193
63,Wilton,Wilton-Lyndeborough Cooperative School District,nhdist194
94,Winchester,Winchester School District,nhdist195
95,Windham,Windham School District,nhdist196
434,Windham Academy Public Charter School,Windham Academy Public Charter School,nhdist197
21,Winnacunnet,Winnacunnet Cooperative School District,nhdist198
59,Winnisquam Regional,Winnisquam Regional School District,nhdist199
96,Sullivan,,nhdist200
91,Surry,,nhdist201
435,Synergy Academy Chartered Public School,,nhdist202
433,Seacoast Classical Academy Chartered Public School,,nhdist203
98,Coos County,,nhdist204
102,Goshen,,nhdist205
97,Hale's Location c/o Carroll Cty,,nhdist206
