Report ID : 39,,,,,,,,,
Type of Data: Final,,,,,,,,,
Report Date:10/24/2025,,,,,,,,,
Run Date: 10/24/2025,,,,,,,,,
,,,,,,,,,
"New Hampshire Department of Education
Division of Education Analytics and Resources
Bureau of Educational Statistics
25 Hall Street, Concord, NH 03301",,,,,,,,,
,,,,,,,,,
"Student Teacher Ratio by District
As of October 1, 2025",,,,,,,,,
,,,,,,,,,
SAU #,SAU Name,District #,District Name,This Year Enroll,This Year Teachers,This Year Ratio,Last Year Enroll,Last Year Teachers,Last Year Ratio
,,,State Total,"154,818",0.00,#DIV/0!,"157,327","14,116.40",11.14
53,Pembroke SAU Office,9,Allenstown,345,Did Not Report,0.00,348,31.50,11.00
72,Alton SAU Office,15,Alton,395,Did Not Report,0.00,371,41.60,8.90
39,Amherst SAU Office,17,Amherst,"1,269",Did Not Report,0.00,"1,282",116.80,11.00
46,SAU #46 Office,19,Andover,166,Did Not Report,0.00,165,16.50,10.00
2,Inter-Lakes Cooperative SAU Office,23,Ashland,141,Did Not Report,0.00,159,19.40,8.20
15,Hooksett SAU Office,29,Auburn,663,Did Not Report,0.00,678,48.50,14.00
86,Barnstead SAU Office,31,Barnstead,401,Did Not Report,0.00,428,38.00,11.30
74,Barrington SAU Office,33,Barrington,881,Did Not Report,0.00,891,80.00,11.10
9,Conway SAU Office,35,Bartlett,146,Did Not Report,0.00,147,16.00,9.20
23,Haverhill Cooperative SAU Office,39,Bath,44,Did Not Report,0.00,50,9.10,5.50
25,Bedford SAU Office,41,Bedford,"3,873",Did Not Report,0.00,"3,899",294.90,13.20
3,Berlin SAU Office,51,Berlin,959,Did Not Report,0.00,970,91.00,10.70
35,SAU #35 Office,53,Bethlehem,136,Did Not Report,0.00,127,12.00,10.60
67,Bow SAU Office,57,Bow,"1,661",Did Not Report,0.00,"1,661",113.60,14.60
16,Exeter SAU Office,63,Brentwood,259,Did Not Report,0.00,266,20.00,13.30
41,Hollis-Brookline SAU Office,71,Brookline,525,Did Not Report,0.00,531,48.20,11.00
48,Plymouth SAU Office,75,Campton,246,Did Not Report,0.00,265,29.00,9.10
15,Hooksett SAU Office,79,Candia,290,Did Not Report,0.00,272,27.00,10.10
82,Chester SAU Office,93,Chester,484,Did Not Report,0.00,482,43.30,11.10
29,Keene SAU Office,95,Chesterfield,248,Did Not Report,0.00,253,23.10,11.00
53,Pembroke SAU Office,99,Chichester,203,Did Not Report,0.00,192,21.00,9.10
6,Claremont SAU Office,101,Claremont,"1,371",Did Not Report,0.00,"1,488",145.80,10.20
7,Colebrook SAU Office,105,Colebrook,252,Did Not Report,0.00,275,31.50,8.70
8,Concord SAU Office,111,Concord,"3,642",Did Not Report,0.00,"3,718",308.40,12.10
1,Contoocook Valley SAU Office,112,Contoocook Valley,"1,764",Did Not Report,0.00,"1,837",193.10,9.50
9,Conway SAU Office,113,Conway,"1,326",Did Not Report,0.00,"1,409",129.00,10.90
100,Cornish SAU Office,115,Cornish,113,Did Not Report,0.00,122,12.40,9.80
99,Croydon SAU Office,117,Croydon,28,Did Not Report,0.00,22,3.00,7.30
53,Pembroke SAU Office,127,Deerfield,456,Did Not Report,0.00,475,43.50,10.90
10,Derry Cooperative SAU Office,131,Derry Cooperative,"2,768",Did Not Report,0.00,"2,878",237.40,12.10
11,Dover SAU Office,141,Dover,"3,417",Did Not Report,0.00,"3,432",270.10,12.70
70,Hanover SAU Office,142,Dresden,"1,059",Did Not Report,0.00,"1,043",104.60,10.00
67,Bow SAU Office,149,Dunbarton,227,Did Not Report,0.00,234,17.00,13.80
16,Exeter SAU Office,153,East Kingston,118,Did Not Report,0.00,108,16.50,6.50
14,Epping SAU Office,165,Epping,836,Did Not Report,0.00,817,79.00,10.30
53,Pembroke SAU Office,167,Epsom,358,Did Not Report,0.00,378,35.00,10.80
20,Gorham SAU Office,171,Errol,12,Did Not Report,0.00,10,1.90,5.30
16,Exeter SAU Office,172,Exeter Region Cooperative,"2,244",Did Not Report,0.00,"2,294",210.00,10.90
16,Exeter SAU Office,173,Exeter,730,Did Not Report,0.00,776,80.00,9.70
60,Fall Mountain Regional SAU Office,174,Fall Mountain Regional,"1,258",Did Not Report,0.00,"1,327",129.00,10.30
61,Farmington SAU Office,175,Farmington,663,Did Not Report,0.00,706,94.00,7.50
18,Franklin SAU Office,185,Franklin,797,Did Not Report,0.00,803,74.70,10.70
13,Tamworth SAU Office,187,Freedom,44,Did Not Report,0.00,52,5.00,10.40
83,Fremont SAU Office,189,Fremont,339,Did Not Report,0.00,332,37.80,8.80
73,Gilford SAU Office,191,Gilford,"1,019",Did Not Report,0.00,"1,047",102.00,10.30
79,Gilmanton SAU Office,195,Gilmanton,330,Did Not Report,0.00,335,30.00,11.20
19,Goffstown SAU Office,199,Goffstown,"2,696",Did Not Report,0.00,"2,700",202.00,13.40
20,Gorham SAU Office,203,Gorham Randolph Shelburne Cooperative,352,Did Not Report,0.00,372,40.30,9.20
49,Governor Wentworth Regional SAU Office,208,Governor Wentworth Regional,"2,025",Did Not Report,0.00,"2,029",212.60,9.50
75,Grantham SAU Office,211,Grantham,237,Did Not Report,0.00,233,19.60,11.90
50,Greenland SAU Office,215,Greenland,349,Did Not Report,0.00,367,38.80,9.50
55,Hampstead SAU Office,223,Hampstead,790,Did Not Report,0.00,791,73.00,10.80
90,Hampton SAU Office,225,Hampton,891,Did Not Report,0.00,898,106.00,8.50
21,Winnacunnet SAU Office,227,Hampton Falls,170,Did Not Report,0.00,179,14.50,12.30
