LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR,LOCALE,PCT_CITY11,PCT_CITY12,PCT_CITY13,PCT_SUB21,PCT_SUB22,PCT_SUB23,PCT_TOWN31,PCT_TOWN32,PCT_TOWN33,PCT_RURAL41,PCT_RURAL42,PCT_RURAL43
3300030,North Country Charter Academy,33,260 Cottage St. Suite A,Littleton,NH,03561,33,33009,Grafton County,44.299097,-71.769432,30150,"Lebanon-Claremont, NH-VT",2,N,N,3302,33401,33001,2023-2024,43,0,0,0,0,0,0,0,0,0,0,0,100
3300031,Seacoast Charter School,33,171 Watson Road,Dover,NH,03820,33,33017,Strafford County,43.214943,-70.920513,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33813,33004,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3300035,Gorham Randolph Shelburne Cooperative School District,33,123 Main St.,Gorham,NH,03581,33,33007,Coos County,44.388999,-71.178215,N,N,0,N,N,3302,33306,33001,2023-2024,33,0,0,0,0,0,0,0,0,100,0,0,0
3300039,Surry Village Charter School,33,449 Route 12A,Surry,NH,03431,33,33005,Cheshire County,43.014071,-72.322572,28300,"Keene, NH",2,313,"Keene-Brattleboro, NH-VT",3302,33205,33010,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3300040,Academy for Science and Design Charter School,33,9 Townsend West,Nashua,NH,03063,33,33011,Hillsborough County,42.787926,-71.520966,31700,"Manchester-Nashua, NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33505,33012,2023-2024,13,0,0,100,0,0,0,0,0,0,0,0,0
3300041,CSI Charter School,33,26 Washington Street,Penacook,NH,03303,33,33013,Merrimack County,43.278588,-71.601745,18180,"Concord, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33615,33015,2023-2024,31,0,0,0,0,0,0,100,0,0,0,0,0
3300042,Strong Foundations Charter School,33,715 Riverwood Dr.,Pembroke,NH,03275,33,33013,Merrimack County,43.195479,-71.483889,18180,"Concord, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33612,33017,2023-2024,31,0,0,0,0,0,0,100,0,0,0,0,0
3300043,Ledyard Charter School,33,39 Hanover Street,Lebanon,NH,03766,33,33009,Grafton County,43.643362,-72.253505,30150,"Lebanon-Claremont, NH-VT",2,N,N,3302,33415,33005,2023-2024,33,0,0,0,0,0,0,0,0,100,0,0,0
3300048,Great Bay Charter School,33,30 Linden St.,Exeter,NH,03833,33,33015,Rockingham County,42.975703,-70.956147,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33711,33024,2023-2024,31,0,0,0,0,0,0,100,0,0,0,0,0
3300049,Prospect Mountain JMA School District,33,242 Suncook Valley Rd.,Alton,NH,03809,33,33001,Belknap County,43.435614,-71.207897,29060,"Laconia, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33007,33006,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3300616,Milton School District,33,20 School Street,Milton,NH,03851,33,33017,Strafford County,43.40908,-70.990246,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33802,33003,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3301350,Albany School District,33,176A Main St.,Conway,NH,03818,33,33003,Carroll County,43.979215,-71.126359,N,N,0,N,N,3301,33101,33003,2023-2024,33,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3301380,Allenstown School District,33,Pembroke Academy,Pembroke,NH,03275,33,33013,Merrimack County,43.146534,-71.456602,18180,"Concord, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33612,33017,2023-2024,22,0,0,0,0,100,0,0,0,0,0,0,0
3301440,Alton School District,33,252 Suncook Valley Rd.,Alton,NH,03809,33,33001,Belknap County,43.435614,-71.207897,29060,"Laconia, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33007,33006,2023-2024,32,0,0,0,0,0,0,0,100,0,0,0,0
3301470,Amherst School District,33,1 School St.,Amherst,NH,03031,33,33011,Hillsborough County,42.864231,-71.626908,31700,"Manchester-Nashua, NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33534,33011,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3301500,Andover School District,33,105 Community Dr.,Penacook,NH,03303,33,33013,Merrimack County,43.275458,-71.592557,18180,"Concord, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33615,33015,2023-2024,42,0,0,0,0,0,0,0,0,0,0,100,0
3301560,Ashland School District,33,103 Main St.,Meredith,NH,03253,33,33001,Belknap County,43.65479,-71.501007,29060,"Laconia, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33002,33002,2023-2024,33,0,0,0,0,0,0,0,0,100,0,0,0
3301590,Auburn School District,33,90 Farmer Rd.,Hooksett,NH,03106,33,33013,Merrimack County,43.049141,-71.413348,18180,"Concord, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33610,33016,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3301620,Barnstead School District,33,1 Suncook Valley Road,Alton,NH,03809,33,33001,Belknap County,43.323142,-71.303775,29060,"Laconia, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33007,33017,2023-2024,42,0,0,0,0,0,0,0,0,0,0,100,0
3301650,Barrington School District,33,572 Calef Highway,Barrington,NH,03825,33,33017,Strafford County,43.209453,-71.0007,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33804,33004,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3301680,Bartlett School District,33,176A Main St.,Conway,NH,03818,33,33003,Carroll County,43.979215,-71.126359,N,N,0,N,N,3301,33101,33003,2023-2024,42,0,0,0,0,0,0,0,0,0,0,100,0
3301710,Bath School District,33,2975 Dartmouth College Hwy.,N. Haverhill,NH,03774,33,33009,Grafton County,44.095898,-72.025665,30150,"Lebanon-Claremont, NH-VT",2,N,N,3302,33405,33001,2023-2024,43,0,0,0,0,0,0,0,0,0,0,0,100
3301740,Bedford School District,33,103 County Rd.,Bedford,NH,03110,33,33011,Hillsborough County,42.937948,-71.496745,31700,"Manchester-Nashua, NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33502,33009,2023-2024,22,0,0,0,0,100,0,0,0,0,0,0,0
3301830,Benton School District,33,2975 Dartmouth College Hwy.,N. Haverhill,NH,03774,33,33009,Grafton County,44.095898,-72.025665,30150,"Lebanon-Claremont, NH-VT",2,N,N,3302,33405,33001,2023-2024,43,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3301860,Berlin School District,33,183 Hillside Ave.,Berlin,NH,03570,33,33007,Coos County,44.474982,-71.181834,N,N,0,N,N,3302,33305,33001,2023-2024,41,0,0,0,0,0,0,0,0,41.48,58.52,0,0
3301890,Bethlehem School District,33,262 Cottage Street,Littleton,NH,03561,33,33009,Grafton County,44.298341,-71.769333,30150,"Lebanon-Claremont, NH-VT",2,N,N,3302,33401,33001,2023-2024,43,0,0,0,0,0,0,0,0,0,0,0,100
3301950,Bow School District,33,55 Falcon Way,Bow,NH,03304,33,33013,Merrimack County,43.154411,-71.547641,18180,"Concord, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33609,33015,2023-2024,31,0,0,0,0,0,0,63.35,0,0,36.65,0,0
3302010,Brentwood School District,33,30 Linden St.,Exeter,NH,03833,33,33015,Rockingham County,42.975703,-70.956147,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33711,33024,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3302070,Brookline School District,33,4 Lund Ln.,Hollis,NH,03049,33,33011,Hillsborough County,42.749076,-71.59471,31700,"Manchester-Nashua, NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33535,33012,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3302100,Campton School District,33,47 Old Ward Bridge Rd.,Plymouth,NH,03264,33,33009,Grafton County,43.764272,-71.703019,30150,"Lebanon-Claremont, NH-VT",2,N,N,3302,33408,33005,2023-2024,42,0,0,0,0,0,0,0,0,0,0,100,0
3302130,Candia School District,33,90 Farmer Rd.,Hooksett,NH,03106,33,33013,Merrimack County,43.049141,-71.413348,18180,"Concord, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33610,33016,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3302200,Chatham School District,33,176A Main St.,Conway,NH,03818,33,33003,Carroll County,43.979215,-71.126359,N,N,0,N,N,3301,33101,33003,2023-2024,33,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3302250,Chester School District,33,Chester Academy,Chester,NH,03036,33,33015,Rockingham County,42.959335,-71.25201,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33703,33023,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3302280,Chesterfield School District,33,193 Maple Avenue,Keene,NH,03431,33,33005,Cheshire County,42.956246,-72.312598,28300,"Keene, NH",2,313,"Keene-Brattleboro, NH-VT",3302,33202,33010,2023-2024,42,0,0,0,0,0,0,0,0,0,0,100,0
3302310,Chichester School District,33,Pembroke Academy,Pembroke,NH,03275,33,33013,Merrimack County,43.146534,-71.456602,18180,"Concord, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33612,33017,2023-2024,42,0,0,0,0,0,0,0,0,0,0,100,0
3302340,Claremont School District,33,165 Broad St.,Claremont,NH,03743,33,33019,Sullivan County,43.369671,-72.337319,30150,"Lebanon-Claremont, NH-VT",2,N,N,3302,33906,33008,2023-2024,33,0,0,0,0,0,0,0,0,57.88,42.12,0,0
3302370,Clarksville School District,33,21 Academy St.,Colebrook,NH,03576,33,33007,Coos County,44.894225,-71.494738,N,N,0,N,N,3302,33303,33001,2023-2024,43,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3302400,Colebrook School District,33,21 Academy St.,Colebrook,NH,03576,33,33007,Coos County,44.894225,-71.494738,N,N,0,N,N,3302,33303,33001,2023-2024,43,0,0,0,0,0,0,0,0,0,0,0,100
3302430,Columbia School District,33,21 Academy St.,Colebrook,NH,03576,33,33007,Coos County,44.894225,-71.494738,N,N,0,N,N,3302,33303,33001,2023-2024,43,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3302460,Concord School District,33,38 Liberty St.,Concord,NH,03301,33,33013,Merrimack County,43.20383,-71.547941,18180,"Concord, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33619,33015,2023-2024,31,0,0,0,0,0,0,100,0,0,0,0,0
3302480,Contoocook Valley School District,33,106 Hancock Rd.,Peterborough,NH,03458,33,33011,Hillsborough County,42.905997,-71.938343,31700,"Manchester-Nashua, NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33533,33010,2023-2024,42,0,0,0,0,0,0,0,0,0,1.91,98.09,0
3302490,Conway School District,33,176A Main St.,Conway,NH,03818,33,33003,Carroll County,43.979215,-71.126359,N,N,0,N,N,3301,33101,33003,2023-2024,41,0,0,0,0,0,0,0,0,40.14,59.86,0,0
3302510,Coos County School District,33,County Farm Road,W. Stewartstown,NH,03597,33,33007,Coos County,44.989081,-71.532412,N,N,0,N,N,3302,33303,33001,2023-2024,43,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3302520,Cornish School District,33,274 Townhouse Road,Cornish,NH,03745,33,33019,Sullivan County,43.464335,-72.331219,30150,"Lebanon-Claremont, NH-VT",2,N,N,3302,33902,33005,2023-2024,42,0,0,0,0,0,0,0,0,0,0,100,0
3302550,Croydon School District,33,889 NH Rt. 10,Croydon,NH,03773,33,33019,Sullivan County,43.454354,-72.158995,30150,"Lebanon-Claremont, NH-VT",2,N,N,3302,33906,33008,2023-2024,42,0,0,0,0,0,0,0,0,0,0,100,0
3302580,Deerfield School District,33,Pembroke Academy,Pembroke,NH,03275,33,33013,Merrimack County,43.146534,-71.456602,18180,"Concord, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33612,33017,2023-2024,42,0,0,0,0,0,0,0,0,0,0,100,0
3302610,Derry Cooperative School District,33,18 South Main St.,Derry,NH,03038,33,33015,Rockingham County,42.888899,-71.308841,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33713,33019,2023-2024,22,0,0,0,0,89.15,0,0,0,0,10.85,0,0
3302640,Dover School District,33,McConnell Center 61 Locust St.,Dover,NH,03820,33,33017,Strafford County,43.19329,-70.876915,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33815,33004,2023-2024,23,0,0,0,0,0,100,0,0,0,0,0,0
3302670,Dresden School District,33,41 Lebanon St.,Hanover,NH,03755,33,33009,Grafton County,43.698811,-72.283309,30150,"Lebanon-Claremont, NH-VT",2,N,N,3302,33412,33005,2023-2024,33,0,0,0,0,0,0,0,0,65.23,34.77,0,0
3302730,Dummer School District,33,123 Main St.,Gorham,NH,03581,33,33007,Coos County,44.388999,-71.178215,N,N,0,N,N,3302,33306,33001,2023-2024,33,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3302760,Dunbarton School District,33,55 Falcon Way,Bow,NH,03304,33,33013,Merrimack County,43.154411,-71.547641,18180,"Concord, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33609,33015,2023-2024,42,0,0,0,0,0,0,0,0,0,0,100,0
3302790,East Kingston School District,33,30 Linden St.,Exeter,NH,03833,33,33015,Rockingham County,42.975703,-70.956147,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33711,33024,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3302850,Eaton School District,33,176A Main St.,Conway,NH,03818,33,33003,Carroll County,43.979215,-71.126359,N,N,0,N,N,3301,33101,33003,2023-2024,33,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3302870,Ellsworth School District,33,47 Old Ward Bridge Rd.,Plymouth,NH,03264,33,33009,Grafton County,43.764272,-71.703019,30150,"Lebanon-Claremont, NH-VT",2,N,N,3302,33408,33005,2023-2024,33,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3302880,Epping School District,33,213 Main St.,Epping,NH,03042,33,33015,Rockingham County,43.04308,-71.073121,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33705,33023,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3302910,Epsom School District,33,Pembroke Academy,Pembroke,NH,03275,33,33013,Merrimack County,43.146534,-71.456602,18180,"Concord, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33612,33017,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3302940,Errol School District,33,123 Main St.,Gorham,NH,03581,33,33007,Coos County,44.388999,-71.178215,N,N,0,N,N,3302,33306,33001,2023-2024,43,0,0,0,0,0,0,0,0,0,0,0,100
3302970,Exeter School District,33,30 Linden St.,Exeter,NH,03833,33,33015,Rockingham County,42.975703,-70.956147,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33711,33024,2023-2024,31,0,0,0,0,0,0,100,0,0,0,0,0
3302990,Fall Mountain Regional School District,33,122 NH Route 12A Unit 5,Langdon,NH,03602,33,33019,Sullivan County,43.162662,-72.379115,30150,"Lebanon-Claremont, NH-VT",2,N,N,3302,33904,33008,2023-2024,41,0,0,0,0,0,0,0,0,6.13,50.53,43.34,0
3303000,Farmington School District,33,35 School Street,Farmington,NH,03835,33,33017,Strafford County,43.392894,-71.0689,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33801,33006,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3303090,Franklin School District,33,119 Central St.,Franklin,NH,03235,33,33013,Merrimack County,43.440808,-71.653474,18180,"Concord, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33603,33007,2023-2024,32,0,0,0,0,0,0,0,100,0,0,0,0
