"district_code","district","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","pct_aian","n_aapi","pct_aapi","n_hispanic","pct_hispanic","n_black","pct_black","n_white","pct_white","n_multiracial","pct_multiracial","total","pct_lowinc","n_el","pct_el","pct_sped","n_ela_prof__9_12","pct_ela_prof__9_12","n_math_prof__9_12","pct_math_prof__9_12","n_ela_prof__3_8","pct_ela_prof__3_8","n_math_prof__3_8","pct_math_prof__3_8","pct_grad","pct_reg_attend","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert"
58,"Northumberland","K-12","Traditional","Rural",3,1,314,-0.03,0,0,0,0,6,0.02,5,0.02,303,0.96,0,0,"314",0.48,0,0,0.31,18,0.39,18,0.17,134,0.45,134,0.37,0.88,0.96,22601,0,NA,NA,NA,NA,NA,0.84375
44,"Northwood","K-8","Traditional","Rural",1,0,413,0.12,0,0,1,0,16,0.04,0,0,388,0.94,8,0.02,"413",0.18,0,0,0.21,NA,NA,NA,NA,220,0.55,220,0.45,NA,0.98,22474,0,1,NA,NA,NA,NA,1
107,"Nottingham","K-8","Traditional","Rural",1,0,527,0.05,0,0,3,0.01,12,0.02,3,0.01,484,0.92,25,0.05,"527",0.11,0,0,0.14,5,NA,5,NA,304,0.67,308,0.66,NA,0.98,17992,0,0.93,0.05,NA,0.02,NA,1
5,"Oyster River","K-12","Traditional","Rural",5,1,2097,-0.03,1,0,123,0.06,79,0.04,18,0.01,1782,0.85,94,0.04,"2,097",0.05,29,0.01,0.17,182,0.86,182,0.54,804,0.73,808,0.68,0.97,0.98,22134,0,NA,NA,NA,NA,NA,1
28,"Pelham","K-12","Traditional","Suburban",3,1,1608,-0.14,1,0,50,0.03,150,0.09,17,0.01,1346,0.84,44,0.03,"1,608",0.11,15,0.01,0.18,118,0.62,118,0.17,674,0.53,674,0.42,0.95,0.97,18458,0,0.98,0.01,NA,0.01,NA,0.92209631507355
53,"Pembroke","K-12","Traditional","Suburban",3,1,1346,-0.06,2,0,8,0.01,64,0.05,13,0.01,1200,0.89,59,0.04,"1,346",0.24,1,0,0.2,152,0.66,152,0.23,394,0.57,398,0.45,0.95,0.97,19355,0,1,NA,NA,NA,NA,1
51,"Pittsfield","K-12","Traditional","Rural",3,1,479,-0.17,3,0.01,0,0,26,0.05,7,0.01,430,0.9,13,0.03,"479",0.45,0,0,0.28,18,0.63,18,0.11,194,0.33,194,0.18,0.76,0.96,21649,0,NA,NA,NA,NA,NA,0.901803607214429
32,"Plainfield","K-8","Traditional","Rural",1,0,183,-0.12,0,0,4,0.02,6,0.03,0,0,164,0.9,9,0.05,"183",0.05,4,0.02,0.19,NA,NA,NA,NA,140,0.68,140,0.53,NA,0.98,28055,0,NA,NA,NA,NA,NA,1
48,"Plymouth","K-8","Traditional","Rural",1,0,365,-0.12,0,0,10,0.03,15,0.04,4,0.01,325,0.89,11,0.03,"365",0.35,3,0.01,0.23,NA,NA,NA,NA,246,0.62,246,0.53,NA,0.98,24275,0,NA,NA,NA,NA,NA,1
52,"Portsmouth","K-12","Traditional","Suburban",6,1,2428,-0.09,3,0,154,0.06,182,0.07,32,0.01,1900,0.78,157,0.06,"2,428",0.16,74,0.03,0.2,218,0.8,218,0.51,896,0.77,900,0.71,0.95,0.98,25488,0,0.89,0,0.05,0.05,0.01,0.992015968102119
