"district","district_code","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","n_asian","n_black","n_hispanic","n_multiracial","n_white","n_nhpi","pct_aian","pct_aapi","pct_black","pct_hispanic","pct_multiracial","pct_white","pct_lowinc","pct_el","pct_sped","n_ela_prof_3_8","pct_ela_prof_3_8","n_math_prof_3_8","pct_math_prof_3_8","n_ela_prof_9_12","pct_ela_prof_9_12","n_math_prof_9_12","pct_math_prof_9_12","grad_n","grad_rate","pct_chronic_absenteeism","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert","retention_n","retention_rate"
"New Hartford School District",920011,"K-6","Traditional","Rural",3,0,433,-0.01,1,1,0,27,16,388,0,0,0,0,0.06,0.04,0.9,0.17,0.01,0.25,152,0.65,129,0.55,NA,NA,NA,NA,NA,NA,0.06,21588,0,0.98,0.02,NA,NA,NA,1,35,0.95
"New Haven School District",930011,"K-12","Traditional","Urban",53,15,18817,-0.09,35,810,5928,9506,728,1803,7,0,0.04,0.32,0.51,0.04,0.1,0.76,0.24,0.16,1833,0.24,1328,0.17,368,0.32,135,0.12,1102,0.72,0.32,21371,0.16,0.6,0.32,0.06,0,0.02,0.98,1299,0.87
"New London School District",950011,"K-12","Traditional","Urban",10,4,2918,-0.15,15,35,492,1712,316,342,6,0.01,0.01,0.17,0.59,0.11,0.12,0.84,0.32,0.23,287,0.23,158,0.12,33,0.18,18,0.1,186,0.78,0.29,23663,0.25,0.49,0.42,0.05,0.02,0.01,0.97,234,0.8
"New Milford School District",960011,"K-12","Traditional","Suburban",6,2,3532,-0.11,3,126,118,956,94,2232,3,0,0.04,0.03,0.27,0.03,0.63,0.31,0.09,0.18,676,0.44,555,0.37,159,0.6,72,0.27,284,0.87,0.15,20708,0,0.86,0.08,0.03,0.03,NA,1,281,0.89
"Newington School District",940011,"K-12","Traditional","Suburban",8,2,3855,-0.04,5,407,229,1043,205,1961,5,0,0.11,0.06,0.27,0.05,0.51,0.37,0.09,0.17,934,0.55,799,0.47,183,0.63,101,0.35,322,0.95,0.12,21922,0,0.71,0.11,0.14,0.04,0,1,290,0.92
"Newtown School District",970011,"K-12","Traditional","Suburban",12,2,3924,-0.06,4,85,95,556,69,3111,4,0,0.02,0.02,0.14,0.02,0.79,0.15,0.02,0.16,1241,0.7,1260,0.71,218,0.78,133,0.47,336,0.97,0.09,22491,0,0.84,0.11,0.04,0.01,NA,1,309,0.89
"Norfolk School District",980011,"K-6","Traditional","Rural",1,0,61,-0.18,0,0,0,4,4,53,0,0,0,0,0.07,0.07,0.87,0.1,0.05,0.26,9,0.47,9,0.47,NA,NA,NA,NA,NA,NA,0.09,49304,0,1,0.01,NA,NA,NA,1,7,0.78
"North Branford School District",990011,"K-12","Traditional","Suburban",5,2,1546,-0.09,12,32,12,166,52,1272,0,0.01,0.02,0.01,0.11,0.03,0.82,0.26,0.01,0.14,430,0.6,388,0.54,70,0.69,41,0.41,99,0.98,0.09,23080,0,0.96,0.01,NA,0.01,0.02,0.99,136,0.92
"North Canaan School District",1000011,"K-8","Traditional","Rural",1,0,245,-0.03,0,0,6,46,6,186,0,0,0,0.03,0.19,0.03,0.76,0.45,0.06,0.14,90,0.62,82,0.56,NA,NA,NA,NA,NA,NA,0.09,25170,0,NA,NA,NA,NA,NA,1,27,0.93
"North Haven School District",1010011,"K-12","Traditional","Suburban",7,2,3214,0.01,70,279,178,467,70,2151,0,0.02,0.09,0.06,0.15,0.02,0.67,0.24,0.06,0.15,1008,0.7,903,0.63,140,0.67,89,0.42,218,0.94,0.1,19720,0,0.86,0.07,0.05,0.01,0,1,258,0.95
"North Stonington School District",1020011,"K-12","Traditional","Rural",2,1,726,-0.03,3,6,6,42,16,650,3,0,0.01,0.01,0.06,0.02,0.9,0.19,0,0.14,202,0.66,209,0.69,40,0.82,20,0.42,44,0.94,0.14,20659,0,NA,NA,NA,NA,NA,1,72,0.89
"Norwalk School District",1030011,"K-12","Traditional","Suburban",25,7,11473,-0.02,35,415,1505,6578,425,2505,10,0,0.04,0.13,0.57,0.04,0.22,0.52,0.23,0.19,2031,0.43,1737,0.37,457,0.54,226,0.27,942,0.93,0.18,22245,0.05,0.56,0.37,0.06,0.01,0,0.95,794,0.86
"Norwich School District",1040011,"K-12","Traditional","Urban",16,3,3291,-0.08,7,192,630,1301,285,864,12,0,0.06,0.19,0.4,0.09,0.26,0.77,0.25,0.23,552,0.27,376,0.19,0,NA,0,NA,NA,NA,0.21,23566,0.22,0.8,0.11,0.05,0.04,NA,0.99,226,0.78
"Odyssey Community School District",2630013,"K-8","Charter","Suburban",1,0,410,0.25,15,105,92,86,15,97,0,0.04,0.26,0.22,0.21,0.04,0.24,0.4,0.09,0.13,119,0.55,111,0.51,NA,NA,NA,NA,NA,NA,0.1,15234,0,NA,NA,NA,NA,NA,1,29,0.91
"Old Saybrook School District",1060011,"K-12","Traditional","Suburban",3,1,1030,-0.14,0,41,4,159,35,786,4,0,0.04,0,0.15,0.03,0.76,0.23,0.08,0.16,283,0.69,236,0.57,55,0.78,30,0.42,78,0.95,0.08,27652,0,0.84,0.09,0.05,0.01,NA,1,102,0.86
"Orange School District",1070011,"K-6","Traditional","Suburban",4,0,1254,0.01,0,169,31,116,57,881,0,0,0.13,0.02,0.09,0.05,0.7,0.15,0.06,0.11,513,0.73,488,0.7,NA,NA,NA,NA,NA,NA,0.06,19558,0,0.83,0.02,0.07,0.06,0.02,1,93,0.86
"Oxford School District",1080011,"K-12","Traditional","Rural",7,3,1622,-0.06,4,46,45,205,34,1284,4,0,0.03,0.03,0.13,0.02,0.79,0.18,0.02,0.17,521,0.7,435,0.58,71,0.61,47,0.41,125,0.94,0.12,21221,0,0.91,0.09,NA,NA,NA,1,132,0.93
"Plainfield School District",1090011,"K-12","Traditional","Rural",5,1,1886,-0.13,17,26,73,108,60,1594,8,0.01,0.02,0.04,0.06,0.03,0.85,0.57,0.01,0.2,375,0.45,321,0.38,67,0.46,17,0.12,110,0.81,0.2,20655,0,0.91,0.06,NA,0.02,NA,NA,137,0.81
"Plainville School District",1100011,"K-12","Traditional","Suburban",6,2,2223,-0.06,4,58,136,567,103,1351,4,0,0.03,0.06,0.26,0.05,0.61,0.45,0.08,0.16,553,0.56,522,0.54,104,0.61,46,0.27,160,0.94,0.16,21283,0,0.87,0.04,0.05,0.04,0.01,1,173,0.87
"Plymouth School District",1110011,"K-12","Traditional","Suburban",5,2,1244,-0.09,10,10,24,220,72,907,0,0.01,0.01,0.02,0.18,0.06,0.73,0.51,0.04,0.26,240,0.42,215,0.38,58,0.71,23,0.28,101,0.94,0.2,20751,0,0.9,0.09,0,NA,NA,1,101,0.87
"Pomfret School District",1120011,"K-8","Traditional","Rural",1,0,333,-0.14,0,4,4,19,8,298,0,0,0.01,0.01,0.06,0.02,0.89,0.23,0.01,0.17,133,0.61,152,0.7,NA,NA,NA,NA,NA,NA,0.08,22226,0,0.98,0.02,0,NA,NA,1,27,0.75
"Portland School District",1130011,"K-12","Traditional","Suburban",6,2,1250,-0.05,10,10,57,219,62,893,0,0.01,0.01,0.05,0.18,0.05,0.71,0.29,0.04,0.23,368,0.65,322,0.58,55,0.68,36,0.45,63,0.85,0.12,21741,0,0.99,NA,0.01,NA,NA,1,95,0.82
"Preston School District",1140011,"K-8","Traditional","Rural",2,0,432,-0.01,4,8,8,41,16,352,4,0.01,0.03,0.02,0.09,0.04,0.81,0.3,0.02,0.16,155,0.59,124,0.47,0,NA,0,NA,NA,NA,0.13,23641,0,0.98,0.02,NA,NA,NA,1,37,0.95
"Putnam School District",1160011,"K-12","Traditional","Rural",4,2,1176,0,2,14,17,214,82,845,2,0,0.01,0.01,0.18,0.07,0.72,0.58,0.05,0.2,222,0.41,160,0.3,36,0.61,11,0.19,54,0.93,0.2,19790,0.33,0.89,0.1,0.02,NA,NA,1,78,0.8
"Redding School District",1170011,"K-8","Traditional","Rural",2,0,855,0.02,2,19,10,106,27,690,2,0,0.02,0.01,0.12,0.03,0.81,0.09,0.02,0.17,418,0.75,428,0.77,NA,NA,NA,NA,NA,NA,0.1,29247,0,0.9,0.05,0.04,0.01,NA,1,77,0.93
"Regional School District 10",2100012,"K-12","Regional","Rural",4,1,2140,-0.05,0,18,5,173,437,1502,5,0,0.01,0,0.08,0.2,0.7,0.16,0.02,0.17,626,0.65,580,0.6,117,0.74,65,0.41,145,0.97,0.11,20164,0,0.93,0.01,0.02,0,0.04,1,157,0.9
"Regional School District 12",2120012,"K-12","Regional","Rural",5,2,798,0.13,0,4,4,91,30,669,0,0,0.01,0.01,0.11,0.04,0.84,0.19,0.02,0.13,202,0.71,189,0.66,89,0.86,55,0.53,74,0.95,0.11,31218,0,0.77,0.18,0.03,0.02,NA,1,78,0.88
"Regional School District 13",2130012,"K-12","Regional","Rural",7,3,1339,-0.12,7,18,7,117,40,1150,0,0.01,0.01,0.01,0.09,0.03,0.86,0.17,0.01,0.22,380,0.62,298,0.49,60,0.78,40,0.52,86,0.94,0.11,28300,0,1,0,0,NA,NA,0.99,123,0.94
"Regional School District 14",2140012,"K-12","Regional","Rural",5,2,1561,-0.02,2,12,23,250,56,1216,2,0,0.01,0.01,0.16,0.04,0.78,0.2,0.01,0.19,376,0.65,333,0.57,131,0.71,76,0.41,152,0.96,0.09,24147,0,0.93,0.02,0.05,NA,0,1,125,0.89
"Regional School District 15",2150012,"K-12","Regional","Suburban",8,2,3368,-0.08,2,159,76,353,123,2652,2,0,0.05,0.02,0.1,0.04,0.79,0.14,0.02,0.19,950,0.59,991,0.61,166,0.71,101,0.43,259,0.97,0.09,24519,0,0.94,0.02,0,0.03,0.01,1,269,0.92
"Regional School District 16",2160012,"K-12","Regional","Suburban",4,1,1898,-0.09,16,16,79,231,60,1495,0,0.01,0.01,0.04,0.12,0.03,0.79,0.26,0.02,0.17,559,0.66,552,0.65,107,0.72,62,0.42,139,0.93,0.08,20848,0,0.79,0.16,0.04,0,NA,1,150,0.9
"Regional School District 17",2170012,"K-12","Regional","Rural",6,2,1716,-0.12,11,22,11,86,57,1529,0,0.01,0.01,0.01,0.05,0.03,0.89,0.16,0.01,0.18,594,0.71,548,0.66,107,0.86,61,0.49,133,0.96,0.05,25947,0,0.98,0.02,NA,NA,NA,1,144,0.87
"Regional School District 18",2180012,"K-12","Regional","Rural",6,2,1281,-0.01,0,37,8,88,54,1094,0,0,0.03,0.01,0.07,0.04,0.85,0.15,0.03,0.15,421,0.77,410,0.75,79,0.92,61,0.71,104,0.95,0.1,24634,0,0.93,0.03,0.03,0,NA,1,106,0.87
"Regional School District 20",2200012,"K-12","Regional","Rural",8,2,1619,Inf,8,8,21,111,42,1430,0,0,0,0.01,0.07,0.03,0.88,0.26,0.01,0.19,468,0.7,414,0.62,105,0.72,54,0.37,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ridgefield School District",1180011,"K-12","Traditional","Rural",21,4,4484,-0.05,5,287,33,429,216,3509,5,0,0.07,0.01,0.1,0.05,0.78,0.08,0.02,0.19,1603,0.79,1589,0.78,315,0.9,232,0.66,350,0.96,0.05,25292,0,0.81,0.03,0.14,0.02,NA,1,337,0.91
"Rocky Hill School District",1190011,"K-12","Traditional","Suburban",7,3,2539,-0.06,1,775,114,317,107,1224,1,0,0.31,0.04,0.12,0.04,0.48,0.23,0.11,0.15,838,0.7,793,0.67,139,0.76,99,0.54,170,0.95,0.09,20343,0,0.63,0.05,0.17,0.09,0.05,1,205,0.94
"Salem School District",1210011,"K-8","Traditional","Rural",1,0,392,-0.07,2,2,6,38,23,320,0,0.01,0.01,0.02,0.1,0.06,0.82,0.24,0.01,0.16,135,0.54,123,0.5,0,NA,0,NA,NA,NA,0.13,20816,0,0.96,0.04,NA,NA,NA,1,27,0.82
"Salisbury School District",1220011,"K-8","Traditional","Rural",1,0,288,0.01,0,2,11,28,24,221,2,0,0.01,0.04,0.1,0.08,0.77,0.23,0.02,0.18,128,0.72,126,0.71,NA,NA,NA,NA,NA,NA,0.12,27587,0,NA,NA,NA,NA,NA,0.97,31,0.89
"Scotland School District",1230011,"K-6","Traditional","Rural",1,0,96,-0.09,0,0,6,6,0,85,0,0,0,0.06,0.06,0,0.89,0.06,0.03,0.27,22,0.5,22,0.5,NA,NA,NA,NA,NA,NA,0.1,24010,0,NA,NA,NA,NA,NA,1,10,0.77
"Seymour School District",1240011,"K-12","Traditional","Suburban",4,1,2103,-0.03,0,81,168,470,56,1328,0,0,0.04,0.08,0.22,0.03,0.63,0.51,0.07,0.18,486,0.52,493,0.53,97,0.65,41,0.28,121,0.86,0.16,18869,0,0.88,0.08,0.04,NA,NA,1,148,0.96
"Sharon School District",1250011,"K-8","Traditional","Rural",1,0,97,-0.06,0,0,2,14,2,79,0,0,0,0.02,0.14,0.02,0.81,0.06,0.03,0.21,23,0.49,23,0.49,NA,NA,NA,NA,NA,NA,0.06,47607,0,NA,NA,NA,NA,NA,1,17,0.85
"Shelton School District",1260011,"K-12","Traditional","Urban",15,3,4518,-0.03,5,237,458,1131,192,2490,5,0,0.05,0.1,0.25,0.04,0.55,0.37,0.08,0.18,1083,0.52,1139,0.55,194,0.66,115,0.39,292,0.92,0.11,19042,0,0.84,0.06,0.09,0.01,NA,1,304,0.94
"Sherman School District",1270011,"K-8","Traditional","Rural",1,0,231,-0.16,0,2,2,19,16,193,0,0,0.01,0.01,0.08,0.07,0.84,0.03,0,0.1,100,0.72,91,0.66,NA,NA,NA,NA,NA,NA,0.12,27183,0,0.88,0.04,0.08,NA,NA,1,28,0.88
"Side By Side Charter School District",2700013,"K-8","Charter","Suburban",1,0,236,0,0,8,52,144,8,23,0,0,0.04,0.22,0.61,0.04,0.1,0.61,0.19,0.07,73,0.56,65,0.5,NA,NA,NA,NA,NA,NA,0.09,16296,0,NA,NA,NA,NA,NA,1,13,0.76
"Simsbury School District",1280011,"K-12","Traditional","Suburban",8,2,4127,0.01,2,259,259,463,230,2913,2,0,0.06,0.06,0.11,0.06,0.71,0.17,0.02,0.18,1516,0.79,1422,0.74,241,0.83,161,0.56,305,0.96,0.09,20807,0,0.93,0.02,0.03,0.02,NA,1,303,0.9
"Somers School District",1290011,"K-12","Traditional","Rural",3,1,1347,0,8,8,33,101,29,1169,0,0.01,0.01,0.02,0.07,0.02,0.87,0,0.01,0.15,369,0.57,334,0.51,50,0.71,35,0.5,105,0.92,0.09,21032,0,0.99,0.01,NA,NA,NA,1,121,0.92
"South Windsor School District",1320011,"K-12","Traditional","Suburban",9,3,5125,0.13,8,1783,301,556,235,2234,8,0,0.35,0.06,0.11,0.05,0.44,0.18,0.09,0.13,1706,0.71,1660,0.69,281,0.77,201,0.55,309,0.97,0.08,18218,0,0.72,0.03,0.14,0.12,0,1,385,0.93
"Southington School District",1310011,"K-12","Traditional","Suburban",24,5,6200,-0.02,2,317,156,841,324,4558,2,0,0.05,0.03,0.14,0.05,0.74,0.27,0.04,0.17,1831,0.67,1822,0.67,340,0.7,176,0.36,449,0.91,0.1,18965,0,0.88,0.01,0.07,0.02,0.01,1,462,0.9
"Sprague School District",1330011,"K-8","Traditional","Rural",1,0,265,-0.05,3,3,3,45,37,173,0,0.01,0.01,0.01,0.17,0.14,0.65,0.55,0.01,0.19,59,0.35,39,0.23,NA,NA,NA,NA,NA,NA,0.19,19606,0,0.97,0.01,0.02,NA,NA,NA,19,0.83
"Stafford School District",1340011,"K-12","Traditional","Rural",4,1,1266,-0.13,8,8,16,118,41,1076,0,0.01,0.01,0.01,0.09,0.03,0.85,0.41,0.01,0.21,251,0.45,223,0.4,72,0.79,42,0.46,101,0.98,0.13,23428,0,0.98,0,NA,0,0.01,1,107,0.88
"Stamford School District",1350011,"K-12","Traditional","Urban",31,8,16185,-0.03,28,926,2056,8805,550,3808,12,0,0.06,0.13,0.54,0.03,0.24,0.54,0.19,0.17,2530,0.36,2272,0.33,540,0.51,248,0.23,1056,0.8,0.19,23201,0,0.56,0.33,0.08,0.02,0.01,1,1152,0.87
"Sterling School District",1360011,"K-8","Traditional","Rural",1,0,310,-0.15,3,3,3,24,30,248,0,0.01,0.01,0.01,0.08,0.1,0.8,0.44,0.01,0.22,81,0.43,66,0.35,0,NA,0,NA,NA,NA,0.2,20211,0,1,NA,NA,NA,NA,1,24,0.77
"Stonington School District",1370011,"K-12","Traditional","Rural",7,4,1722,-0.13,2,24,15,127,109,1444,2,0,0.01,0.01,0.07,0.06,0.84,0.26,0.01,0.17,535,0.72,502,0.67,103,0.8,52,0.4,128,0.93,0.14,25567,0,0.96,NA,0.03,0,0,1,154,0.91
"Stratford School District",1380011,"K-12","Traditional","Suburban",23,5,6578,-0.04,8,140,1743,2875,234,1571,7,0,0.02,0.26,0.44,0.04,0.24,0.5,0.12,0.19,1017,0.36,834,0.29,269,0.49,73,0.13,560,0.91,0.17,20911,0.08,0.81,0.11,0.05,0.02,0.01,0.99,443,0.88
"Suffield School District",1390011,"K-12","Traditional","Rural",4,1,2027,-0.05,7,88,83,191,3,1652,3,0,0.04,0.04,0.09,0,0.81,0.15,0.03,0.17,583,0.63,623,0.68,98,0.72,58,0.42,192,0.96,0.1,20794,0,0.94,0.01,0.03,0.02,NA,1,147,0.87
"Thomaston School District",1400011,"K-12","Traditional","Suburban",4,2,777,-0.09,0,18,14,95,28,622,0,0,0.02,0.02,0.12,0.04,0.8,0.4,0.02,0.16,191,0.51,149,0.39,27,0.68,10,0.25,43,0.96,0.14,21747,0,0.95,0.05,NA,NA,NA,1,59,0.88
"Thompson School District",1410011,"K-12","Traditional","Rural",4,2,826,-0.17,4,12,4,73,32,700,0,0.01,0.01,0.01,0.09,0.04,0.85,0.46,0.02,0.22,214,0.52,192,0.47,30,0.64,13,0.27,54,0.9,0.14,24079,0,0.92,0.05,0.01,0.01,NA,0.98,68,0.91
"Tolland School District",1420011,"K-12","Traditional","Rural",5,2,2144,-0.09,2,72,63,215,83,1706,2,0,0.03,0.03,0.1,0.04,0.8,0.17,0.01,0.17,648,0.7,649,0.7,126,0.75,81,0.48,183,0.97,0.1,20365,0,0.97,0.02,NA,0.01,NA,1,159,0.89
"Torrington School District",1430011,"K-12","Traditional","Rural",10,2,3911,0.01,8,163,259,1688,83,1703,7,0,0.04,0.07,0.43,0.02,0.44,0.66,0.17,0.2,790,0.43,571,0.31,117,0.46,45,0.17,207,0.76,0.18,21305,0,0.84,0.13,0,0.03,0,1,289,0.89
"Trumbull School District",1440011,"K-12","Traditional","Suburban",13,4,6943,0.02,10,759,513,1440,215,3999,7,0,0.11,0.07,0.21,0.03,0.58,0.2,0.05,0.15,2365,0.75,2310,0.73,447,0.8,279,0.5,529,0.96,0.07,19452,0,0.83,0.02,0.12,0.02,0,1,472,0.93
"Union School District",1450011,"K-8","Traditional","Rural",1,0,49,0.07,0,0,0,NA,NA,46,0,NA,NA,NA,NA,NA,NA,2,0,1,4,0.57,4,0.57,NA,NA,NA,NA,NA,NA,0.2,25429,0,NA,NA,NA,NA,NA,0.95,6,0.67
"Vernon School District",1460011,"K-12","Traditional","Suburban",11,3,3236,0.03,1,223,346,801,306,1558,1,0,0.07,0.11,0.25,0.09,0.48,0.56,0.04,0.2,740,0.55,607,0.45,113,0.48,55,0.24,224,0.89,0.13,19243,0,0.91,0.03,0.04,0.01,0.01,1,246,0.86
"Voluntown School District",1470011,"K-8","Traditional","Rural",1,0,217,-0.18,0,2,2,12,8,190,2,0,0.02,0.01,0.06,0.04,0.88,0.36,0.05,0.16,65,0.55,63,0.53,NA,NA,NA,NA,NA,NA,0.11,23596,0,1,NA,NA,NA,NA,1,23,0.85
"Wallingford School District",1480011,"K-12","Traditional","Suburban",23,5,5241,-0.08,7,227,97,1176,199,3529,6,0,0.04,0.02,0.22,0.04,0.67,0.36,0.08,0.19,1166,0.52,1056,0.48,253,0.64,114,0.29,378,0.91,0.12,23520,0,0.84,0.09,0.05,0.02,0,NA,444,0.92
"Waterbury School District",1510011,"K-12","Traditional","Urban",60,9,18776,0,77,291,3871,11972,766,1799,0,0,0.02,0.21,0.64,0.04,0.1,0.79,0.21,0.21,2258,0.27,1574,0.19,339,0.29,120,0.1,1082,0.86,0.26,20266,0.14,0.61,0.3,0.05,0.01,0.02,0.99,1154,0.91
"Waterford School District",1520011,"K-12","Traditional","Suburban",10,2,2281,-0.08,6,114,59,356,141,1598,7,0,0.05,0.03,0.16,0.06,0.7,0.33,0.06,0.18,563,0.56,577,0.58,140,0.77,104,0.58,161,0.91,0.11,23838,0,0.98,0,0.01,0,0,1,196,0.95
"Watertown School District",1530011,"K-12","Traditional","Suburban",7,3,2528,-0.07,5,31,108,361,98,1920,5,0,0.01,0.04,0.14,0.04,0.76,0.42,0.05,0.18,546,0.46,509,0.43,98,0.59,45,0.27,177,0.87,0.15,20737,0,0.76,0.11,0.11,NA,0.02,1,192,0.91
"West Hartford School District",1550011,"K-12","Traditional","Urban",22,5,9128,-0.04,18,939,727,1972,560,4894,18,0,0.1,0.08,0.22,0.06,0.54,0.29,0.09,0.19,2660,0.66,2505,0.62,543,0.79,380,0.55,687,0.92,0.1,21708,0,0.78,0.11,0.05,0.05,0.01,1,678,0.89
"West Haven School District",1560011,"K-12","Traditional","Suburban",12,3,5950,0.01,15,344,1412,2496,280,1397,6,0,0.06,0.24,0.42,0.05,0.23,0.57,0.23,0.2,1111,0.43,1019,0.4,177,0.38,50,0.11,459,0.89,0.26,18600,0,0.68,0.2,0.03,0.01,0.08,1,452,0.91
"Westbrook School District",1540011,"K-12","Traditional","Suburban",4,2,592,-0.12,0,6,6,161,13,407,0,0,0.01,0.01,0.27,0.02,0.69,0.41,0.16,0.16,147,0.59,164,0.66,24,0.55,19,0.44,48,0.94,0.08,33851,0,NA,NA,NA,NA,NA,0.99,70,0.85
"Weston School District",1570011,"K-12","Traditional","Suburban",4,1,2101,-0.08,15,129,15,199,178,1565,0,0.01,0.06,0.01,0.09,0.08,0.74,0.02,0.01,0.15,788,0.83,772,0.81,151,0.91,120,0.72,174,0.96,0.04,27531,0,0.86,0.03,0.07,0.04,0.01,1,170,0.9
"Westport School District",1580011,"K-12","Traditional","Suburban",12,2,5281,-0.01,2,332,109,452,385,3999,2,0,0.06,0.02,0.09,0.07,0.76,0.03,0.01,0.15,1936,0.81,1906,0.8,367,0.91,304,0.75,409,0.96,0.07,26864,0,0.9,0.03,0.05,0.02,0,1,447,0.91
"Wethersfield School District",1590011,"K-12","Traditional","Suburban",10,2,3471,-0.04,7,186,163,757,157,2195,6,0,0.06,0.05,0.22,0.05,0.63,0.26,0.1,0.16,916,0.59,774,0.5,188,0.64,87,0.3,259,0.95,0.07,19741,0,0.89,0.03,0.08,0,NA,1,234,0.88
"Willington School District",1600011,"K-8","Traditional","Rural",2,0,376,-0.14,4,8,4,42,19,299,0,0.01,0.02,0.01,0.11,0.05,0.8,0.36,0.01,0.2,118,0.52,119,0.53,NA,NA,NA,NA,NA,NA,0.06,27211,0,NA,NA,NA,NA,NA,1,37,0.8
"Wilton School District",1610011,"K-12","Traditional","Suburban",6,3,3782,-0.02,4,417,36,270,242,2809,4,0,0.11,0.01,0.07,0.06,0.74,0.06,0.02,0.18,1322,0.8,1339,0.81,263,0.93,221,0.78,307,0.98,0.05,24558,0,0.94,0.01,0.03,0.02,NA,1,289,0.9
"Winchester School District",1620011,"K-6","Traditional","Rural",2,0,599,0.04,1,9,20,93,25,450,1,0,0.02,0.03,0.16,0.04,0.75,0.58,0.06,0.2,135,0.42,128,0.4,NA,NA,NA,NA,NA,NA,0.26,23080,0,0.89,0.09,NA,0.01,NA,0.95,48,0.86
"Windham School District",1630011,"K-12","Traditional","Rural",14,3,3153,-0.06,4,28,102,2287,73,654,4,0,0.01,0.03,0.73,0.02,0.21,0.73,0.32,0.21,462,0.3,413,0.27,36,0.35,14,0.13,130,0.8,0.32,23352,0.29,0.64,0.37,NA,NA,NA,0.96,245,0.86
"Windsor Locks School District",1650011,"K-12","Traditional","Suburban",6,3,1448,-0.09,3,91,178,263,95,815,3,0,0.06,0.12,0.18,0.07,0.56,0.49,0.08,0.21,244,0.41,218,0.37,48,0.5,13,0.14,94,0.89,0.22,23662,0,0.86,0.05,0.06,0.04,NA,1,139,0.85
"Windsor School District",1640011,"K-12","Traditional","Suburban",7,2,3266,-0.02,4,111,1349,827,295,676,4,0,0.04,0.41,0.25,0.09,0.21,0.5,0.04,0.22,621,0.46,528,0.39,112,0.44,54,0.21,253,0.85,0.18,22687,0,0.93,0.03,0.01,0.01,0.02,1,277,0.87
"Wolcott School District",1660011,"K-12","Traditional","Suburban",8,2,2100,-0.04,2,55,96,387,61,1496,2,0,0.03,0.05,0.18,0.03,0.71,0.35,0.06,0.17,607,0.65,568,0.61,87,0.62,41,0.29,148,0.9,0.07,18475,0,0.93,0.02,0.04,0.01,0.01,0.67,184,0.93
"Woodbridge School District",1670011,"K-6","Traditional","Suburban",1,0,862,0.02,10,129,10,86,61,565,0,0.01,0.15,0.01,0.1,0.07,0.66,0.13,0.07,0.13,396,0.8,396,0.8,NA,NA,NA,NA,NA,NA,0.1,20283,0,0.86,0.01,0.04,0.06,0.03,1,69,0.93
"Woodstock School District",1690011,"K-8","Traditional","Rural",2,0,756,-0.08,0,2,2,48,40,663,0,0,0,0,0.06,0.05,0.88,0.25,0.01,0.16,271,0.53,203,0.4,0,NA,0,NA,NA,NA,0.12,19818,0,0.99,0.01,NA,NA,NA,1,54,0.89
"Achievement First Bridgeport Academy District",2850013,"K-12","Charter","Urban",1,1,1090,-0.02,5,5,570,474,14,22,0,0,0,0.52,0.43,0.01,0.02,0.74,0.15,0.14,210,0.4,115,0.22,30,0.64,11,0.23,43,0.9,0.27,14616,0,NA,NA,NA,NA,NA,0.94,29,0.54
"Achievement First Hartford Academy District",2880013,"K-12","Charter","Urban",1,1,907,-0.22,12,4,690,183,15,4,0,0.01,0,0.76,0.2,0.02,0,0.8,0.06,0.11,192,0.44,118,0.27,14,0.29,8,0.17,56,0.82,0.16,17688,0,NA,NA,NA,NA,NA,0.96,39,0.59
"Amistad Academy District",2790013,"K-12","Charter","Urban",1,1,1105,0,6,13,665,393,21,6,0,0.01,0.01,0.6,0.36,0.02,0.01,0.79,0.13,0.09,203,0.38,151,0.28,28,0.58,6,0.13,57,0.9,0.28,14491,0,NA,NA,NA,NA,NA,0.96,63,0.59
"Booker T. Washington Academy District",2950013,"K-8","Charter","Urban",1,0,404,-0.04,0,3,302,75,19,3,3,0,0.01,0.75,0.19,0.05,0.01,0.92,0.04,0.1,100,0.39,78,0.31,NA,NA,NA,NA,NA,NA,0.2,19545,0,NA,NA,NA,NA,NA,0.96,14,0.54
"Canaan School District",210011,"K-8","Traditional","Rural",1,0,70,0.04,2,2,0,2,2,61,2,0.03,0.05,0,0.03,0.03,0.87,0.37,0.04,0.17,18,0.49,18,0.49,NA,NA,NA,NA,NA,NA,0.1,34312,0,NA,NA,NA,NA,NA,1,11,0.73
"Capital Preparatory Harbor School District",2970013,"K-12","Charter","Urban",1,1,775,0.02,3,3,501,262,3,3,0,0,0,0.65,0.34,0,0,0.69,0.1,0.08,135,0.38,74,0.21,30,0.56,7,0.13,38,0.95,0.17,13123,0,NA,NA,NA,NA,NA,0.61,22,0.58
"Chester School District",260011,"K-6","Traditional","Suburban",1,0,198,0.06,0,4,0,17,4,173,0,0,0.02,0,0.09,0.02,0.87,0.28,0.02,0.14,75,0.65,71,0.61,NA,NA,NA,NA,NA,NA,0.09,27164,0,NA,NA,NA,NA,NA,1,21,0.91
