"state","district","combined_district","supt_first_name","supt_last_name","district_code","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","n_asian","n_black","n_hispanic","n_multiracial","n_white","n_nhpi","pct_aian","pct_aapi","pct_black","pct_hispanic","pct_multiracial","pct_white","pct_lowinc","pct_el","pct_sped","n_ela_prof_3_8","pct_ela_prof_3_8","n_math_prof_3_8","pct_math_prof_3_8","n_ela_prof_9_12","pct_ela_prof_9_12","n_math_prof_9_12","pct_math_prof_9_12","grad_rate","pct_chronic_absenteeism","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert","retention_n","retention_rate"
"Connecticut","Stratford School District","Stratford School District","Heather","Borges",1380011,"K-12","Traditional","Suburban",23,5,6578,-0.04,8,140,1743,2875,234,1571,7,0,0.02,0.26,0.44,0.04,0.24,0.5,0.12,0.19,1017,0.36,834,0.29,269,0.49,73,0.13,0.91,0.17,20911,0.08,0.81,0.11,0.05,0.02,0.01,0.99,443,0.88
"Connecticut","Regional School District 01","Regional School District 01","Melony","Brady-Shanley",2010012,"9-12","Regional","Rural",2,2,356,-0.02,0,2,2,45,17,289,0,0,0.01,0.01,0.13,0.05,0.81,0.3,0.04,0.15,0,NA,0,NA,55,0.66,40,0.48,0.95,0.28,37138,0,NA,NA,NA,NA,NA,1,31,0.79
"Connecticut","Plainfield School District","Plainfield School District","Paul","Brenton",1090011,"K-12","Traditional","Rural",5,1,1886,-0.13,17,26,73,108,60,1594,8,0.01,0.02,0.04,0.06,0.03,0.85,0.57,0.01,0.2,375,0.45,321,0.38,67,0.46,17,0.12,0.81,0.2,20655,0,0.91,0.06,NA,0.02,NA,NA,137,0.81
"Connecticut","Portland School District","Portland School District","Charles","Britton",1130011,"K-12","Traditional","Suburban",6,2,1250,-0.05,10,10,57,219,62,893,0,0.01,0.01,0.05,0.18,0.05,0.71,0.29,0.04,0.23,368,0.65,322,0.58,55,0.68,36,0.45,0.85,0.12,21741,0,0.99,NA,0.01,NA,NA,1,95,0.82
"Connecticut","Newington School District","Newington School District","Maureen","Brummett",940011,"K-12","Traditional","Suburban",8,2,3855,-0.04,5,407,229,1043,205,1961,5,0,0.11,0.06,0.27,0.05,0.51,0.37,0.09,0.17,934,0.55,799,0.47,183,0.63,101,0.35,0.95,0.12,21922,0,0.71,0.11,0.14,0.04,0,1,290,0.92
"Connecticut","Andover School District","Andover School District","Valerie","Bruneau",10011,"K-6","Traditional","Rural",1,0,239,0.23,0,0,4,27,4,203,0,0,0,0.02,0.11,0.02,0.85,0.28,0.03,0.13,68,0.63,53,0.49,NA,NA,NA,NA,NA,0.06,22038,0,NA,NA,NA,NA,NA,1,21,0.95
"Connecticut","Granby School District","Granby School District","Cheri","Burke",560011,"K-12","Traditional","Suburban",5,2,1709,-0.05,3,48,131,122,52,1350,3,0,0.03,0.08,0.07,0.03,0.79,0.17,0.01,0.17,532,0.68,443,0.57,106,0.8,70,0.53,0.94,0.12,20961,0,0.93,0.02,0.05,NA,NA,1,120,0.82
"Connecticut","Stonington School District","Stonington School District","Mary Anne","Butler",1370011,"K-12","Traditional","Rural",7,4,1722,-0.13,2,24,15,127,109,1444,2,0,0.01,0.01,0.07,0.06,0.84,0.26,0.01,0.17,535,0.72,502,0.67,103,0.8,52,0.4,0.93,0.14,25567,0,0.96,NA,0.03,0,0,1,154,0.91
"Connecticut","Regional School District 05","Regional School District 05","Jennifer","Byars",2050012,"7-12","Regional","Rural",7,3,2138,-0.02,36,329,36,246,101,1390,0,0.02,0.15,0.02,0.12,0.05,0.65,0.17,0.02,0.14,542,0.73,512,0.69,259,0.81,168,0.53,0.97,0.05,22897,0,NA,NA,NA,NA,NA,1,170,0.89
"Connecticut","Bethany School District","Bethany School District","Kai","Byrd",80011,"K-6","Traditional","Rural",1,0,430,0.16,6,31,11,26,6,351,0,0.01,0.07,0.03,0.06,0.01,0.82,0.13,0.05,0.21,185,0.74,171,0.68,NA,NA,NA,NA,NA,0.09,19107,0,NA,NA,NA,NA,NA,1,26,0.7
"Connecticut","Darien School District","Darien School District","Eric","Byrne",350011,"K-12","Traditional","Suburban",7,1,4673,-0.02,2,310,39,352,237,3730,2,0,0.07,0.01,0.08,0.05,0.8,0.02,0.01,0.21,1760,0.84,1746,0.83,331,0.94,276,0.79,0.97,0.05,25891,0,0.91,0.03,0.03,0.02,NA,1,401,0.94
"Connecticut","Hartland School District","Hartland School District","Imma","Canelli",650011,"K-8","Traditional","Rural",1,0,123,-0.22,0,0,0,8,8,108,0,0,0,0,0.06,0.06,0.88,0.05,0,0.19,46,0.57,45,0.56,NA,NA,NA,NA,NA,0.06,31190,0,0.98,0.04,NA,NA,NA,1,17,0.94
"Connecticut","Avon School District","Avon School District","Bridget","Carnemolla",40011,"K-12","Traditional","Suburban",6,1,3092,-0.03,5,552,184,277,152,1917,5,0,0.18,0.06,0.09,0.05,0.62,0.13,0.03,0.13,1002,0.72,945,0.68,181,0.85,132,0.62,0.95,0.11,21328,0,0.73,0.03,0.11,0.11,0.02,1,232,0.94
"Connecticut","Capital Preparatory Harbor School District","Capital Preparatory Harbor School District","Ayanna","Carter",2970013,"K-12","Charter","Urban",1,1,775,0.02,3,3,501,262,3,3,0,0,0,0.65,0.34,0,0,0.69,0.1,0.08,135,0.38,74,0.21,30,0.56,7,0.13,0.95,0.17,13123,0,NA,NA,NA,NA,NA,0.61,22,0.58
"Connecticut","South Windsor School District","South Windsor School District","Kate","Carter",1320011,"K-12","Traditional","Suburban",9,3,5125,0.13,8,1783,301,556,235,2234,8,0,0.35,0.06,0.11,0.05,0.44,0.18,0.09,0.13,1706,0.71,1660,0.69,281,0.77,201,0.55,0.97,0.08,18218,0,0.72,0.03,0.14,0.12,0,1,385,0.93
"Connecticut","Bolton School District","Bolton School District","David","Caruso",120011,"K-12","Traditional","Rural",3,2,688,-0.12,0,11,39,76,39,523,0,0,0.02,0.06,0.11,0.06,0.76,0.23,0,0.11,186,0.64,184,0.65,49,0.77,24,0.38,0.94,0.1,22301,0,0.92,NA,0.05,NA,0.03,1,58,0.82
"Connecticut","Bethel School District","Bethel School District","Christine","Carver",90011,"K-12","Traditional","Suburban",7,3,3227,0.03,47,233,147,908,128,1751,13,0.01,0.08,0.05,0.28,0.04,0.54,0.33,0.08,0.17,848,0.6,849,0.6,188,0.71,108,0.41,0.94,0.08,18624,0,0.8,0.06,0.12,0.02,NA,1,225,0.91
"Connecticut","Danbury School District","Danbury School District","Kara","Casimiro",340011,"K-12","Traditional","Urban",21,3,11956,0,20,487,735,7897,470,2327,20,0,0.04,0.06,0.66,0.04,0.19,0.56,0.38,0.15,1816,0.33,1631,0.3,298,0.36,99,0.12,0.76,0.15,17100,0,0.51,0.36,0.12,0.01,0,1,770,0.88
"Connecticut","Norfolk School District","Norfolk School District","Kevin","Case",980011,"K-6","Traditional","Rural",1,0,61,-0.18,0,0,0,4,4,53,0,0,0,0,0.07,0.07,0.87,0.1,0.05,0.26,9,0.47,9,0.47,NA,NA,NA,NA,NA,0.09,49304,0,1,0.01,NA,NA,NA,1,7,0.78
"Connecticut","West Haven School District","West Haven School District","Neil","Cavallaro",1560011,"K-12","Traditional","Suburban",12,3,5950,0.01,15,344,1412,2496,280,1397,6,0,0.06,0.24,0.42,0.05,0.23,0.57,0.23,0.2,1111,0.43,1019,0.4,177,0.38,50,0.11,0.89,0.26,18600,0,0.68,0.2,0.03,0.01,0.08,1,452,0.91
"Connecticut","Seymour School District","Seymour School District","Susan","Compton",1240011,"K-12","Traditional","Suburban",4,1,2103,-0.03,0,81,168,470,56,1328,0,0,0.04,0.08,0.22,0.03,0.63,0.51,0.07,0.18,486,0.52,493,0.53,97,0.65,41,0.28,0.86,0.16,18869,0,0.88,0.08,0.04,NA,NA,1,148,0.96
"Connecticut","Derby School District","Derby School District","Matthew","Conway",370011,"K-12","Traditional","Suburban",7,3,1311,0.01,0,14,269,597,89,328,14,0,0.02,0.21,0.46,0.07,0.25,0.56,0.06,0.24,207,0.34,144,0.24,30,0.46,6,0.09,0.78,0.19,23073,0.25,0.69,0.24,0.05,0.01,0.01,1,115,0.91
