"lea_state","district_code","district","n_el","n_tot","missing","pct_el"
"VT","5004140","Georgia School District",4,577,0,0.01
"VT","5004500","Halifax School District",0,68,1,0
"VT","5004590","Hartford School District",20,1366,0,0.01
"VT","5004620","Hartland School District",0,251,1,0
"VT","5004960","Jay/Westfield Joint Elementary School District",1,72,0,0.01
"VT","5005050","Lake Region UHSD #24",1,372,0,0
"VT","5005220","Lowell School District",0,78,1,0
"VT","5005400","Marlboro School District",0,80,1,0
"VT","5005610","Milton Incorporated School District",37,1371,0,0.03
"VT","5005810","Mount Anthony UHSD #14",3,1513,1,0
"VT","5006000","Newport City School District",2,339,0,0.01
"VT","5006030","Newport Town School District",1,103,0,0.01
"VT","5006180","Norwich School District",5,295,0,0.02
"VT","5006390","Peacham School District",1,70,0,0.01
"VT","5006780","Readsboro School District",0,51,1,0
"VT","5006930","Rockingham School District",5,456,2,0.01
"VT","5007050","Rutland City School District",16,2152,3,0.01
"VT","5007080","Rutland Town School District",0,332,1,0
"VT","5007260","Sharon School District",1,127,0,0.01
"VT","5007470","South Burlington School District",145,2429,0,0.06
"VT","5007500","South Hero School District",1,149,0,0.01
"VT","5007530","Springfield School District",15,1112,0,0.01
"VT","5007650","Saint Johnsbury School District",2,580,0,0
"VT","5007680","Stamford School District",0,81,1,0
"VT","5007830","Strafford School District",0,96,1,0
"VT","5008010","Thetford School District",0,171,1,0
"VT","5008130","Troy School District",0,165,1,0
"VT","5008224","Blue Mountain USD #21",0,363,1,0
"VT","5008225","Twinfield USD #33",3,315,0,0.01
"VT","5008242","Waits River Valley USD #36",0,259,1,0
"VT","5008243","Hazen UHSD #26",2,325,0,0.01
"VT","5008246","Bellows Falls UHSD #27",2,313,0,0.01
"VT","5008310","Vernon School District",1,156,0,0.01
"VT","5008700","Weathersfield School District",0,228,1,0
"VT","5009270","Windham School District",0,17,1,0
"VT","5009360","Winooski School District",221,698,0,0.32
"VT","5009390","Wolcott School District",0,122,1,0
"VT","5009570","North Country Junior UHSD #22",1,240,0,0
"VT","5009600","North Country Senior UHSD #22",0,671,1,0
"VT","5099901","Mt. Abraham Unified School District (Supervisory)",0,0,1,NA
