"row_label","How the adults in your district treat students (N = 79)","How your district aligns its budget to strategic goals (N = 79)","How your district places students in courses (N = 89)"
"change_group: 1-2 domains",-7.02341137123746,-7.43520835263954,-5.94516594516595
"change_group: 3-5 domains",8.95140664961637,7.51706669137862,7.41221741221741
"enrollment_cat: Low",-6.20055718606141,-5.68838229388688,-9.30084408345278
"enrollment_change_cat: Average",2.49760148472028,2.97708428543448,6.02890640792399
"enrollment_change_cat: High",-6.49722401346314,-4.91610628713194,-7.15585203153427
"serve_hs: Does not serve high school",-3.75438596491228,-7.80693815987934,-7.55215620433417
"serve_hs: Serves high school",3.75438596491229,7.80693815987934,7.55215620433417
